team,opp,pts,opp_pts,plays,opp_plays
NC State,Memphis,13,7,64,51
Memphis,NC State,24,14,57,61
NC State,Memphis,21,20,58,59
Memphis,NC State,14,20,55,59
NC State,Memphis,38,38,58,60
Memphis,NC State,14,23,54,58
NC State,Memphis,35,17,67,50
Memphis,NC State,38,10,66,54
NC State,Memphis,17,17,59,54
Memphis,NC State,17,14,56,57
NC State,Memphis,28,24,61,56
Memphis,NC State,28,34,60,57
NC State,Memphis,35,21,53,59
Memphis,NC State,21,38,57,63
NC State,Memphis,3,26,62,53
Memphis,NC State,17,27,52,62
NC State,Memphis,31,28,65,56
Memphis,NC State,21,10,55,59
NC State,Memphis,10,17,59,53
Memphis,NC State,37,14,64,52
NC State,Memphis,14,20,63,54
Memphis,NC State,28,21,70,58
NC State,Memphis,7,24,50,64
Memphis,NC State,24,10,68,52
NC State,Memphis,13,24,58,57
Memphis,NC State,35,21,67,57
NC State,Memphis,10,37,50,67
Memphis,NC State,34,9,55,58
NC State,Memphis,14,31,56,59
Memphis,NC State,17,21,60,57
NC State,Memphis,30,14,70,42
Memphis,NC State,23,14,60,53
NC State,Memphis,24,34,54,56
Memphis,NC State,14,23,53,66
NC State,Memphis,28,21,52,62
Memphis,NC State,10,21,61,60
NC State,Memphis,20,24,57,61
Memphis,NC State,14,23,53,63
NC State,Memphis,17,14,63,52
Memphis,NC State,21,31,51,69
NC State,Memphis,16,24,58,53
Memphis,NC State,38,6,62,57
NC State,Memphis,10,28,54,57
Memphis,NC State,31,14,60,50
NC State,Memphis,23,10,63,61
Memphis,NC State,31,7,64,51
NC State,Memphis,7,24,52,56
Memphis,NC State,24,24,57,57
NC State,Memphis,21,27,56,57
Memphis,NC State,24,21,59,56
NC State,Memphis,21,10,54,60
Memphis,NC State,42,21,63,56
NC State,Memphis,17,34,67,51
Memphis,NC State,24,17,69,44
NC State,Memphis,13,17,56,60
Memphis,NC State,13,23,57,63
NC State,Memphis,21,42,63,55
Memphis,NC State,38,10,67,44
NC State,Memphis,20,21,61,61
Memphis,NC State,14,38,53,60
NC State,Memphis,17,28,62,52
Memphis,NC State,14,27,61,58
NC State,Memphis,31,17,64,55
Memphis,NC State,38,10,56,62
NC State,Memphis,3,34,56,59
Memphis,NC State,28,17,54,62
NC State,Memphis,17,38,54,66
Memphis,NC State,31,14,67,52
NC State,Memphis,24,17,60,53
Memphis,NC State,31,28,75,49
NC State,Memphis,20,33,53,65
Memphis,NC State,24,24,58,57
NC State,Memphis,17,21,67,44
Memphis,NC State,17,34,54,66
NC State,Memphis,21,13,52,65
Memphis,NC State,13,10,62,50
NC State,Memphis,10,17,55,57
Memphis,NC State,27,13,59,51
NC State,Memphis,7,47,45,68
Memphis,NC State,21,20,51,62
NC State,Memphis,38,0,65,44
Memphis,NC State,7,27,43,70
NC State,Memphis,23,14,58,55
Memphis,NC State,35,17,58,59
