team,opp,pts,opp_pts,plays,opp_plays
Utah State,Washington State,16,10,57,61
Washington State,Utah State,21,21,60,54
Utah State,Washington State,27,21,49,64
Washington State,Utah State,17,9,59,55
Utah State,Washington State,17,10,46,68
Washington State,Utah State,13,14,52,64
Utah State,Washington State,24,24,66,50
Washington State,Utah State,23,24,67,45
Utah State,Washington State,17,14,63,55
Washington State,Utah State,17,24,64,57
Utah State,Washington State,17,14,58,59
Washington State,Utah State,17,20,65,49
Utah State,Washington State,17,20,51,54
Washington State,Utah State,17,17,58,52
Utah State,Washington State,35,24,61,58
Washington State,Utah State,17,10,53,63
Utah State,Washington State,9,35,68,54
Washington State,Utah State,10,24,60,54
Utah State,Washington State,28,7,70,45
Washington State,Utah State,10,24,55,60
Utah State,Washington State,3,28,50,61
Washington State,Utah State,24,0,69,43
Utah State,Washington State,14,27,51,59
Washington State,Utah State,14,20,48,63
Utah State,Washington State,14,30,60,60
Washington State,Utah State,10,13,63,49
Utah State,Washington State,28,20,52,62
Washington State,Utah State,21,13,59,51
Utah State,Washington State,21,27,45,60
Washington State,Utah State,6,21,57,57
Utah State,Washington State,3,27,55,61
Washington State,Utah State,10,38,56,62
Utah State,Washington State,10,10,58,53
Washington State,Utah State,14,17,64,52
Utah State,Washington State,7,27,53,64
Washington State,Utah State,17,7,61,57
Utah State,Washington State,17,3,62,53
Washington State,Utah State,24,10,60,45
Utah State,Washington State,28,10,58,58
Washington State,Utah State,16,17,65,51
Utah State,Washington State,24,6,62,54
Washington State,Utah State,10,31,65,51
Utah State,Washington State,31,3,66,48
Washington State,Utah State,21,21,57,51
Utah State,Washington State,7,24,49,65
Washington State,Utah State,17,24,64,48
Utah State,Washington State,24,17,59,54
Washington State,Utah State,24,17,64,53
Utah State,Washington State,14,35,49,64
Washington State,Utah State,34,7,71,42
Utah State,Washington State,31,27,63,58
Washington State,Utah State,24,17,59,62
Utah State,Washington State,17,35,60,59
Washington State,Utah State,10,17,54,57
Utah State,Washington State,20,14,59,53
Washington State,Utah State,14,24,53,60
Utah State,Washington State,28,24,66,48
Washington State,Utah State,0,7,54,57
Utah State,Washington State,17,17,60,56
Washington State,Utah State,3,14,62,50
Utah State,Washington State,7,7,54,54
Washington State,Utah State,28,24,57,56
Utah State,Washington State,0,14,57,55
Washington State,Utah State,14,21,54,60
Utah State,Washington State,23,10,58,63
Washington State,Utah State,13,24,58,53
Utah State,Washington State,10,17,47,63
Washington State,Utah State,10,7,58,53
Utah State,Washington State,14,20,45,61
Washington State,Utah State,14,28,50,60
Utah State,Washington State,10,27,44,65
Washington State,Utah State,24,21,64,52
Utah State,Washington State,7,17,48,60
Washington State,Utah State,6,10,60,55
Utah State,Washington State,0,10,47,58
Washington State,Utah State,20,6,56,51
Utah State,Washington State,28,10,59,56
Washington State,Utah State,14,17,60,53
Utah State,Washington State,3,10,56,62
Washington State,Utah State,31,14,57,60
Utah State,Washington State,14,14,45,58
Washington State,Utah State,21,20,53,64
Utah State,Washington State,10,21,60,55
Washington State,Utah State,13,21,64,52
Utah State,Washington State,24,23,57,57
Washington State,Utah State,10,6,60,49
Utah State,Washington State,6,19,51,58
Washington State,Utah State,6,20,51,64
Utah State,Washington State,10,24,59,56
Washington State,Utah State,24,21,54,63
Utah State,Washington State,23,0,69,42
Washington State,Utah State,21,20,51,60
Utah State,Washington State,23,17,55,59
Washington State,Utah State,27,7,55,58
Utah State,Washington State,10,27,53,60
Washington State,Utah State,21,7,58,61
Utah State,Washington State,24,17,61,54
Washington State,Utah State,35,17,62,56
Utah State,Washington State,20,27,50,62
Washington State,Utah State,7,10,60,56
Utah State,Washington State,17,14,63,51
Washington State,Utah State,10,20,62,49
Utah State,Washington State,31,7,63,52
Washington State,Utah State,28,14,56,60
Utah State,Washington State,31,10,63,47
Washington State,Utah State,7,17,64,46
Utah State,Washington State,24,10,60,54
Washington State,Utah State,13,6,62,52
Utah State,Washington State,17,16,53,62
Washington State,Utah State,28,0,66,53
Utah State,Washington State,21,24,52,62
Washington State,Utah State,10,27,52,61
Utah State,Washington State,0,27,47,63
Washington State,Utah State,13,31,52,61
Utah State,Washington State,17,17,48,59
Washington State,Utah State,12,20,65,50
Utah State,Washington State,21,20,54,61
Washington State,Utah State,14,3,61,55
Utah State,Washington State,7,35,50,69
Washington State,Utah State,20,10,64,43
Utah State,Washington State,10,13,58,57
Washington State,Utah State,21,7,69,40
Utah State,Washington State,14,14,55,61
Washington State,Utah State,3,21,67,45
Utah State,Washington State,23,17,67,59
Washington State,Utah State,7,14,50,66
Utah State,Washington State,31,3,63,58
Washington State,Utah State,31,14,57,56
Utah State,Washington State,13,0,68,40
Washington State,Utah State,10,35,54,60
Utah State,Washington State,17,7,60,51
Washington State,Utah State,31,17,57,67
Utah State,Washington State,14,21,63,53
Washington State,Utah State,3,24,53,60
Utah State,Washington State,7,14,60,55
Washington State,Utah State,31,7,52,58
Utah State,Washington State,20,3,63,51
Washington State,Utah State,21,10,63,47
Utah State,Washington State,27,10,66,46
Washington State,Utah State,28,17,54,56
Utah State,Washington State,10,7,59,58
Washington State,Utah State,20,24,61,54
Utah State,Washington State,20,20,53,55
Washington State,Utah State,7,24,54,56
Utah State,Washington State,17,3,64,50
Washington State,Utah State,16,10,60,56
Utah State,Washington State,21,24,57,51
Washington State,Utah State,3,10,55,54
Utah State,Washington State,21,38,57,55
Washington State,Utah State,14,16,56,61
Utah State,Washington State,13,10,61,52
Washington State,Utah State,16,10,63,45
Utah State,Washington State,3,24,52,52
Washington State,Utah State,31,9,61,53
Utah State,Washington State,14,17,57,55
Washington State,Utah State,27,10,63,44
Utah State,Washington State,27,3,61,52
Washington State,Utah State,16,17,72,48
Utah State,Washington State,20,9,47,63
Washington State,Utah State,14,14,62,49
Utah State,Washington State,7,31,47,64
Washington State,Utah State,14,20,51,60
Utah State,Washington State,38,9,59,61
Washington State,Utah State,7,42,52,62
Utah State,Washington State,6,28,59,53
Washington State,Utah State,6,23,47,64
Utah State,Washington State,24,17,59,55
Washington State,Utah State,27,24,60,47
Utah State,Washington State,13,20,55,61
Washington State,Utah State,21,7,56,56
Utah State,Washington State,10,16,60,53
Washington State,Utah State,3,13,53,60
Utah State,Washington State,14,10,68,51
Washington State,Utah State,31,0,74,28
Utah State,Washington State,17,27,62,56
Washington State,Utah State,28,7,68,44
Utah State,Washington State,28,3,57,54
Washington State,Utah State,14,28,60,48
Utah State,Washington State,6,10,62,54
Washington State,Utah State,3,24,66,59
Utah State,Washington State,0,17,46,69
Washington State,Utah State,31,10,63,51
Utah State,Washington State,10,31,47,67
Washington State,Utah State,17,24,53,65
Utah State,Washington State,17,38,52,64
Washington State,Utah State,6,24,54,52
Utah State,Washington State,31,14,56,62
Washington State,Utah State,9,3,58,52
Utah State,Washington State,14,24,53,60
Washington State,Utah State,21,38,52,68
Utah State,Washington State,7,30,55,59
Washington State,Utah State,10,34,57,58
Utah State,Washington State,19,10,60,60
Washington State,Utah State,0,17,57,47
Utah State,Washington State,21,9,50,65
Washington State,Utah State,23,17,61,59
Utah State,Washington State,7,13,53,64
Washington State,Utah State,31,14,64,51
Utah State,Washington State,14,17,60,52
Washington State,Utah State,24,7,63,44
Utah State,Washington State,17,24,66,48
Washington State,Utah State,10,7,64,48
Utah State,Washington State,7,13,52,57
Washington State,Utah State,21,17,61,58
Utah State,Washington State,12,10,60,54
Washington State,Utah State,24,31,64,57
Utah State,Washington State,14,10,57,55
Washington State,Utah State,28,7,61,48
Utah State,Washington State,27,7,64,56
Washington State,Utah State,21,27,60,61
Utah State,Washington State,3,24,50,63
Washington State,Utah State,21,24,60,54
Utah State,Washington State,7,27,61,50
Washington State,Utah State,24,14,64,48
Utah State,Washington State,28,28,54,58
Washington State,Utah State,20,28,59,60
Utah State,Washington State,13,28,72,55
Washington State,Utah State,21,16,54,60
Utah State,Washington State,13,27,52,58
Washington State,Utah State,21,28,64,49
Utah State,Washington State,13,23,59,56
Washington State,Utah State,27,14,63,46
Utah State,Washington State,13,10,52,59
Washington State,Utah State,16,10,65,43
Utah State,Washington State,7,27,60,58
Washington State,Utah State,7,14,66,53
Utah State,Washington State,24,14,50,61
Washington State,Utah State,14,7,46,70
Utah State,Washington State,14,28,48,64
Washington State,Utah State,17,10,57,48
Utah State,Washington State,10,3,55,57
Washington State,Utah State,13,14,69,42
Utah State,Washington State,21,35,57,62
Washington State,Utah State,28,10,62,52
Utah State,Washington State,14,27,55,59
Washington State,Utah State,24,27,59,56
Utah State,Washington State,17,21,56,61
Washington State,Utah State,3,3,54,51
Utah State,Washington State,0,10,42,62
Washington State,Utah State,10,17,59,51
Utah State,Washington State,21,24,63,50
Washington State,Utah State,13,0,61,45
Utah State,Washington State,27,17,63,52
Washington State,Utah State,27,23,62,50
Utah State,Washington State,24,17,59,49
Washington State,Utah State,35,14,74,37
Utah State,Washington State,38,14,55,58
Washington State,Utah State,21,10,53,56
Utah State,Washington State,14,3,54,59
Washington State,Utah State,27,10,69,42
Utah State,Washington State,17,10,59,53
Washington State,Utah State,7,28,61,61
Utah State,Washington State,38,24,56,58
Washington State,Utah State,20,17,60,60
Utah State,Washington State,10,13,55,53
Washington State,Utah State,14,17,74,39
Utah State,Washington State,3,28,46,65
Washington State,Utah State,13,14,65,50
Utah State,Washington State,20,17,55,59
Washington State,Utah State,27,24,63,52
Utah State,Washington State,13,7,63,54
Washington State,Utah State,21,24,63,52
Utah State,Washington State,17,3,53,55
Washington State,Utah State,7,14,60,52
Utah State,Washington State,14,23,56,63
Washington State,Utah State,14,10,66,42
Utah State,Washington State,17,0,60,51
Washington State,Utah State,17,24,62,50
Utah State,Washington State,3,13,52,59
Washington State,Utah State,17,34,52,65
Utah State,Washington State,27,3,68,50
Washington State,Utah State,17,7,61,48
Utah State,Washington State,24,17,65,55
Washington State,Utah State,17,38,58,61
Utah State,Washington State,17,0,59,51
Washington State,Utah State,6,10,60,56
Utah State,Washington State,13,20,50,62
Washington State,Utah State,10,20,63,47
Utah State,Washington State,7,24,46,66
Washington State,Utah State,21,10,51,58
Utah State,Washington State,38,14,67,51
Washington State,Utah State,17,7,55,55
Utah State,Washington State,13,10,69,56
Washington State,Utah State,14,31,54,65
Utah State,Washington State,13,6,62,51
Washington State,Utah State,17,17,67,45
Utah State,Washington State,24,13,59,59
Washington State,Utah State,7,24,55,58
Utah State,Washington State,20,14,65,56
Washington State,Utah State,14,13,62,51
Utah State,Washington State,24,31,60,57
Washington State,Utah State,14,9,53,54
Utah State,Washington State,7,13,59,55
Washington State,Utah State,42,10,54,56
Utah State,Washington State,6,27,55,54
