team,opp,pts,opp_pts,plays,opp_plays
Western Michigan,Kennesaw State,10,17,63,70
Kennesaw State,Western Michigan,31,17,82,52
Western Michigan,Kennesaw State,6,30,65,63
Kennesaw State,Western Michigan,10,27,59,71
Western Michigan,Kennesaw State,28,17,68,67
Kennesaw State,Western Michigan,10,30,50,80
Western Michigan,Kennesaw State,38,17,73,63
Kennesaw State,Western Michigan,7,27,64,73
Western Michigan,Kennesaw State,17,7,61,65
Kennesaw State,Western Michigan,14,24,53,77
Western Michigan,Kennesaw State,13,7,69,64
Kennesaw State,Western Michigan,3,34,56,69
Western Michigan,Kennesaw State,21,10,63,65
Kennesaw State,Western Michigan,13,17,67,63
Western Michigan,Kennesaw State,34,7,71,60
Kennesaw State,Western Michigan,17,21,57,68
Western Michigan,Kennesaw State,31,10,77,47
Kennesaw State,Western Michigan,13,14,67,68
Western Michigan,Kennesaw State,28,7,68,56
Kennesaw State,Western Michigan,6,10,59,68
Western Michigan,Kennesaw State,27,31,57,75
Kennesaw State,Western Michigan,20,31,70,63
Western Michigan,Kennesaw State,3,28,64,61
Kennesaw State,Western Michigan,6,13,70,62
Western Michigan,Kennesaw State,38,10,61,72
Kennesaw State,Western Michigan,45,10,80,55
Western Michigan,Kennesaw State,28,13,66,59
Kennesaw State,Western Michigan,20,7,67,62
Western Michigan,Kennesaw State,17,3,61,67
Kennesaw State,Western Michigan,14,27,65,67
Western Michigan,Kennesaw State,31,14,68,60
Kennesaw State,Western Michigan,38,27,63,70
Western Michigan,Kennesaw State,13,17,71,66
Kennesaw State,Western Michigan,31,17,75,65
Western Michigan,Kennesaw State,3,45,57,74
Kennesaw State,Western Michigan,17,21,63,67
Western Michigan,Kennesaw State,3,10,58,69
Kennesaw State,Western Michigan,13,0,77,51
Western Michigan,Kennesaw State,24,24,56,75
Kennesaw State,Western Michigan,6,17,65,63
Western Michigan,Kennesaw State,3,20,76,66
Kennesaw State,Western Michigan,24,10,72,57
Western Michigan,Kennesaw State,17,31,69,67
Kennesaw State,Western Michigan,31,13,67,69
Western Michigan,Kennesaw State,17,26,70,68
Kennesaw State,Western Michigan,27,9,64,66
Western Michigan,Kennesaw State,38,17,67,62
Kennesaw State,Western Michigan,17,28,64,66
Western Michigan,Kennesaw State,14,0,66,59
Kennesaw State,Western Michigan,7,30,62,72
Western Michigan,Kennesaw State,17,0,72,58
Kennesaw State,Western Michigan,16,3,74,54
Western Michigan,Kennesaw State,27,10,73,64
Kennesaw State,Western Michigan,6,9,54,70
Western Michigan,Kennesaw State,14,7,69,63
Kennesaw State,Western Michigan,24,31,63,67
Western Michigan,Kennesaw State,24,17,67,66
Kennesaw State,Western Michigan,6,24,78,61
Western Michigan,Kennesaw State,21,24,64,69
Kennesaw State,Western Michigan,17,23,70,68
Western Michigan,Kennesaw State,3,20,68,69
Kennesaw State,Western Michigan,27,26,79,61
Western Michigan,Kennesaw State,20,3,71,54
Kennesaw State,Western Michigan,49,7,81,63
Western Michigan,Kennesaw State,10,38,63,71
Kennesaw State,Western Michigan,23,24,68,68
Western Michigan,Kennesaw State,31,10,77,58
Kennesaw State,Western Michigan,10,20,64,61
Western Michigan,Kennesaw State,24,14,82,48
Kennesaw State,Western Michigan,34,14,80,56
Western Michigan,Kennesaw State,38,14,77,52
Kennesaw State,Western Michigan,14,14,71,58
Western Michigan,Kennesaw State,13,27,67,58
Kennesaw State,Western Michigan,21,31,67,71
Western Michigan,Kennesaw State,35,6,70,54
Kennesaw State,Western Michigan,17,9,65,70
Western Michigan,Kennesaw State,13,13,71,57
Kennesaw State,Western Michigan,17,7,74,58
Western Michigan,Kennesaw State,24,22,68,60
Kennesaw State,Western Michigan,31,0,77,56
Western Michigan,Kennesaw State,3,20,79,59
Kennesaw State,Western Michigan,7,24,60,70
Western Michigan,Kennesaw State,24,17,62,62
Kennesaw State,Western Michigan,42,10,86,55
Western Michigan,Kennesaw State,20,13,65,69
Kennesaw State,Western Michigan,10,30,65,64
Western Michigan,Kennesaw State,13,12,63,62
Kennesaw State,Western Michigan,17,7,69,66
Western Michigan,Kennesaw State,10,7,66,62
Kennesaw State,Western Michigan,10,21,66,61
Western Michigan,Kennesaw State,31,17,69,68
Kennesaw State,Western Michigan,24,28,75,59
Western Michigan,Kennesaw State,34,37,67,69
Kennesaw State,Western Michigan,17,28,68,66
Western Michigan,Kennesaw State,10,31,62,67
Kennesaw State,Western Michigan,20,13,63,71
Western Michigan,Kennesaw State,24,9,61,77
Kennesaw State,Western Michigan,27,27,74,62
Western Michigan,Kennesaw State,13,27,72,58
Kennesaw State,Western Michigan,10,13,59,68
Western Michigan,Kennesaw State,37,7,77,47
Kennesaw State,Western Michigan,28,35,65,64
Western Michigan,Kennesaw State,37,24,68,69
Kennesaw State,Western Michigan,13,21,69,64
Western Michigan,Kennesaw State,14,28,61,68
Kennesaw State,Western Michigan,7,27,67,59
Western Michigan,Kennesaw State,26,16,72,62
Kennesaw State,Western Michigan,13,37,59,71
Western Michigan,Kennesaw State,10,20,63,72
Kennesaw State,Western Michigan,21,3,71,58
Western Michigan,Kennesaw State,17,6,65,65
Kennesaw State,Western Michigan,16,24,72,71
Western Michigan,Kennesaw State,24,30,67,63
Kennesaw State,Western Michigan,17,38,62,70
Western Michigan,Kennesaw State,24,27,57,81
Kennesaw State,Western Michigan,23,6,76,54
Western Michigan,Kennesaw State,24,21,74,65
Kennesaw State,Western Michigan,10,24,70,65
Western Michigan,Kennesaw State,24,14,69,74
Kennesaw State,Western Michigan,10,38,74,67
Western Michigan,Kennesaw State,20,20,63,72
Kennesaw State,Western Michigan,14,23,60,66
Western Michigan,Kennesaw State,24,17,65,70
Kennesaw State,Western Michigan,13,0,66,61
Western Michigan,Kennesaw State,31,7,68,59
Kennesaw State,Western Michigan,3,31,53,75
Western Michigan,Kennesaw State,13,24,70,64
Kennesaw State,Western Michigan,12,17,74,58
Western Michigan,Kennesaw State,21,34,70,73
Kennesaw State,Western Michigan,21,14,63,60
Western Michigan,Kennesaw State,28,10,71,63
Kennesaw State,Western Michigan,27,24,68,67
Western Michigan,Kennesaw State,10,31,58,77
Kennesaw State,Western Michigan,0,20,67,66
Western Michigan,Kennesaw State,27,21,71,57
Kennesaw State,Western Michigan,17,3,71,63
Western Michigan,Kennesaw State,31,13,61,65
Kennesaw State,Western Michigan,23,7,74,58
Western Michigan,Kennesaw State,21,24,69,65
Kennesaw State,Western Michigan,21,27,47,82
Western Michigan,Kennesaw State,13,20,61,64
Kennesaw State,Western Michigan,20,28,68,66
Western Michigan,Kennesaw State,16,0,72,51
Kennesaw State,Western Michigan,20,3,66,61
Western Michigan,Kennesaw State,14,28,68,69
Kennesaw State,Western Michigan,10,14,70,56
Western Michigan,Kennesaw State,28,10,62,66
Kennesaw State,Western Michigan,31,17,73,66
Western Michigan,Kennesaw State,20,14,71,59
Kennesaw State,Western Michigan,20,0,71,64
Western Michigan,Kennesaw State,23,9,71,58
Kennesaw State,Western Michigan,17,31,69,62
Western Michigan,Kennesaw State,3,20,68,58
Kennesaw State,Western Michigan,10,13,70,62
Western Michigan,Kennesaw State,16,20,73,63
Kennesaw State,Western Michigan,17,20,71,57
Western Michigan,Kennesaw State,7,20,62,74
Kennesaw State,Western Michigan,20,13,70,59
Western Michigan,Kennesaw State,14,14,64,67
Kennesaw State,Western Michigan,14,20,66,65
Western Michigan,Kennesaw State,20,17,61,65
Kennesaw State,Western Michigan,0,42,62,73
Western Michigan,Kennesaw State,31,14,71,58
Kennesaw State,Western Michigan,38,10,74,61
Western Michigan,Kennesaw State,20,28,79,54
Kennesaw State,Western Michigan,10,27,63,72
Western Michigan,Kennesaw State,24,16,66,64
Kennesaw State,Western Michigan,14,21,56,70
Western Michigan,Kennesaw State,10,20,63,72
Kennesaw State,Western Michigan,20,6,74,57
Western Michigan,Kennesaw State,19,0,75,46
Kennesaw State,Western Michigan,24,31,63,66
Western Michigan,Kennesaw State,7,28,63,70
Kennesaw State,Western Michigan,6,20,72,63
Western Michigan,Kennesaw State,24,17,70,61
Kennesaw State,Western Michigan,31,6,65,68
Western Michigan,Kennesaw State,23,24,74,65
Kennesaw State,Western Michigan,7,31,65,63
Western Michigan,Kennesaw State,14,17,65,65
Kennesaw State,Western Michigan,21,14,77,57
Western Michigan,Kennesaw State,0,38,67,70
Kennesaw State,Western Michigan,3,17,63,66
Western Michigan,Kennesaw State,33,0,68,57
Kennesaw State,Western Michigan,20,27,73,70
Western Michigan,Kennesaw State,21,17,58,71
Kennesaw State,Western Michigan,34,0,74,61
Western Michigan,Kennesaw State,27,20,68,65
Kennesaw State,Western Michigan,27,10,75,60
Western Michigan,Kennesaw State,20,48,65,67
Kennesaw State,Western Michigan,13,27,56,75
Western Michigan,Kennesaw State,7,44,63,72
Kennesaw State,Western Michigan,7,30,67,68
Western Michigan,Kennesaw State,21,13,62,60
Kennesaw State,Western Michigan,35,20,67,66
Western Michigan,Kennesaw State,14,42,61,75
Kennesaw State,Western Michigan,28,6,71,62
Western Michigan,Kennesaw State,14,27,68,68
Kennesaw State,Western Michigan,21,9,59,73
Western Michigan,Kennesaw State,20,17,69,61
Kennesaw State,Western Michigan,10,45,58,73
Western Michigan,Kennesaw State,24,13,66,59
Kennesaw State,Western Michigan,31,17,70,65
Western Michigan,Kennesaw State,17,14,61,64
Kennesaw State,Western Michigan,10,23,73,58
Western Michigan,Kennesaw State,14,13,72,61
Kennesaw State,Western Michigan,27,10,77,58
Western Michigan,Kennesaw State,27,3,72,51
Kennesaw State,Western Michigan,24,13,73,59
Western Michigan,Kennesaw State,6,20,77,49
Kennesaw State,Western Michigan,19,17,78,56
Western Michigan,Kennesaw State,23,13,77,57
Kennesaw State,Western Michigan,21,21,65,64
Western Michigan,Kennesaw State,31,3,78,61
Kennesaw State,Western Michigan,14,16,64,66
Western Michigan,Kennesaw State,17,20,64,71
Kennesaw State,Western Michigan,38,0,74,57
Western Michigan,Kennesaw State,20,28,74,58
Kennesaw State,Western Michigan,27,3,65,72
Western Michigan,Kennesaw State,14,24,69,65
Kennesaw State,Western Michigan,28,14,68,68
Western Michigan,Kennesaw State,31,17,67,65
Kennesaw State,Western Michigan,14,10,57,68
Western Michigan,Kennesaw State,10,35,66,59
Kennesaw State,Western Michigan,20,28,66,62
Western Michigan,Kennesaw State,9,24,66,62
Kennesaw State,Western Michigan,13,20,57,71
Western Michigan,Kennesaw State,24,14,67,60
Kennesaw State,Western Michigan,28,24,71,68
Western Michigan,Kennesaw State,27,10,63,69
Kennesaw State,Western Michigan,16,13,71,70
Western Michigan,Kennesaw State,0,23,60,70
Kennesaw State,Western Michigan,13,24,66,75
Western Michigan,Kennesaw State,10,13,62,69
Kennesaw State,Western Michigan,10,34,53,77
Western Michigan,Kennesaw State,23,3,77,56
Kennesaw State,Western Michigan,24,17,71,64
Western Michigan,Kennesaw State,7,24,60,73
Kennesaw State,Western Michigan,14,19,65,68
Western Michigan,Kennesaw State,38,10,74,57
Kennesaw State,Western Michigan,23,17,72,69
Western Michigan,Kennesaw State,17,13,70,68
Kennesaw State,Western Michigan,7,35,68,62
Western Michigan,Kennesaw State,24,20,76,54
Kennesaw State,Western Michigan,14,24,67,63
Western Michigan,Kennesaw State,14,13,72,60
Kennesaw State,Western Michigan,30,21,68,61
Western Michigan,Kennesaw State,14,9,61,70
Kennesaw State,Western Michigan,14,20,69,61
Western Michigan,Kennesaw State,21,0,66,58
Kennesaw State,Western Michigan,10,10,60,68
Western Michigan,Kennesaw State,3,6,71,59
Kennesaw State,Western Michigan,24,13,74,60
Western Michigan,Kennesaw State,16,7,83,46
Kennesaw State,Western Michigan,16,3,80,51
Western Michigan,Kennesaw State,16,24,70,67
Kennesaw State,Western Michigan,20,28,69,61
Western Michigan,Kennesaw State,28,13,70,64
Kennesaw State,Western Michigan,28,28,67,65
Western Michigan,Kennesaw State,24,3,64,65
Kennesaw State,Western Michigan,20,38,65,67
Western Michigan,Kennesaw State,14,24,70,64
Kennesaw State,Western Michigan,17,6,63,66
Western Michigan,Kennesaw State,0,20,54,75
Kennesaw State,Western Michigan,27,17,68,67
Western Michigan,Kennesaw State,10,13,59,67
Kennesaw State,Western Michigan,34,21,77,53
Western Michigan,Kennesaw State,7,34,50,83
Kennesaw State,Western Michigan,24,24,58,78
Western Michigan,Kennesaw State,0,20,57,77
Kennesaw State,Western Michigan,10,14,68,61
Western Michigan,Kennesaw State,24,10,70,55
Kennesaw State,Western Michigan,23,3,67,65
Western Michigan,Kennesaw State,9,37,52,90
Kennesaw State,Western Michigan,13,19,76,67
Western Michigan,Kennesaw State,7,38,51,85
Kennesaw State,Western Michigan,3,16,68,66
Western Michigan,Kennesaw State,17,10,68,57
Kennesaw State,Western Michigan,24,13,78,56
Western Michigan,Kennesaw State,21,24,59,68
Kennesaw State,Western Michigan,13,17,76,61
Western Michigan,Kennesaw State,17,30,62,73
Kennesaw State,Western Michigan,10,20,75,63
Western Michigan,Kennesaw State,7,20,57,74
Kennesaw State,Western Michigan,14,28,72,66
Western Michigan,Kennesaw State,42,28,72,56
Kennesaw State,Western Michigan,0,20,61,65
Western Michigan,Kennesaw State,38,20,63,74
Kennesaw State,Western Michigan,10,17,63,71
Western Michigan,Kennesaw State,10,10,69,57
Kennesaw State,Western Michigan,30,0,67,74
Western Michigan,Kennesaw State,10,7,63,65
Kennesaw State,Western Michigan,6,30,58,73
Western Michigan,Kennesaw State,14,7,58,72
Kennesaw State,Western Michigan,17,13,57,79
Western Michigan,Kennesaw State,7,26,46,89
Kennesaw State,Western Michigan,21,10,57,77
Western Michigan,Kennesaw State,31,7,70,66
Kennesaw State,Western Michigan,27,3,69,62
Western Michigan,Kennesaw State,13,24,72,63
Kennesaw State,Western Michigan,17,24,71,66
Western Michigan,Kennesaw State,52,7,71,59
Kennesaw State,Western Michigan,6,16,74,62
Western Michigan,Kennesaw State,20,16,76,58
Kennesaw State,Western Michigan,41,7,75,55
Western Michigan,Kennesaw State,21,37,64,77
Kennesaw State,Western Michigan,38,7,83,45
Western Michigan,Kennesaw State,13,20,63,67
Kennesaw State,Western Michigan,17,21,60,68
Western Michigan,Kennesaw State,7,33,61,68
Kennesaw State,Western Michigan,13,23,74,63
Western Michigan,Kennesaw State,7,9,69,58
Kennesaw State,Western Michigan,14,16,68,61
Western Michigan,Kennesaw State,24,21,75,53
Kennesaw State,Western Michigan,35,17,71,62
Western Michigan,Kennesaw State,45,6,81,47
Kennesaw State,Western Michigan,14,41,62,71
Western Michigan,Kennesaw State,10,24,69,58
Kennesaw State,Western Michigan,14,27,60,71
Western Michigan,Kennesaw State,13,20,69,67
Kennesaw State,Western Michigan,10,20,61,60
Western Michigan,Kennesaw State,6,7,75,57
Kennesaw State,Western Michigan,17,21,61,57
Western Michigan,Kennesaw State,13,17,66,60
Kennesaw State,Western Michigan,31,3,75,59
Western Michigan,Kennesaw State,17,10,74,55
Kennesaw State,Western Michigan,23,7,72,54
Western Michigan,Kennesaw State,16,7,74,59
Kennesaw State,Western Michigan,10,13,60,65
Western Michigan,Kennesaw State,30,21,76,64
Kennesaw State,Western Michigan,17,21,82,61
Western Michigan,Kennesaw State,17,23,73,61
Kennesaw State,Western Michigan,14,45,53,76
Western Michigan,Kennesaw State,17,14,65,70
Kennesaw State,Western Michigan,31,7,78,51
Western Michigan,Kennesaw State,9,34,54,69
Kennesaw State,Western Michigan,24,13,70,59
Western Michigan,Kennesaw State,6,17,71,56
Kennesaw State,Western Michigan,28,10,70,64
Western Michigan,Kennesaw State,14,19,69,61
Kennesaw State,Western Michigan,58,14,76,61
Western Michigan,Kennesaw State,16,20,76,53
Kennesaw State,Western Michigan,16,17,70,61
Western Michigan,Kennesaw State,0,35,64,66
Kennesaw State,Western Michigan,35,30,68,62
Western Michigan,Kennesaw State,10,31,75,64
Kennesaw State,Western Michigan,30,10,71,65
Western Michigan,Kennesaw State,23,20,68,68
Kennesaw State,Western Michigan,31,17,74,53
Western Michigan,Kennesaw State,16,13,56,80
Kennesaw State,Western Michigan,21,24,63,64
Western Michigan,Kennesaw State,33,17,65,66
Kennesaw State,Western Michigan,7,16,61,68
Western Michigan,Kennesaw State,42,17,71,68
Kennesaw State,Western Michigan,28,24,58,69
Western Michigan,Kennesaw State,17,23,61,70
Kennesaw State,Western Michigan,24,13,63,67
Western Michigan,Kennesaw State,17,13,74,62
Kennesaw State,Western Michigan,17,14,60,67
Western Michigan,Kennesaw State,17,21,72,56
Kennesaw State,Western Michigan,7,27,65,65
Western Michigan,Kennesaw State,28,17,62,70
Kennesaw State,Western Michigan,14,13,62,65
Western Michigan,Kennesaw State,16,14,71,71
Kennesaw State,Western Michigan,27,13,68,56
Western Michigan,Kennesaw State,10,23,62,64
Kennesaw State,Western Michigan,16,17,69,62
Western Michigan,Kennesaw State,20,28,73,61
Kennesaw State,Western Michigan,20,7,65,65
Western Michigan,Kennesaw State,10,16,64,63
Kennesaw State,Western Michigan,14,33,57,71
Western Michigan,Kennesaw State,20,7,67,70
Kennesaw State,Western Michigan,6,21,67,60
Western Michigan,Kennesaw State,10,38,65,63
Kennesaw State,Western Michigan,13,17,70,66
Western Michigan,Kennesaw State,23,14,74,53
Kennesaw State,Western Michigan,28,17,68,68
Western Michigan,Kennesaw State,20,31,72,60
Kennesaw State,Western Michigan,17,35,66,70
Western Michigan,Kennesaw State,7,31,68,60
Kennesaw State,Western Michigan,24,13,65,63
Western Michigan,Kennesaw State,7,27,64,66
Kennesaw State,Western Michigan,17,19,64,64
Western Michigan,Kennesaw State,14,23,58,75
Kennesaw State,Western Michigan,20,16,80,55
Western Michigan,Kennesaw State,20,20,62,67
Kennesaw State,Western Michigan,7,17,55,68
Western Michigan,Kennesaw State,13,27,73,68
Kennesaw State,Western Michigan,13,10,69,59
Western Michigan,Kennesaw State,28,6,72,54
Kennesaw State,Western Michigan,20,20,67,68
Western Michigan,Kennesaw State,13,17,59,72
Kennesaw State,Western Michigan,31,21,69,64
Western Michigan,Kennesaw State,10,16,60,69
Kennesaw State,Western Michigan,31,14,72,59
Western Michigan,Kennesaw State,24,3,68,57
Kennesaw State,Western Michigan,22,10,75,59
Western Michigan,Kennesaw State,13,24,61,69
Kennesaw State,Western Michigan,21,20,54,75
Western Michigan,Kennesaw State,9,7,58,70
Kennesaw State,Western Michigan,10,27,57,67
Western Michigan,Kennesaw State,7,34,57,79
Kennesaw State,Western Michigan,14,31,58,68
Western Michigan,Kennesaw State,42,19,75,56
Kennesaw State,Western Michigan,24,13,56,64
Western Michigan,Kennesaw State,10,3,60,62
Kennesaw State,Western Michigan,20,17,73,64
Western Michigan,Kennesaw State,20,3,63,71
Kennesaw State,Western Michigan,17,24,74,64
Western Michigan,Kennesaw State,24,10,66,69
Kennesaw State,Western Michigan,17,20,72,60
Western Michigan,Kennesaw State,17,21,60,65
Kennesaw State,Western Michigan,10,6,61,71
Western Michigan,Kennesaw State,10,14,83,48
Kennesaw State,Western Michigan,14,27,68,64
Western Michigan,Kennesaw State,17,10,70,58
Kennesaw State,Western Michigan,10,31,58,76
Western Michigan,Kennesaw State,24,34,59,75
Kennesaw State,Western Michigan,30,31,73,62
Western Michigan,Kennesaw State,17,14,64,61
Kennesaw State,Western Michigan,9,7,77,58
Western Michigan,Kennesaw State,24,10,65,64
Kennesaw State,Western Michigan,17,13,61,64
Western Michigan,Kennesaw State,14,30,63,77
Kennesaw State,Western Michigan,16,10,62,68
Western Michigan,Kennesaw State,24,21,63,68
Kennesaw State,Western Michigan,28,13,72,59
Western Michigan,Kennesaw State,20,14,62,63
Kennesaw State,Western Michigan,10,34,61,71
Western Michigan,Kennesaw State,14,23,70,68
Kennesaw State,Western Michigan,24,17,59,70
Western Michigan,Kennesaw State,6,7,71,65
Kennesaw State,Western Michigan,52,3,84,52
Western Michigan,Kennesaw State,10,24,54,71
Kennesaw State,Western Michigan,10,23,60,70
Western Michigan,Kennesaw State,17,17,73,54
Kennesaw State,Western Michigan,7,16,53,70
Western Michigan,Kennesaw State,9,16,73,59
Kennesaw State,Western Michigan,3,13,59,67
Western Michigan,Kennesaw State,27,16,74,55
Kennesaw State,Western Michigan,6,17,67,61
Western Michigan,Kennesaw State,13,27,62,72
Kennesaw State,Western Michigan,7,17,70,62
Western Michigan,Kennesaw State,17,10,69,63
Kennesaw State,Western Michigan,0,27,60,67
Western Michigan,Kennesaw State,7,17,61,68
Kennesaw State,Western Michigan,10,20,59,66
Western Michigan,Kennesaw State,17,35,58,80
Kennesaw State,Western Michigan,31,19,66,70
Western Michigan,Kennesaw State,20,27,71,64
Kennesaw State,Western Michigan,31,28,74,58
Western Michigan,Kennesaw State,9,21,63,63
Kennesaw State,Western Michigan,27,17,89,52
Western Michigan,Kennesaw State,23,3,72,60
Kennesaw State,Western Michigan,14,20,66,67
Western Michigan,Kennesaw State,20,14,74,51
Kennesaw State,Western Michigan,27,21,69,69
Western Michigan,Kennesaw State,34,6,63,61
Kennesaw State,Western Michigan,14,28,72,63
Western Michigan,Kennesaw State,24,17,71,63
Kennesaw State,Western Michigan,17,28,58,72
Western Michigan,Kennesaw State,17,27,55,76
Kennesaw State,Western Michigan,28,23,65,70
Western Michigan,Kennesaw State,10,30,60,76
Kennesaw State,Western Michigan,28,14,74,56
Western Michigan,Kennesaw State,38,24,79,55
Kennesaw State,Western Michigan,17,21,64,65
Western Michigan,Kennesaw State,31,42,68,74
Kennesaw State,Western Michigan,10,38,67,70
Western Michigan,Kennesaw State,38,16,60,71
Kennesaw State,Western Michigan,10,20,71,68
Western Michigan,Kennesaw State,17,24,66,65
Kennesaw State,Western Michigan,17,10,65,59
Western Michigan,Kennesaw State,16,6,64,65
Kennesaw State,Western Michigan,21,21,80,52
Western Michigan,Kennesaw State,20,14,62,65
Kennesaw State,Western Michigan,28,14,71,58
Western Michigan,Kennesaw State,35,7,70,59
Kennesaw State,Western Michigan,20,30,69,68
Western Michigan,Kennesaw State,19,3,62,62
Kennesaw State,Western Michigan,14,20,72,61
Western Michigan,Kennesaw State,24,20,66,67
Kennesaw State,Western Michigan,27,31,80,55
Western Michigan,Kennesaw State,24,13,63,75
Kennesaw State,Western Michigan,34,17,69,64
Western Michigan,Kennesaw State,7,31,56,74
Kennesaw State,Western Michigan,42,10,66,64
Western Michigan,Kennesaw State,6,14,69,65
Kennesaw State,Western Michigan,14,7,79,62
Western Michigan,Kennesaw State,17,23,72,60
Kennesaw State,Western Michigan,28,17,74,57
Western Michigan,Kennesaw State,30,6,74,51
Kennesaw State,Western Michigan,14,21,72,56
Western Michigan,Kennesaw State,41,6,75,52
Kennesaw State,Western Michigan,48,0,84,45
Western Michigan,Kennesaw State,20,34,70,67
Kennesaw State,Western Michigan,6,23,64,65
Western Michigan,Kennesaw State,26,17,72,65
Kennesaw State,Western Michigan,7,14,56,64
Western Michigan,Kennesaw State,7,31,49,86
Kennesaw State,Western Michigan,14,14,70,61
