sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Auburn,Ball State,Jackson Arnold,QB,27,19,220.8,2,0,1,0,0.0,0,0,0,0.0,0
32,A,Auburn,Ball State,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,12,22.2,0,0,0,0.0,0
32,A,Auburn,Ball State,Jackson Arnold,Rusher,0,0,0.0,0,0,0,17,92.7,0,0,0,0.0,0
32,A,Auburn,Ball State,Damari Alston,Rusher,0,0,0.0,0,0,0,12,20.1,0,0,0,0.0,0
32,A,Auburn,Ball State,Durell Robinson,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
32,A,Auburn,Ball State,Other RB,Rusher,0,0,0.0,0,0,0,2,-4.4,0,0,0,0.0,0
32,A,Auburn,Ball State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,16,125.3,0
32,A,Auburn,Ball State,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.6,0
32,A,Auburn,Ball State,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,45.6,1
32,A,Auburn,Ball State,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,26.4,1
32,A,Ball State,Auburn,Kiael Kelly,QB,19,11,115.0,1,0,5,0,0.0,0,0,0,0.0,0
32,A,Ball State,Auburn,TJ Horton,Rusher,0,0,0.0,0,0,0,3,4.4,0,0,0,0.0,0
32,A,Ball State,Auburn,Kiael Kelly,Rusher,0,0,0.0,0,0,0,15,41.0,0,0,0,0.0,0
32,A,Ball State,Auburn,Qua Ashley,Rusher,0,0,0.0,0,0,0,5,25.0,0,0,0,0.0,0
32,A,Ball State,Auburn,Koby Gross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,56.0,0
32,A,Ball State,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,14.0,0
32,A,Ball State,Auburn,Drew Cassens,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Ball State,Auburn,Eric Weatherly,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.6,0
32,A,Ball State,Auburn,Ty Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.8,0
32,A,Ball State,Auburn,Maximus Webster,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.6,1
