sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Cincinnati,Bowling Green,Brendan Sorsby,QB,27,23,250.1,1,0,5,0,0.0,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Tawee Walker,Rusher,0,0,0.0,0,0,0,11,31.9,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Brendan Sorsby,Rusher,0,0,0.0,0,0,0,19,60.7,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Other RB,Rusher,0,0,0.0,0,0,0,4,23.4,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Evan Pryor,Rusher,0,0,0.0,0,0,0,6,27.8,1,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Chance Williams,Rusher,0,0,0.0,0,0,0,2,15.5,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Manny Covey,Rusher,0,0,0.0,0,0,0,2,5.0,0,0,0,0.0,0
16,A,Cincinnati,Bowling Green,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,104.7,1
16,A,Cincinnati,Bowling Green,Cyrus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,11,69.3,0
16,A,Cincinnati,Bowling Green,Caleb Goodie,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,55.5,0
16,A,Cincinnati,Bowling Green,Jeff Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.6,0
16,A,Bowling Green,Cincinnati,Drew Pyne,QB,28,16,140.3,0,0,6,0,0.0,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Kaderris Roberts,Rusher,0,0,0.0,0,0,0,3,12.9,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Chris McMillian,Rusher,0,0,0.0,0,0,0,8,18.0,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Cameron Pettaway,Rusher,0,0,0.0,0,0,0,5,6.7,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Nakai Amachree,Rusher,0,0,0.0,0,0,0,3,13.9,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Other RB,Rusher,0,0,0.0,0,0,0,1,6.5,0,0,0,0.0,0
16,A,Bowling Green,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,16,131.2,0
16,A,Bowling Green,Cincinnati,Jyrin Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,1.8,0
16,A,Bowling Green,Cincinnati,Brennan Ridley,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
16,A,Bowling Green,Cincinnati,Finn Hogan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.5,0
16,A,Bowling Green,Cincinnati,Blane Cleaver,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.8,0
16,A,Bowling Green,Cincinnati,RJ Garcia II,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,Bowling Green,Cincinnati,Drew Pyne,QB,26,16,167.2,1,0,3,0,0.0,0,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Kaderris Roberts,Rusher,0,0,0.0,0,0,0,8,56.0,1,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Chris McMillian,Rusher,0,0,0.0,0,0,0,14,83.6,1,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Cameron Pettaway,Rusher,0,0,0.0,0,0,0,6,22.8,0,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Nakai Amachree,Rusher,0,0,0.0,0,0,0,2,-1.9,0,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Other RB,Rusher,0,0,0.0,0,0,0,3,19.2,0,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Mar'Kel Porter,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
17,B,Bowling Green,Cincinnati,Reis Stocksdale,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,Bowling Green,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,16,126.6,1
17,B,Bowling Green,Cincinnati,Jyrin Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,16.2,0
17,B,Bowling Green,Cincinnati,Finn Hogan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.5,0
