sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Indiana,Kennesaw State,Fernando Mendoza,QB,22,18,246.2,2,0,2,0,0.0,0,0,0,0.0,0
32,A,Indiana,Kennesaw State,Roman Hemby,Rusher,0,0,0.0,0,0,0,9,26.3,0,0,0,0.0,0
32,A,Indiana,Kennesaw State,Lee Beebe,Rusher,0,0,0.0,0,0,0,7,28.8,1,0,0,0.0,0
32,A,Indiana,Kennesaw State,Kaelon Black,Rusher,0,0,0.0,0,0,0,9,18.9,0,0,0,0.0,0
32,A,Indiana,Kennesaw State,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,2,15.4,0,0,0,0.0,0
32,A,Indiana,Kennesaw State,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.5,0
32,A,Indiana,Kennesaw State,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,25.8,0
32,A,Indiana,Kennesaw State,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,58.2,1
32,A,Indiana,Kennesaw State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,77.2,0
32,A,Indiana,Kennesaw State,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,61.5,1
32,A,Indiana,Kennesaw State,Charlie Becker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Kennesaw State,Indiana,Dexter Williams II,QB,24,16,232.8,1,0,9,0,0.0,0,0,0,0.0,0
32,A,Kennesaw State,Indiana,Dexter Williams II,Rusher,0,0,0.0,0,0,0,8,14.5,0,0,0,0.0,0
32,A,Kennesaw State,Indiana,Alexander Diggs,Rusher,0,0,0.0,0,0,0,5,-3.2,0,0,0,0.0,0
32,A,Kennesaw State,Indiana,Coleman Bennett,Rusher,0,0,0.0,0,0,0,7,36.7,0,0,0,0.0,0
32,A,Kennesaw State,Indiana,Other RB,Rusher,0,0,0.0,0,0,0,1,-3.0,0,0,0,0.0,0
32,A,Kennesaw State,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,14,171.6,0
32,A,Kennesaw State,Indiana,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,24.1,0
32,A,Kennesaw State,Indiana,Lyndon Ravare,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.1,1
32,A,Kennesaw State,Indiana,Tykeem Wallace,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.0,0
32,A,Kennesaw State,Indiana,Jordan Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
