sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Louisville,James Madison,Miller Moss,QB,34,26,444.6,3,0,4,0,0.0,0,0,0,0.0,0
16,A,Louisville,James Madison,Keyjuan Brown,Rusher,0,0,0.0,0,0,0,7,41.5,2,0,0,0.0,0
16,A,Louisville,James Madison,Braxton Jennings,Rusher,0,0,0.0,0,0,0,5,33.4,0,0,0,0.0,0
16,A,Louisville,James Madison,Other RB,Rusher,0,0,0.0,0,0,0,14,38.4,0,0,0,0.0,0
16,A,Louisville,James Madison,Isaac Brown,Rusher,0,0,0.0,0,0,0,11,37.0,2,0,0,0.0,0
16,A,Louisville,James Madison,Duke Watson,Rusher,0,0,0.0,0,0,0,3,10.7,0,0,0,0.0,0
16,A,Louisville,James Madison,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,200.0,2
16,A,Louisville,James Madison,Caullin Lacy,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,82.9,0
16,A,Louisville,James Madison,Chris Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,62.8,1
16,A,Louisville,James Madison,Antonio Meeks,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.3,0
16,A,Louisville,James Madison,Dacari Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Louisville,James Madison,Kris Hughes,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,65.6,0
16,A,Louisville,James Madison,Shaun Boykins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,James Madison,Louisville,Alonza Barnett,QB,38,29,414.5,3,0,12,0,0.0,0,0,0,0.0,0
16,A,James Madison,Louisville,Jobi Malary,Rusher,0,0,0.0,0,0,0,2,1.8,0,0,0,0.0,0
16,A,James Madison,Louisville,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,6,30.4,0,0,0,0.0,0
16,A,James Madison,Louisville,Other RB,Rusher,0,0,0.0,0,0,0,9,29.6,0,0,0,0.0,0
16,A,James Madison,Louisville,Wayne Knight,Rusher,0,0,0.0,0,0,0,5,37.9,1,0,0,0.0,0
