sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,LSU,Louisiana Tech,Garrett Nussmeier,QB,37,24,234.3,2,0,3,0,0.0,0,0,0,0.0,0
0,A,LSU,Louisiana Tech,Caden Durham,Rusher,0,0,0.0,0,0,0,24,64.0,1,0,0,0.0,0
0,A,LSU,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,15,65.5,1,0,0,0.0,0
0,A,LSU,Louisiana Tech,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,3,1.1,0,0,0,0.0,0
0,A,LSU,Louisiana Tech,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,1,0.3,0,0,0,0.0,0
0,A,LSU,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,108.4,0
0,A,LSU,Louisiana Tech,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,34.1,1
0,A,LSU,Louisiana Tech,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,11,65.3,0
0,A,LSU,Louisiana Tech,Kyle Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.1,1
0,A,LSU,Louisiana Tech,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.4,0
0,A,Louisiana Tech,LSU,Trey Kukuk,QB,32,16,159.1,1,0,5,0,0.0,0,0,0,0.0,0
0,A,Louisiana Tech,LSU,Andrew Burnette,Rusher,0,0,0.0,0,0,0,12,46.0,0,0,0,0.0,0
0,A,Louisiana Tech,LSU,Trey Kukuk,Rusher,0,0,0.0,0,0,0,25,106.2,1,0,0,0.0,0
0,A,Louisiana Tech,LSU,Omiri Wiggins,Rusher,0,0,0.0,0,0,0,2,2.1,0,0,0,0.0,0
0,A,Louisiana Tech,LSU,Clay Thevenin,Rusher,0,0,0.0,0,0,0,7,48.6,1,0,0,0.0,0
0,A,Louisiana Tech,LSU,Other RB,Rusher,0,0,0.0,0,0,0,3,12.0,0,0,0,0.0,0
0,A,Louisiana Tech,LSU,Fred Robertson,Rusher,0,0,0.0,0,0,0,1,5.1,0,0,0,0.0,0
0,A,Louisiana Tech,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,19,98.6,1
0,A,Louisiana Tech,LSU,Marques Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,33.7,0
0,A,Louisiana Tech,LSU,Dedrick Latulas,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,26.8,0
0,A,Louisiana Tech,LSU,Jalen Mickens,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Louisiana Tech,LSU,Dane Benedix,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Trey Kukuk,QB,35,22,246.7,1,0,7,0,0.0,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Andrew Burnette,Rusher,0,0,0.0,0,0,0,4,1.6,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Clay Thevenin,Rusher,0,0,0.0,0,0,0,7,16.8,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Other RB,Rusher,0,0,0.0,0,0,0,4,11.8,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Trey Kukuk,Rusher,0,0,0.0,0,0,0,15,45.1,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Fred Robertson,Rusher,0,0,0.0,0,0,0,2,5.1,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Omiri Wiggins,Rusher,0,0,0.0,0,0,0,3,0.2,0,0,0,0.0,0
1,B,Louisiana Tech,LSU,Marques Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,32.6,1
1,B,Louisiana Tech,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,22,176.4,0
1,B,Louisiana Tech,LSU,Dedrick Latulas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.0,0
1,B,Louisiana Tech,LSU,Jalen Mickens,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,8.6,0
1,B,Louisiana Tech,LSU,Dane Benedix,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,LSU,Louisiana Tech,Garrett Nussmeier,QB,49,34,460.6,2,0,1,0,0.0,0,0,0,0.0,0
1,B,LSU,Louisiana Tech,Caden Durham,Rusher,0,0,0.0,0,0,0,18,27.4,0,0,0,0.0,0
1,B,LSU,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,10,101.8,2,0,0,0.0,0
1,B,LSU,Louisiana Tech,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,2,16.7,2,0,0,0.0,0
1,B,LSU,Louisiana Tech,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,4,18.9,0,0,0,0.0,0
1,B,LSU,Louisiana Tech,Harlem Berry,Rusher,0,0,0.0,0,0,0,1,-4.2,0,0,0,0.0,0
1,B,LSU,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,18,25,311.4,1
1,B,LSU,Louisiana Tech,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,72.0,1
1,B,LSU,Louisiana Tech,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,77.2,0
1,B,LSU,Louisiana Tech,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
2,A,LSU,Louisiana Tech,Garrett Nussmeier,QB,43,27,454.6,3,0,2,0,0.0,0,0,0,0.0,0
2,A,LSU,Louisiana Tech,Caden Durham,Rusher,0,0,0.0,0,0,0,25,84.9,0,0,0,0.0,0
2,A,LSU,Louisiana Tech,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,5,22.0,0,0,0,0.0,0
2,A,LSU,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,12,81.9,1,0,0,0.0,0
2,A,LSU,Louisiana Tech,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,1,-4.2,0,0,0,0.0,0
2,A,LSU,Louisiana Tech,Chris Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.9,0
2,A,LSU,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,23,275.5,1
2,A,LSU,Louisiana Tech,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,20.8,0
2,A,LSU,Louisiana Tech,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,86.9,1
2,A,LSU,Louisiana Tech,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,51.5,1
2,A,Louisiana Tech,LSU,Trey Kukuk,QB,34,18,209.2,0,0,9,0,0.0,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Trey Kukuk,Rusher,0,0,0.0,0,0,0,15,43.3,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Fred Robertson,Rusher,0,0,0.0,0,0,0,4,12.9,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Andrew Burnette,Rusher,0,0,0.0,0,0,0,5,35.7,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Omiri Wiggins,Rusher,0,0,0.0,0,0,0,2,13.2,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Clay Thevenin,Rusher,0,0,0.0,0,0,0,3,15.3,1,0,0,0.0,0
2,A,Louisiana Tech,LSU,Other RB,Rusher,0,0,0.0,0,0,0,3,6.5,0,0,0,0.0,0
2,A,Louisiana Tech,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,23,164.1,0
2,A,Louisiana Tech,LSU,Marques Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
2,A,Louisiana Tech,LSU,Dane Benedix,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.1,0
2,A,Louisiana Tech,LSU,Dedrick Latulas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.5,0
2,A,Louisiana Tech,LSU,Jalen Mickens,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.5,0
3,B,Louisiana Tech,LSU,Trey Kukuk,QB,44,24,230.1,0,0,9,0,0.0,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Clay Thevenin,Rusher,0,0,0.0,0,0,0,10,19.0,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Trey Kukuk,Rusher,0,0,0.0,0,0,0,13,29.3,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Other RB,Rusher,0,0,0.0,0,0,0,3,11.5,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Omiri Wiggins,Rusher,0,0,0.0,0,0,0,2,6.8,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Fred Robertson,Rusher,0,0,0.0,0,0,0,1,1.2,0,0,0,0.0,0
3,B,Louisiana Tech,LSU,Marques Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,21.6,0
3,B,Louisiana Tech,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,23,140.7,0
3,B,Louisiana Tech,LSU,Jalen Mickens,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,15.2,0
3,B,Louisiana Tech,LSU,Dedrick Latulas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,52.6,0
3,B,Louisiana Tech,LSU,Dane Benedix,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
3,B,LSU,Louisiana Tech,Garrett Nussmeier,QB,41,27,519.3,5,0,1,0,0.0,0,0,0,0.0,0
3,B,LSU,Louisiana Tech,Caden Durham,Rusher,0,0,0.0,0,0,0,20,37.4,1,0,0,0.0,0
3,B,LSU,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,9,6.1,1,0,0,0.0,0
3,B,LSU,Louisiana Tech,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,6,23.2,0,0,0,0.0,0
3,B,LSU,Louisiana Tech,Harlem Berry,Rusher,0,0,0.0,0,0,0,2,13.9,0,0,0,0.0,0
3,B,LSU,Louisiana Tech,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,27.5,0
3,B,LSU,Louisiana Tech,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,26.0,1
3,B,LSU,Louisiana Tech,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,81.2,2
3,B,LSU,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,24,342.8,2
3,B,LSU,Louisiana Tech,Kyle Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,41.8,0
4,A,LSU,Louisiana Tech,Garrett Nussmeier,QB,37,27,431.2,2,0,1,0,0.0,0,0,0,0.0,0
4,A,LSU,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,14,74.4,0,0,0,0.0,0
4,A,LSU,Louisiana Tech,Caden Durham,Rusher,0,0,0.0,0,0,0,29,183.4,5,0,0,0.0,0
4,A,LSU,Louisiana Tech,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,3,30.6,2,0,0,0.0,0
4,A,LSU,Louisiana Tech,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,2,33.5,1,0,0,0.0,0
4,A,LSU,Louisiana Tech,Harlem Berry,Rusher,0,0,0.0,0,0,0,2,-4.7,0,0,0,0.0,0
4,A,LSU,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,16,21,257.5,2
4,A,LSU,Louisiana Tech,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,90.0,0
4,A,LSU,Louisiana Tech,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,35.1,0
4,A,LSU,Louisiana Tech,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.4,0
4,A,LSU,Louisiana Tech,Chris Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.1,0
