sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Oregon,Oklahoma State,Dante Moore,QB,30,19,251.9,1,1,5,0,0.0,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Other RB,Rusher,0,0,0.0,0,0,0,2,6.0,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Noah Whittington,Rusher,0,0,0.0,0,0,0,11,64.8,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Jayden Limar,Rusher,0,0,0.0,0,0,0,4,25.0,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Jordon Davison,Rusher,0,0,0.0,0,0,0,4,13.3,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Dierre Hill Jr.,Rusher,0,0,0.0,0,0,0,6,11.4,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Da'Jaun Riggs,Rusher,0,0,0.0,0,0,0,5,12.8,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Dante Moore,Rusher,0,0,0.0,0,0,0,2,-5.0,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Jay Harris,Rusher,0,0,0.0,0,0,0,1,0.4,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Makhi Hughes,Rusher,0,0,0.0,0,0,0,1,-3.6,0,0,0,0.0,0
32,A,Oregon,Oklahoma State,Malik Benson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,29.4,0
32,A,Oregon,Oklahoma State,Dakorien Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Oregon,Oklahoma State,Kenyon Sadiq,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.3,0
32,A,Oregon,Oklahoma State,Jeremiah McClellan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,40.1,0
32,A,Oregon,Oklahoma State,Gary Bryant Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,24.9,0
32,A,Oregon,Oklahoma State,Cooper Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,43.7,0
32,A,Oregon,Oklahoma State,Justius Lowe,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.4,0
32,A,Oregon,Oklahoma State,Kyler Kasper,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.5,0
32,A,Oregon,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,64.5,1
32,A,Oklahoma State,Oregon,Zane Flores,QB,25,19,149.9,0,0,5,0,0.0,0,0,0,0.0,0
32,A,Oklahoma State,Oregon,Other RB,Rusher,0,0,0.0,0,0,0,5,41.3,0,0,0,0.0,0
32,A,Oklahoma State,Oregon,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,9,44.6,1,0,0,0.0,0
32,A,Oklahoma State,Oregon,Kalib Hicks,Rusher,0,0,0.0,0,0,0,26,82.8,0,0,0,0.0,0
32,A,Oklahoma State,Oregon,Zane Flores,Rusher,0,0,0.0,0,0,0,2,11.9,1,0,0,0.0,0
32,A,Oklahoma State,Oregon,Freddie Brock,Rusher,0,0,0.0,0,0,0,4,4.1,0,0,0,0.0,0
32,A,Oklahoma State,Oregon,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,71.0,0
32,A,Oklahoma State,Oregon,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.4,0
