sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Pittsburgh,Central Michigan,Eli Holstein,QB,44,36,378.3,2,0,5,0,0.0,0,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Juelz Goff,Rusher,0,0,0.0,0,0,0,13,51.1,0,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Eli Holstein,Rusher,0,0,0.0,0,0,0,7,42.7,1,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Desmond Reid,Rusher,0,0,0.0,0,0,0,13,76.1,1,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Other RB,Rusher,0,0,0.0,0,0,0,8,16.4,1,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Jalynn Williams,Rusher,0,0,0.0,0,0,0,2,11.9,0,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,76.8,0
48,A,Pittsburgh,Central Michigan,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,29.6,0
48,A,Pittsburgh,Central Michigan,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,7,64.4,0
48,A,Pittsburgh,Central Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,13,149.7,2
48,A,Pittsburgh,Central Michigan,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
48,A,Pittsburgh,Central Michigan,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,51.0,0
48,A,Pittsburgh,Central Michigan,Cam Sapp,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,Pittsburgh,Central Michigan,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.8,0
48,A,Central Michigan,Pittsburgh,Joey Labas,QB,29,15,132.4,0,0,9,0,0.0,0,0,0,0.0,0
48,A,Central Michigan,Pittsburgh,Trey Cornist,Rusher,0,0,0.0,0,0,0,8,32.0,0,0,0,0.0,0
48,A,Central Michigan,Pittsburgh,Nahree Biggins,Rusher,0,0,0.0,0,0,0,13,26.0,0,0,0,0.0,0
48,A,Central Michigan,Pittsburgh,Other RB,Rusher,0,0,0.0,0,0,0,15,25.0,0,0,0,0.0,0
48,A,Central Michigan,Pittsburgh,Collin Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,29.3,0
48,A,Central Michigan,Pittsburgh,Tommy Mcintosh,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,18.2,0
48,A,Central Michigan,Pittsburgh,Tyson Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.5,0
48,A,Central Michigan,Pittsburgh,Langston Lewis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,25.9,0
48,A,Central Michigan,Pittsburgh,D.C. Temple,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,13.6,0
48,A,Central Michigan,Pittsburgh,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.9,0
49,B,Central Michigan,Pittsburgh,Joey Labas,QB,35,26,325.7,0,0,18,0,0.0,0,0,0,0.0,0
49,B,Central Michigan,Pittsburgh,Nahree Biggins,Rusher,0,0,0.0,0,0,0,14,53.9,1,0,0,0.0,0
49,B,Central Michigan,Pittsburgh,Trey Cornist,Rusher,0,0,0.0,0,0,0,8,34.8,0,0,0,0.0,0
49,B,Central Michigan,Pittsburgh,Other RB,Rusher,0,0,0.0,0,0,0,14,79.1,1,0,0,0.0,0
49,B,Central Michigan,Pittsburgh,Collin Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,52.0,0
49,B,Central Michigan,Pittsburgh,Tyson Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.4,0
49,B,Central Michigan,Pittsburgh,D.C. Temple,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,73.6,0
49,B,Central Michigan,Pittsburgh,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,120.8,0
49,B,Central Michigan,Pittsburgh,Tommy Mcintosh,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,29.1,0
49,B,Central Michigan,Pittsburgh,Langston Lewis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,36.9,0
49,B,Pittsburgh,Central Michigan,Eli Holstein,QB,47,29,303.3,3,0,5,0,0.0,0,0,0,0.0,0
49,B,Pittsburgh,Central Michigan,Eli Holstein,Rusher,0,0,0.0,0,0,0,15,91.6,0,0,0,0.0,0
49,B,Pittsburgh,Central Michigan,Desmond Reid,Rusher,0,0,0.0,0,0,0,12,61.6,0,0,0,0.0,0
49,B,Pittsburgh,Central Michigan,Juelz Goff,Rusher,0,0,0.0,0,0,0,13,85.0,2,0,0,0.0,0
49,B,Pittsburgh,Central Michigan,Other RB,Rusher,0,0,0.0,0,0,0,2,-0.1,0,0,0,0.0,0
49,B,Pittsburgh,Central Michigan,Jalynn Williams,Rusher,0,0,0.0,0,0,0,4,15.4,0,0,0,0.0,0
