sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Rutgers,Miami(OH),Athan Kaliakmanis,QB,27,17,173.9,3,0,1,0,0.0,0,0,0,0.0,0
32,A,Rutgers,Miami(OH),CJ Campbell,Rusher,0,0,0.0,0,0,0,11,75.4,1,0,0,0.0,0
32,A,Rutgers,Miami(OH),Antwan Raymond,Rusher,0,0,0.0,0,0,0,17,70.5,1,0,0,0.0,0
32,A,Rutgers,Miami(OH),Athan Kaliakmanis,Rusher,0,0,0.0,0,0,0,9,78.7,2,0,0,0.0,0
32,A,Rutgers,Miami(OH),Ja'shon Benjamin,Rusher,0,0,0.0,0,0,0,1,2.6,0,0,0,0.0,0
32,A,Rutgers,Miami(OH),Other RB,Rusher,0,0,0.0,0,0,0,1,17.5,1,0,0,0.0,0
32,A,Rutgers,Miami(OH),KJ Duff,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,40.6,1
32,A,Rutgers,Miami(OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,45.7,0
32,A,Rutgers,Miami(OH),Ian Strong,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,44.8,2
32,A,Rutgers,Miami(OH),DT Sheffield,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,42.8,0
32,A,Miami(OH),Rutgers,Other QB,QB,33,17,147.1,0,14,1,0,0.0,0,0,0,0.0,0
32,A,Miami(OH),Rutgers,Other RB,Rusher,0,0,0.0,0,0,0,25,52.7,0,0,0,0.0,0
32,A,Miami(OH),Rutgers,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,17,33,147.1,0
33,B,Miami(OH),Rutgers,Other QB,QB,25,14,170.2,0,9,1,0,0.0,0,0,0,0.0,0
33,B,Miami(OH),Rutgers,Other RB,Rusher,0,0,0.0,0,0,0,28,129.4,1,0,0,0.0,0
33,B,Miami(OH),Rutgers,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,25,170.2,0
33,B,Rutgers,Miami(OH),Athan Kaliakmanis,QB,31,19,259.9,2,0,9,0,0.0,0,0,0,0.0,0
33,B,Rutgers,Miami(OH),Antwan Raymond,Rusher,0,0,0.0,0,0,0,16,83.3,0,0,0,0.0,0
33,B,Rutgers,Miami(OH),CJ Campbell,Rusher,0,0,0.0,0,0,0,13,47.5,1,0,0,0.0,0
33,B,Rutgers,Miami(OH),Athan Kaliakmanis,Rusher,0,0,0.0,0,0,0,5,30.2,0,0,0,0.0,0
33,B,Rutgers,Miami(OH),KJ Duff,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,42.0,0
33,B,Rutgers,Miami(OH),DT Sheffield,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,9.2,0
33,B,Rutgers,Miami(OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,11,128.9,2
33,B,Rutgers,Miami(OH),Ian Strong,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,79.8,0
34,A,Rutgers,Miami(OH),Athan Kaliakmanis,QB,25,16,170.2,4,0,3,0,0.0,0,0,0,0.0,0
34,A,Rutgers,Miami(OH),Athan Kaliakmanis,Rusher,0,0,0.0,0,0,0,9,5.1,0,0,0,0.0,0
34,A,Rutgers,Miami(OH),Antwan Raymond,Rusher,0,0,0.0,0,0,0,12,61.4,0,0,0,0.0,0
34,A,Rutgers,Miami(OH),Ja'shon Benjamin,Rusher,0,0,0.0,0,0,0,5,10.1,0,0,0,0.0,0
34,A,Rutgers,Miami(OH),CJ Campbell,Rusher,0,0,0.0,0,0,0,9,24.3,1,0,0,0.0,0
34,A,Rutgers,Miami(OH),KJ Duff,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,60.4,1
34,A,Rutgers,Miami(OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,44.0,1
34,A,Rutgers,Miami(OH),Ian Strong,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,8.1,0
34,A,Rutgers,Miami(OH),DT Sheffield,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,57.8,2
34,A,Miami(OH),Rutgers,Other QB,QB,35,19,171.9,1,10,2,0,0.0,0,0,0,0.0,0
34,A,Miami(OH),Rutgers,Other RB,Rusher,0,0,0.0,0,0,0,24,47.4,0,0,0,0.0,0
34,A,Miami(OH),Rutgers,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,19,35,171.9,1
35,B,Miami(OH),Rutgers,Other QB,QB,27,15,140.3,0,12,2,0,0.0,0,0,0,0.0,0
35,B,Miami(OH),Rutgers,Other RB,Rusher,0,0,0.0,0,0,0,19,58.8,0,0,0,0.0,0
35,B,Miami(OH),Rutgers,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,27,140.3,0
