sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Toledo,Western Kentucky,Tucker Gleason,QB,48,27,287.0,0,0,6,0,0.0,0,0,0,0.0,0
0,A,Toledo,Western Kentucky,Connor Walendzak,Rusher,0,0,0.0,0,0,0,4,26.6,0,0,0,0.0,0
0,A,Toledo,Western Kentucky,DeaMonte Trayanum,Rusher,0,0,0.0,0,0,0,12,37.1,0,0,0,0.0,0
0,A,Toledo,Western Kentucky,Tucker Gleason,Rusher,0,0,0.0,0,0,0,9,36.7,1,0,0,0.0,0
0,A,Toledo,Western Kentucky,Kenji Christian,Rusher,0,0,0.0,0,0,0,7,26.3,0,0,0,0.0,0
0,A,Toledo,Western Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,2,14.7,1,0,0,0.0,0
0,A,Toledo,Western Kentucky,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,18,127.4,0
0,A,Toledo,Western Kentucky,Jacob Petersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,12.5,0
0,A,Toledo,Western Kentucky,Eric Holley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,42.4,0
0,A,Toledo,Western Kentucky,Junior Vandeross,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,14,66.2,0
0,A,Toledo,Western Kentucky,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,1.8,0
0,A,Toledo,Western Kentucky,CC Ezirim,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Toledo,Western Kentucky,Terrell Crosby Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,36.8,0
0,A,Toledo,Western Kentucky,Javon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,Maverick McIvor,QB,30,25,262.6,1,0,5,0,0.0,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,Jaden McGill,Rusher,0,0,0.0,0,0,0,10,36.5,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,Marvis Parrish,Rusher,0,0,0.0,0,0,0,7,24.3,1,0,0,0.0,0
0,A,Western Kentucky,Toledo,Jalen Hampton,Rusher,0,0,0.0,0,0,0,6,27.9,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,George Hart III,Rusher,0,0,0.0,0,0,0,8,30.9,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,La'Vell Wright,Rusher,0,0,0.0,0,0,0,6,25.2,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,Maverick McIvor,Rusher,0,0,0.0,0,0,0,3,26.4,2,0,0,0.0,0
0,A,Western Kentucky,Toledo,Moussa Barry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,46.3,1
0,A,Western Kentucky,Toledo,Kelby Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,24.3,0
0,A,Western Kentucky,Toledo,Matthew Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,45.1,0
0,A,Western Kentucky,Toledo,K.D. Hutchinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,26.1,0
0,A,Western Kentucky,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,72.5,0
0,A,Western Kentucky,Toledo,Cameron Flowers,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Western Kentucky,Toledo,Marvin Sims,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.0,0
0,A,Western Kentucky,Toledo,Isaiah Myers,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Western Kentucky,Toledo,Jairus Mack,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.9,0
0,A,Western Kentucky,Toledo,Quincy Burroughs,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.4,0
1,B,Western Kentucky,Toledo,Maverick McIvor,QB,34,19,258.6,1,0,4,0,0.0,0,0,0,0.0,0
1,B,Western Kentucky,Toledo,Jalen Hampton,Rusher,0,0,0.0,0,0,0,7,46.2,1,0,0,0.0,0
1,B,Western Kentucky,Toledo,Jaden McGill,Rusher,0,0,0.0,0,0,0,8,16.4,0,0,0,0.0,0
1,B,Western Kentucky,Toledo,Marvis Parrish,Rusher,0,0,0.0,0,0,0,8,16.7,0,0,0,0.0,0
1,B,Western Kentucky,Toledo,George Hart III,Rusher,0,0,0.0,0,0,0,6,22.0,0,0,0,0.0,0
1,B,Western Kentucky,Toledo,La'Vell Wright,Rusher,0,0,0.0,0,0,0,3,-2.5,0,0,0,0.0,0
1,B,Western Kentucky,Toledo,Matthew Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,30.6,0
1,B,Western Kentucky,Toledo,K.D. Hutchinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,19.6,0
1,B,Western Kentucky,Toledo,Cameron Flowers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.9,0
1,B,Western Kentucky,Toledo,Jairus Mack,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
1,B,Western Kentucky,Toledo,Kelby Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,77.8,0
1,B,Western Kentucky,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,20.8,1
1,B,Western Kentucky,Toledo,Moussa Barry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,43.7,0
1,B,Western Kentucky,Toledo,Quincy Burroughs,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.2,0
1,B,Western Kentucky,Toledo,Jaleel Walker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,20.5,0
1,B,Western Kentucky,Toledo,Marvin Sims,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.6,0
1,B,Toledo,Western Kentucky,Tucker Gleason,QB,46,16,192.9,0,0,4,0,0.0,0,0,0,0.0,0
1,B,Toledo,Western Kentucky,DeaMonte Trayanum,Rusher,0,0,0.0,0,0,0,19,90.8,1,0,0,0.0,0
1,B,Toledo,Western Kentucky,Kenji Christian,Rusher,0,0,0.0,0,0,0,5,22.1,0,0,0,0.0,0
1,B,Toledo,Western Kentucky,Tucker Gleason,Rusher,0,0,0.0,0,0,0,8,33.6,0,0,0,0.0,0
1,B,Toledo,Western Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,3,24.0,0,0,0,0.0,0
1,B,Toledo,Western Kentucky,Connor Walendzak,Rusher,0,0,0.0,0,0,0,4,14.5,0,0,0,0.0,0
1,B,Toledo,Western Kentucky,Jacob Petersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,41.0,0
1,B,Toledo,Western Kentucky,Terrell Crosby Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,5.3,0
1,B,Toledo,Western Kentucky,Junior Vandeross,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,15,64.8,0
1,B,Toledo,Western Kentucky,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,53.7,0
1,B,Toledo,Western Kentucky,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,11.3,0
1,B,Toledo,Western Kentucky,Javon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Toledo,Western Kentucky,Eric Holley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,16.8,0
1,B,Toledo,Western Kentucky,CC Ezirim,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
2,A,Toledo,Western Kentucky,Tucker Gleason,QB,45,20,152.3,1,1,6,0,0.0,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,Kenji Christian,Rusher,0,0,0.0,0,0,0,5,26.2,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,DeaMonte Trayanum,Rusher,0,0,0.0,0,0,0,22,47.7,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,Tucker Gleason,Rusher,0,0,0.0,0,0,0,2,0.3,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,Connor Walendzak,Rusher,0,0,0.0,0,0,0,4,13.0,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,3,17.1,0,0,0,0.0,0
2,A,Toledo,Western Kentucky,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,3.8,0
2,A,Toledo,Western Kentucky,Junior Vandeross,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,14,41.8,0
2,A,Toledo,Western Kentucky,Terrell Crosby Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,9,37.4,0
2,A,Toledo,Western Kentucky,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,21.3,0
2,A,Toledo,Western Kentucky,Javon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.0,1
2,A,Toledo,Western Kentucky,Eric Holley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,29.9,0
2,A,Toledo,Western Kentucky,CC Ezirim,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
2,A,Western Kentucky,Toledo,Maverick McIvor,QB,26,16,182.1,2,0,7,0,0.0,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,Marvis Parrish,Rusher,0,0,0.0,0,0,0,7,31.7,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,Jaden McGill,Rusher,0,0,0.0,0,0,0,8,3.5,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,George Hart III,Rusher,0,0,0.0,0,0,0,9,32.7,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,Maverick McIvor,Rusher,0,0,0.0,0,0,0,2,25.4,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,La'Vell Wright,Rusher,0,0,0.0,0,0,0,4,19.2,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,Jalen Hampton,Rusher,0,0,0.0,0,0,0,4,5.8,0,0,0,0.0,0
2,A,Western Kentucky,Toledo,Matthew Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,36.9,0
2,A,Western Kentucky,Toledo,K.D. Hutchinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,41.6,0
2,A,Western Kentucky,Toledo,Marvin Sims,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.8,0
2,A,Western Kentucky,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
2,A,Western Kentucky,Toledo,Moussa Barry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,71.6,1
2,A,Western Kentucky,Toledo,Isaiah Myers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.9,0
2,A,Western Kentucky,Toledo,Jairus Mack,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.3,1
2,A,Western Kentucky,Toledo,Jaleel Walker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
3,B,Western Kentucky,Toledo,Maverick McIvor,QB,31,22,246.2,0,0,5,0,0.0,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,George Hart III,Rusher,0,0,0.0,0,0,0,8,27.0,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,Jaden McGill,Rusher,0,0,0.0,0,0,0,9,30.2,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,Marvis Parrish,Rusher,0,0,0.0,0,0,0,6,0.7,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,Jalen Hampton,Rusher,0,0,0.0,0,0,0,3,9.7,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,Maverick McIvor,Rusher,0,0,0.0,0,0,0,6,6.2,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,La'Vell Wright,Rusher,0,0,0.0,0,0,0,6,22.5,0,0,0,0.0,0
3,B,Western Kentucky,Toledo,Moussa Barry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,59.2,0
3,B,Western Kentucky,Toledo,Marvin Sims,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,5.1,0
3,B,Western Kentucky,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,47.7,0
3,B,Western Kentucky,Toledo,Matthew Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,14.7,0
3,B,Western Kentucky,Toledo,K.D. Hutchinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,27.2,0
3,B,Western Kentucky,Toledo,Cameron Flowers,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
3,B,Western Kentucky,Toledo,Kelby Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.6,0
3,B,Western Kentucky,Toledo,Jairus Mack,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,54.6,0
