sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Vanderbilt,Virginia Tech,Diego Pavia,QB,35,17,199.6,2,0,0,0,0.0,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Diego Pavia,Rusher,0,0,0.0,0,0,0,9,41.3,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Makhilyn Young,Rusher,0,0,0.0,0,0,0,6,-0.6,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Sedrick Alexander,Rusher,0,0,0.0,0,0,0,12,44.6,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Other RB,Rusher,0,0,0.0,0,0,0,3,29.5,1,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,AJ Newberry,Rusher,0,0,0.0,0,0,0,3,0.6,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Gabe Fields,Rusher,0,0,0.0,0,0,0,2,12.5,0,0,0,0.0,0
48,A,Vanderbilt,Virginia Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,23,154.5,1
48,A,Vanderbilt,Virginia Tech,Tre Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,28.9,0
48,A,Vanderbilt,Virginia Tech,Junior Sherrill,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.1,1
48,A,Vanderbilt,Virginia Tech,Kayleb Barnett,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
48,A,Vanderbilt,Virginia Tech,Richie Hoskins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Virginia Tech,Vanderbilt,Kyron Drones,QB,27,17,284.2,1,2,8,0,0.0,0,0,0,0.0,0
48,A,Virginia Tech,Vanderbilt,Marcellous Hawkins,Rusher,0,0,0.0,0,0,0,12,24.9,0,0,0,0.0,0
48,A,Virginia Tech,Vanderbilt,Kyron Drones,Rusher,0,0,0.0,0,0,0,10,84.3,2,0,0,0.0,0
48,A,Virginia Tech,Vanderbilt,Jeremiah Coney,Rusher,0,0,0.0,0,0,0,2,5.7,0,0,0,0.0,0
48,A,Virginia Tech,Vanderbilt,P.J. Prioleau,Rusher,0,0,0.0,0,0,0,3,18.3,0,0,0,0.0,0
48,A,Virginia Tech,Vanderbilt,Donavon Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,48.1,0
48,A,Virginia Tech,Vanderbilt,Isaiah Spencer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.2,0
48,A,Virginia Tech,Vanderbilt,Ayden Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
48,A,Virginia Tech,Vanderbilt,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,15,211.8,1
48,A,Virginia Tech,Vanderbilt,Takye Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.1,0
48,A,Virginia Tech,Vanderbilt,Cameron Seldon,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
49,B,Virginia Tech,Vanderbilt,Kyron Drones,QB,34,22,222.7,2,0,5,0,0.0,0,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,Marcellous Hawkins,Rusher,0,0,0.0,0,0,0,12,52.0,1,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,Kyron Drones,Rusher,0,0,0.0,0,0,0,9,33.1,1,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,P.J. Prioleau,Rusher,0,0,0.0,0,0,0,3,8.0,0,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,Other RB,Rusher,0,0,0.0,0,0,0,1,3.4,0,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,Jeremiah Coney,Rusher,0,0,0.0,0,0,0,4,38.4,1,0,0,0.0,0
49,B,Virginia Tech,Vanderbilt,Ayden Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,40.1,0
49,B,Virginia Tech,Vanderbilt,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,16,139.4,2
49,B,Virginia Tech,Vanderbilt,Donavon Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.7,0
