sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Washington State,San Diego State,Jaxon Potter,QB,42,27,383.3,3,0,7,0,0.0,0,0,0,0.0,0
16,A,Washington State,San Diego State,Angel Johnson,Rusher,0,0,0.0,0,0,0,15,63.5,0,0,0,0.0,0
16,A,Washington State,San Diego State,Kirby Vorhees,Rusher,0,0,0.0,0,0,0,10,26.8,0,0,0,0.0,0
16,A,Washington State,San Diego State,Other RB,Rusher,0,0,0.0,0,0,0,3,5.4,0,0,0,0.0,0
16,A,Washington State,San Diego State,Jaxon Potter,Rusher,0,0,0.0,0,0,0,2,4.3,0,0,0,0.0,0
16,A,Washington State,San Diego State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,19,224.6,2
16,A,Washington State,San Diego State,Leon Neal Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.1,0
16,A,Washington State,San Diego State,Jeremiah Noga,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,47.6,1
16,A,Washington State,San Diego State,Tony Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,45.2,0
16,A,Washington State,San Diego State,Josh Meredith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,8.1,0
16,A,Washington State,San Diego State,Branden Ganashamoorthy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,38.1,0
16,A,Washington State,San Diego State,Leyton Smithson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.6,0
16,A,San Diego State,Washington State,Jayden Denegal,QB,48,32,304.3,1,0,4,0,0.0,0,0,0,0.0,0
16,A,San Diego State,Washington State,Lucky Sutton,Rusher,0,0,0.0,0,0,0,16,62.1,0,0,0,0.0,0
16,A,San Diego State,Washington State,Other RB,Rusher,0,0,0.0,0,0,0,3,3.7,0,0,0,0.0,0
16,A,San Diego State,Washington State,Jayden Denegal,Rusher,0,0,0.0,0,0,0,7,35.0,0,0,0,0.0,0
16,A,San Diego State,Washington State,Byron Cardwell,Rusher,0,0,0.0,0,0,0,7,38.6,1,0,0,0.0,0
16,A,San Diego State,Washington State,Christian Washington,Rusher,0,0,0.0,0,0,0,8,10.9,0,0,0,0.0,0
16,A,San Diego State,Washington State,Cincere Rhaney,Rusher,0,0,0.0,0,0,0,3,13.7,1,0,0,0.0,0
