team,opp,pts,opp_pts,plays,opp_plays
Colorado,Delaware,34,17,68,58
Delaware,Colorado,21,27,74,60
Colorado,Delaware,27,7,64,58
Delaware,Colorado,14,38,53,65
Colorado,Delaware,21,3,64,61
Delaware,Colorado,10,56,57,66
Colorado,Delaware,30,21,83,54
Delaware,Colorado,3,31,62,64
Colorado,Delaware,34,14,62,65
Delaware,Colorado,21,14,66,63
Colorado,Delaware,40,14,70,62
Delaware,Colorado,10,41,47,76
Colorado,Delaware,59,14,57,71
Delaware,Colorado,24,30,72,61
Colorado,Delaware,21,20,61,63
Delaware,Colorado,24,3,71,50
Colorado,Delaware,23,7,73,63
Delaware,Colorado,0,42,54,71
Colorado,Delaware,31,17,62,67
Delaware,Colorado,0,19,56,71
Colorado,Delaware,26,17,61,65
Delaware,Colorado,34,14,74,58
Colorado,Delaware,33,0,77,51
Delaware,Colorado,14,14,62,62
Colorado,Delaware,24,17,68,60
Delaware,Colorado,24,17,75,53
Colorado,Delaware,41,10,81,50
Delaware,Colorado,24,28,69,59
Colorado,Delaware,24,6,65,60
Delaware,Colorado,7,28,49,73
Colorado,Delaware,19,7,72,56
Delaware,Colorado,13,27,73,59
Colorado,Delaware,20,21,69,62
Delaware,Colorado,17,35,66,69
Colorado,Delaware,20,21,65,63
Delaware,Colorado,10,28,61,66
Colorado,Delaware,45,21,72,66
Delaware,Colorado,10,38,64,67
Colorado,Delaware,20,20,63,71
Delaware,Colorado,14,38,77,57
Colorado,Delaware,10,14,69,54
Delaware,Colorado,7,21,61,67
Colorado,Delaware,45,10,66,62
Delaware,Colorado,14,28,65,63
Colorado,Delaware,37,34,67,66
Delaware,Colorado,6,30,57,71
Colorado,Delaware,14,14,67,64
Delaware,Colorado,6,14,57,68
Colorado,Delaware,31,7,71,62
Delaware,Colorado,21,20,62,59
Colorado,Delaware,20,14,72,53
Delaware,Colorado,14,35,89,56
Colorado,Delaware,42,23,58,76
Delaware,Colorado,13,31,64,64
Colorado,Delaware,38,10,76,55
Delaware,Colorado,7,55,67,68
Colorado,Delaware,41,0,68,59
Delaware,Colorado,0,35,63,63
Colorado,Delaware,23,7,73,59
Delaware,Colorado,14,13,66,66
Colorado,Delaware,41,10,71,57
Delaware,Colorado,13,28,59,71
Colorado,Delaware,23,24,71,52
Delaware,Colorado,14,31,58,69
Colorado,Delaware,30,6,70,57
Delaware,Colorado,13,28,79,53
Colorado,Delaware,42,10,71,55
Delaware,Colorado,17,27,76,55
Colorado,Delaware,20,7,61,56
Delaware,Colorado,14,37,70,63
Colorado,Delaware,44,7,73,56
Delaware,Colorado,17,37,65,71
Colorado,Delaware,27,10,64,73
Delaware,Colorado,10,30,61,68
Colorado,Delaware,13,21,73,62
Delaware,Colorado,31,30,70,61
Colorado,Delaware,17,21,74,61
Delaware,Colorado,6,41,60,74
Colorado,Delaware,30,17,74,55
Delaware,Colorado,7,26,66,67
Colorado,Delaware,28,7,66,63
Delaware,Colorado,3,34,48,79
Colorado,Delaware,45,23,65,67
Delaware,Colorado,24,31,74,65
Colorado,Delaware,34,0,73,56
Delaware,Colorado,10,10,64,57
Colorado,Delaware,38,10,62,60
Delaware,Colorado,16,38,70,56
