team,opp,pts,opp_pts,plays,opp_plays
Duke,Illinois,6,45,59,76
Illinois,Duke,7,28,56,71
Duke,Illinois,10,30,57,74
Illinois,Duke,27,10,82,56
Duke,Illinois,7,24,65,61
Illinois,Duke,20,31,59,72
Duke,Illinois,35,28,66,73
Illinois,Duke,16,16,69,61
Duke,Illinois,27,7,72,56
Illinois,Duke,28,20,65,75
Duke,Illinois,6,34,65,71
Illinois,Duke,31,3,75,52
Duke,Illinois,13,20,77,60
Illinois,Duke,31,24,69,72
Duke,Illinois,0,23,60,68
Illinois,Duke,17,31,68,66
Duke,Illinois,0,56,61,71
Illinois,Duke,14,24,70,61
Duke,Illinois,0,35,57,68
Illinois,Duke,17,21,64,68
Duke,Illinois,17,13,73,59
Illinois,Duke,20,21,72,56
Duke,Illinois,31,31,66,67
Illinois,Duke,10,45,62,74
Duke,Illinois,23,7,72,54
Illinois,Duke,45,10,87,53
Duke,Illinois,20,24,68,74
Illinois,Duke,13,20,66,72
Duke,Illinois,14,20,70,63
Illinois,Duke,44,7,71,65
Duke,Illinois,7,21,69,70
Illinois,Duke,21,21,70,59
Duke,Illinois,13,42,57,77
Illinois,Duke,28,27,64,63
Duke,Illinois,14,14,57,63
Illinois,Duke,41,14,69,76
Duke,Illinois,24,24,62,70
Illinois,Duke,14,17,67,64
Duke,Illinois,28,41,73,64
Illinois,Duke,24,17,71,66
Duke,Illinois,14,42,67,67
Illinois,Duke,31,10,68,64
Duke,Illinois,27,41,71,63
Illinois,Duke,41,24,73,58
Duke,Illinois,10,17,61,68
Illinois,Duke,31,24,74,68
Duke,Illinois,3,31,64,70
Illinois,Duke,28,31,65,76
Duke,Illinois,28,17,66,68
Illinois,Duke,35,21,64,80
Duke,Illinois,27,21,66,78
Illinois,Duke,13,10,74,54
Duke,Illinois,10,13,63,58
Illinois,Duke,17,21,80,59
Duke,Illinois,17,38,73,64
Illinois,Duke,48,10,77,69
Duke,Illinois,27,17,68,62
Illinois,Duke,35,20,71,76
Duke,Illinois,10,28,62,72
Illinois,Duke,49,13,69,71
Duke,Illinois,20,31,66,70
Illinois,Duke,20,28,66,67
Duke,Illinois,14,30,56,79
Illinois,Duke,31,17,72,59
Duke,Illinois,10,10,63,62
Illinois,Duke,34,16,69,68
Duke,Illinois,7,23,73,63
Illinois,Duke,17,10,69,71
Duke,Illinois,17,0,75,47
Illinois,Duke,31,14,78,60
Duke,Illinois,7,40,65,68
Illinois,Duke,31,20,72,68
Duke,Illinois,14,17,74,68
Illinois,Duke,41,14,79,63
Duke,Illinois,3,38,58,81
Illinois,Duke,20,37,59,72
Duke,Illinois,34,52,71,62
Illinois,Duke,41,7,85,51
Duke,Illinois,13,52,66,73
Illinois,Duke,31,14,63,72
Duke,Illinois,13,27,75,65
Illinois,Duke,24,0,74,58
Duke,Illinois,20,24,66,73
Illinois,Duke,14,27,56,72
Duke,Illinois,38,20,71,67
Illinois,Duke,21,21,70,66
Duke,Illinois,20,28,77,58
Illinois,Duke,21,0,66,65
Duke,Illinois,31,34,62,77
Illinois,Duke,31,10,78,55
Duke,Illinois,7,17,74,64
Illinois,Duke,28,10,71,58
Duke,Illinois,31,28,74,59
Illinois,Duke,17,37,62,77
Duke,Illinois,17,35,79,57
Illinois,Duke,45,17,76,63
Duke,Illinois,17,31,67,65
Illinois,Duke,35,7,68,65
Duke,Illinois,20,14,71,55
Illinois,Duke,16,3,68,63
Duke,Illinois,23,10,88,51
Illinois,Duke,55,7,84,60
Duke,Illinois,17,48,62,69
Illinois,Duke,31,6,81,53
Duke,Illinois,10,21,71,51
Illinois,Duke,38,28,72,73
Duke,Illinois,12,21,69,61
Illinois,Duke,10,16,68,59
Duke,Illinois,20,13,64,67
Illinois,Duke,34,28,84,64
Duke,Illinois,17,28,64,71
Illinois,Duke,30,0,73,59
Duke,Illinois,9,26,77,65
Illinois,Duke,10,24,71,65
Duke,Illinois,13,41,60,67
Illinois,Duke,44,17,79,63
Duke,Illinois,14,20,68,68
Illinois,Duke,17,21,75,60
Duke,Illinois,16,20,73,69
Illinois,Duke,28,14,75,64
Duke,Illinois,24,38,70,67
Illinois,Duke,27,6,70,61
