team,opp,pts,opp_pts,plays,opp_plays
Jacksonville State,Liberty,24,38,95,93
Liberty,Jacksonville State,55,17,85,81
Jacksonville State,Liberty,30,42,89,84
Liberty,Jacksonville State,44,15,92,89
Jacksonville State,Liberty,13,44,69,87
Liberty,Jacksonville State,58,31,103,76
Jacksonville State,Liberty,14,47,86,93
Liberty,Jacksonville State,20,30,95,91
Jacksonville State,Liberty,35,47,90,95
Liberty,Jacksonville State,42,21,81,77
Jacksonville State,Liberty,24,31,83,85
Liberty,Jacksonville State,35,38,77,88
Jacksonville State,Liberty,24,51,70,96
Liberty,Jacksonville State,27,30,87,88
Jacksonville State,Liberty,10,49,84,90
Liberty,Jacksonville State,31,13,96,80
Jacksonville State,Liberty,20,55,77,97
Liberty,Jacksonville State,40,23,89,93
Jacksonville State,Liberty,6,41,89,84
Liberty,Jacksonville State,38,34,88,87
Jacksonville State,Liberty,42,38,101,79
Liberty,Jacksonville State,41,7,93,87
Jacksonville State,Liberty,20,48,95,93
Liberty,Jacksonville State,42,27,84,92
Jacksonville State,Liberty,14,49,80,100
Liberty,Jacksonville State,14,24,82,89
Jacksonville State,Liberty,24,48,100,82
Liberty,Jacksonville State,27,30,86,104
Jacksonville State,Liberty,31,28,88,89
Liberty,Jacksonville State,44,14,83,77
Jacksonville State,Liberty,24,38,85,93
Liberty,Jacksonville State,42,23,84,94
Jacksonville State,Liberty,24,48,84,100
Liberty,Jacksonville State,31,7,84,93
Jacksonville State,Liberty,41,13,96,89
Liberty,Jacksonville State,44,21,93,87
Jacksonville State,Liberty,27,48,76,101
Liberty,Jacksonville State,27,13,86,83
Jacksonville State,Liberty,27,51,90,98
Liberty,Jacksonville State,31,24,77,117
Jacksonville State,Liberty,7,48,68,105
Liberty,Jacksonville State,34,17,79,75
Jacksonville State,Liberty,48,49,103,85
Liberty,Jacksonville State,35,34,86,89
Jacksonville State,Liberty,31,41,111,82
Liberty,Jacksonville State,41,21,96,66
Jacksonville State,Liberty,23,47,90,78
Liberty,Jacksonville State,30,24,93,69
Jacksonville State,Liberty,31,27,80,83
Liberty,Jacksonville State,42,17,89,94
Jacksonville State,Liberty,23,20,97,68
Liberty,Jacksonville State,42,21,94,77
Jacksonville State,Liberty,45,35,95,80
Liberty,Jacksonville State,38,35,92,89
Jacksonville State,Liberty,31,35,80,76
Liberty,Jacksonville State,27,14,93,80
Jacksonville State,Liberty,24,21,88,90
Liberty,Jacksonville State,45,27,86,93
