team,opp,pts,opp_pts,plays,opp_plays
LSU,Louisiana Tech,28,27,83,87
Louisiana Tech,LSU,13,54,77,85
LSU,Louisiana Tech,46,10,88,75
Louisiana Tech,LSU,3,52,82,79
LSU,Louisiana Tech,73,20,88,80
Louisiana Tech,LSU,3,59,71,82
LSU,Louisiana Tech,42,20,81,73
Louisiana Tech,LSU,10,59,74,81
LSU,Louisiana Tech,48,7,94,63
Louisiana Tech,LSU,35,48,84,79
LSU,Louisiana Tech,31,13,85,73
Louisiana Tech,LSU,13,51,73,89
LSU,Louisiana Tech,52,20,98,77
Louisiana Tech,LSU,10,62,72,82
LSU,Louisiana Tech,28,6,83,63
Louisiana Tech,LSU,3,49,68,78
LSU,Louisiana Tech,38,24,85,78
Louisiana Tech,LSU,20,47,72,85
LSU,Louisiana Tech,62,14,88,62
Louisiana Tech,LSU,21,31,79,68
LSU,Louisiana Tech,58,14,80,81
Louisiana Tech,LSU,17,48,90,71
LSU,Louisiana Tech,51,7,98,71
Louisiana Tech,LSU,23,38,80,81
LSU,Louisiana Tech,38,7,90,72
Louisiana Tech,LSU,21,35,78,91
LSU,Louisiana Tech,66,0,89,73
Louisiana Tech,LSU,0,35,72,79
LSU,Louisiana Tech,70,6,84,77
Louisiana Tech,LSU,7,63,79,88
LSU,Louisiana Tech,34,14,66,75
Louisiana Tech,LSU,16,34,85,95
LSU,Louisiana Tech,73,3,85,70
Louisiana Tech,LSU,31,34,92,82
LSU,Louisiana Tech,52,10,84,75
Louisiana Tech,LSU,20,62,85,84
LSU,Louisiana Tech,42,13,104,66
Louisiana Tech,LSU,10,62,75,83
LSU,Louisiana Tech,42,27,86,81
Louisiana Tech,LSU,0,69,79,83
LSU,Louisiana Tech,37,17,71,82
Louisiana Tech,LSU,23,59,77,87
LSU,Louisiana Tech,55,14,84,68
Louisiana Tech,LSU,21,45,88,87
LSU,Louisiana Tech,52,7,98,61
Louisiana Tech,LSU,10,62,67,88
LSU,Louisiana Tech,41,7,96,71
Louisiana Tech,LSU,3,48,72,96
LSU,Louisiana Tech,70,14,95,74
Louisiana Tech,LSU,19,66,94,86
LSU,Louisiana Tech,62,10,86,72
Louisiana Tech,LSU,44,48,96,82
LSU,Louisiana Tech,76,3,103,63
Louisiana Tech,LSU,13,37,87,85
LSU,Louisiana Tech,49,17,84,75
Louisiana Tech,LSU,6,66,73,94
LSU,Louisiana Tech,52,21,87,83
Louisiana Tech,LSU,10,48,78,79
LSU,Louisiana Tech,48,13,90,79
Louisiana Tech,LSU,3,41,78,79
LSU,Louisiana Tech,72,24,102,77
Louisiana Tech,LSU,31,34,89,67
LSU,Louisiana Tech,37,10,78,91
Louisiana Tech,LSU,7,62,86,88
LSU,Louisiana Tech,40,0,89,70
Louisiana Tech,LSU,17,35,73,84
LSU,Louisiana Tech,20,0,75,78
Louisiana Tech,LSU,16,59,73,78
LSU,Louisiana Tech,34,30,74,88
Louisiana Tech,LSU,10,51,67,81
LSU,Louisiana Tech,83,10,100,70
Louisiana Tech,LSU,0,58,55,82
LSU,Louisiana Tech,65,3,74,89
Louisiana Tech,LSU,6,42,94,75
LSU,Louisiana Tech,34,23,76,78
Louisiana Tech,LSU,12,59,77,78
LSU,Louisiana Tech,49,14,94,85
Louisiana Tech,LSU,27,34,76,83
LSU,Louisiana Tech,38,33,81,89
Louisiana Tech,LSU,7,41,72,84
LSU,Louisiana Tech,62,0,103,57
Louisiana Tech,LSU,7,66,73,90
LSU,Louisiana Tech,55,3,92,80
Louisiana Tech,LSU,27,27,89,70
LSU,Louisiana Tech,49,13,82,84
Louisiana Tech,LSU,10,55,75,77
LSU,Louisiana Tech,66,21,90,75
Louisiana Tech,LSU,3,48,67,87
LSU,Louisiana Tech,52,16,86,100
Louisiana Tech,LSU,0,77,71,92
LSU,Louisiana Tech,76,35,102,83
Louisiana Tech,LSU,10,48,78,84
LSU,Louisiana Tech,62,0,86,65
Louisiana Tech,LSU,41,41,87,86
LSU,Louisiana Tech,31,7,81,86
Louisiana Tech,LSU,23,35,73,82
LSU,Louisiana Tech,35,26,69,92
Louisiana Tech,LSU,3,54,74,89
LSU,Louisiana Tech,45,6,88,82
Louisiana Tech,LSU,14,76,69,93
LSU,Louisiana Tech,72,7,99,78
Louisiana Tech,LSU,28,66,77,87
LSU,Louisiana Tech,62,17,93,88
Louisiana Tech,LSU,17,50,77,84
LSU,Louisiana Tech,51,3,92,69
Louisiana Tech,LSU,37,51,94,77
LSU,Louisiana Tech,41,24,88,78
Louisiana Tech,LSU,14,28,70,81
LSU,Louisiana Tech,48,13,78,88
Louisiana Tech,LSU,10,57,66,88
LSU,Louisiana Tech,56,24,76,85
Louisiana Tech,LSU,21,55,73,95
LSU,Louisiana Tech,73,13,93,78
Louisiana Tech,LSU,28,31,78,85
LSU,Louisiana Tech,45,24,86,87
Louisiana Tech,LSU,14,52,83,72
LSU,Louisiana Tech,59,17,82,89
Louisiana Tech,LSU,3,62,66,97
LSU,Louisiana Tech,24,9,82,81
Louisiana Tech,LSU,14,77,72,88
LSU,Louisiana Tech,38,7,82,82
Louisiana Tech,LSU,20,59,77,85
LSU,Louisiana Tech,20,3,92,69
Louisiana Tech,LSU,17,45,92,79
LSU,Louisiana Tech,34,10,94,62
Louisiana Tech,LSU,17,59,82,94
LSU,Louisiana Tech,52,17,78,78
