team,opp,pts,opp_pts,plays,opp_plays
Navy,UAB,42,17,67,57
UAB,Navy,24,28,67,65
Navy,UAB,24,17,62,59
UAB,Navy,21,21,74,50
Navy,UAB,45,14,74,56
UAB,Navy,14,41,61,71
Navy,UAB,17,14,68,61
UAB,Navy,20,14,79,53
Navy,UAB,20,10,64,65
UAB,Navy,28,24,67,65
Navy,UAB,28,13,73,63
UAB,Navy,28,21,83,54
Navy,UAB,31,23,57,70
UAB,Navy,10,34,61,66
Navy,UAB,6,20,59,70
UAB,Navy,20,37,62,63
Navy,UAB,31,24,66,65
UAB,Navy,21,42,59,67
Navy,UAB,37,17,83,53
UAB,Navy,28,34,68,61
Navy,UAB,24,10,60,63
UAB,Navy,13,30,65,65
Navy,UAB,48,16,74,52
UAB,Navy,28,27,66,69
Navy,UAB,31,10,72,56
UAB,Navy,3,24,56,73
Navy,UAB,34,21,58,70
UAB,Navy,28,34,79,68
Navy,UAB,45,13,77,54
UAB,Navy,20,35,51,74
Navy,UAB,52,14,81,49
UAB,Navy,17,34,56,69
Navy,UAB,14,7,63,63
UAB,Navy,27,13,69,60
Navy,UAB,42,21,72,59
UAB,Navy,17,20,65,62
Navy,UAB,17,13,63,69
UAB,Navy,27,10,67,63
Navy,UAB,35,0,68,59
UAB,Navy,24,10,66,63
Navy,UAB,35,7,79,51
UAB,Navy,7,41,55,71
Navy,UAB,28,10,73,57
UAB,Navy,14,38,61,73
Navy,UAB,7,27,65,65
UAB,Navy,7,24,65,69
Navy,UAB,14,24,69,54
UAB,Navy,14,38,60,74
Navy,UAB,42,17,76,59
UAB,Navy,14,24,69,69
Navy,UAB,35,17,76,67
UAB,Navy,10,45,59,71
Navy,UAB,31,14,71,52
UAB,Navy,10,14,66,59
Navy,UAB,38,0,74,59
UAB,Navy,38,31,73,70
Navy,UAB,28,10,65,60
UAB,Navy,28,30,61,73
Navy,UAB,28,17,74,62
UAB,Navy,7,30,67,63
Navy,UAB,31,27,76,60
UAB,Navy,17,27,61,66
Navy,UAB,27,27,75,60
UAB,Navy,17,48,58,71
Navy,UAB,31,7,74,63
UAB,Navy,28,14,74,54
Navy,UAB,10,21,64,59
UAB,Navy,28,27,59,70
Navy,UAB,14,9,63,61
UAB,Navy,13,34,59,68
Navy,UAB,20,10,62,67
UAB,Navy,30,10,71,49
Navy,UAB,31,24,66,60
UAB,Navy,28,21,68,63
Navy,UAB,6,16,62,62
UAB,Navy,17,24,74,55
Navy,UAB,20,28,71,57
UAB,Navy,10,38,52,75
Navy,UAB,38,13,64,62
UAB,Navy,31,14,69,60
Navy,UAB,37,17,70,64
UAB,Navy,35,14,70,64
Navy,UAB,28,17,66,59
UAB,Navy,14,14,67,65
Navy,UAB,20,27,62,64
UAB,Navy,13,28,65,62
Navy,UAB,10,17,64,57
UAB,Navy,14,28,54,76
Navy,UAB,14,24,68,53
UAB,Navy,35,21,65,63
Navy,UAB,38,35,63,67
UAB,Navy,17,31,60,71
Navy,UAB,63,17,90,45
UAB,Navy,14,27,75,58
Navy,UAB,24,16,67,67
UAB,Navy,20,48,63,77
Navy,UAB,27,27,74,52
UAB,Navy,10,30,62,64
Navy,UAB,38,14,65,62
UAB,Navy,20,30,62,68
Navy,UAB,13,10,66,70
UAB,Navy,21,34,73,61
Navy,UAB,20,23,67,64
UAB,Navy,24,27,68,67
Navy,UAB,24,17,63,65
UAB,Navy,17,14,73,57
Navy,UAB,59,10,82,59
UAB,Navy,23,31,72,58
Navy,UAB,38,24,64,66
UAB,Navy,10,27,76,68
Navy,UAB,24,21,70,56
UAB,Navy,10,40,57,78
Navy,UAB,31,7,68,66
UAB,Navy,17,31,69,60
Navy,UAB,24,7,69,66
UAB,Navy,17,31,64,64
Navy,UAB,30,17,66,67
UAB,Navy,38,3,75,53
Navy,UAB,26,3,69,61
UAB,Navy,10,24,72,61
Navy,UAB,38,21,66,61
UAB,Navy,7,45,70,67
Navy,UAB,37,14,65,54
UAB,Navy,0,20,60,69
Navy,UAB,6,30,69,61
UAB,Navy,17,23,57,67
Navy,UAB,34,17,75,53
UAB,Navy,20,35,74,62
Navy,UAB,20,17,66,56
UAB,Navy,10,38,65,71
Navy,UAB,34,3,68,62
UAB,Navy,21,38,71,63
Navy,UAB,17,23,65,58
UAB,Navy,20,31,77,62
Navy,UAB,27,21,64,64
UAB,Navy,19,35,72,63
Navy,UAB,30,14,64,70
UAB,Navy,17,31,73,64
Navy,UAB,52,7,68,50
UAB,Navy,10,38,65,63
Navy,UAB,10,7,61,58
UAB,Navy,14,31,60,61
Navy,UAB,42,14,73,59
UAB,Navy,20,38,64,64
Navy,UAB,31,17,66,67
UAB,Navy,7,14,68,60
Navy,UAB,21,19,58,67
UAB,Navy,3,35,47,84
Navy,UAB,38,13,68,59
UAB,Navy,37,10,87,46
Navy,UAB,28,24,66,72
UAB,Navy,0,24,64,68
Navy,UAB,38,3,67,66
UAB,Navy,17,24,68,64
Navy,UAB,30,17,68,61
UAB,Navy,13,30,73,60
Navy,UAB,20,26,58,64
UAB,Navy,21,42,65,64
Navy,UAB,28,28,57,68
UAB,Navy,10,20,65,60
Navy,UAB,21,24,71,65
UAB,Navy,35,10,77,47
Navy,UAB,31,6,64,62
UAB,Navy,27,21,63,60
Navy,UAB,38,13,65,71
UAB,Navy,14,35,50,73
Navy,UAB,24,37,58,76
UAB,Navy,3,34,62,67
Navy,UAB,38,7,73,52
UAB,Navy,7,20,59,64
Navy,UAB,31,7,76,62
UAB,Navy,14,31,67,65
Navy,UAB,38,13,63,64
UAB,Navy,27,21,81,55
Navy,UAB,41,10,62,71
UAB,Navy,7,38,56,68
Navy,UAB,27,13,58,69
UAB,Navy,10,31,62,64
Navy,UAB,45,14,64,68
UAB,Navy,20,28,72,59
Navy,UAB,20,6,71,53
UAB,Navy,14,50,50,79
Navy,UAB,52,7,68,57
UAB,Navy,23,10,78,54
Navy,UAB,41,3,78,46
UAB,Navy,14,49,66,65
Navy,UAB,21,27,48,82
UAB,Navy,28,44,57,71
Navy,UAB,6,17,64,71
UAB,Navy,35,17,67,63
Navy,UAB,24,22,64,69
UAB,Navy,13,34,53,72
Navy,UAB,20,26,67,69
UAB,Navy,13,24,76,57
Navy,UAB,42,14,65,66
UAB,Navy,10,21,57,69
Navy,UAB,38,17,63,65
UAB,Navy,10,21,69,61
Navy,UAB,14,28,51,77
UAB,Navy,10,24,64,70
Navy,UAB,30,10,64,60
UAB,Navy,13,40,59,78
Navy,UAB,41,0,76,53
UAB,Navy,0,45,55,77
Navy,UAB,38,14,67,59
UAB,Navy,20,38,61,59
Navy,UAB,26,14,59,67
UAB,Navy,7,30,54,73
Navy,UAB,31,12,57,63
UAB,Navy,17,38,66,62
Navy,UAB,45,17,78,51
UAB,Navy,10,42,61,67
Navy,UAB,23,14,81,45
UAB,Navy,20,31,62,71
Navy,UAB,49,21,84,52
UAB,Navy,21,30,61,64
Navy,UAB,35,13,60,72
UAB,Navy,20,35,72,55
Navy,UAB,31,7,74,57
UAB,Navy,24,30,65,68
Navy,UAB,24,17,53,78
UAB,Navy,28,27,72,60
Navy,UAB,34,9,70,59
UAB,Navy,7,38,66,62
Navy,UAB,28,20,54,83
UAB,Navy,24,27,54,73
Navy,UAB,66,7,81,51
UAB,Navy,30,21,71,57
Navy,UAB,30,10,64,62
UAB,Navy,10,14,55,62
Navy,UAB,14,16,59,73
UAB,Navy,30,10,75,49
Navy,UAB,31,24,63,64
UAB,Navy,14,31,70,56
Navy,UAB,41,21,54,81
UAB,Navy,31,35,65,65
Navy,UAB,38,21,76,56
UAB,Navy,17,24,58,65
Navy,UAB,38,7,80,51
UAB,Navy,23,17,65,62
Navy,UAB,24,3,63,61
UAB,Navy,9,34,71,68
Navy,UAB,31,20,71,64
UAB,Navy,21,45,60,62
Navy,UAB,45,7,76,54
UAB,Navy,13,27,54,70
Navy,UAB,13,17,71,53
UAB,Navy,21,0,67,56
Navy,UAB,41,10,73,58
UAB,Navy,20,30,57,64
Navy,UAB,41,14,67,61
UAB,Navy,24,24,70,61
Navy,UAB,34,14,71,60
UAB,Navy,10,21,63,63
Navy,UAB,35,0,66,57
UAB,Navy,7,42,63,67
Navy,UAB,10,31,65,60
UAB,Navy,0,35,63,69
Navy,UAB,28,21,62,71
UAB,Navy,13,20,70,56
Navy,UAB,14,17,62,63
UAB,Navy,7,28,51,78
Navy,UAB,17,21,65,63
UAB,Navy,21,17,69,55
Navy,UAB,48,14,70,63
UAB,Navy,28,31,65,66
Navy,UAB,37,7,75,61
UAB,Navy,31,31,68,67
Navy,UAB,24,7,71,58
UAB,Navy,21,24,57,65
Navy,UAB,35,7,66,67
UAB,Navy,20,14,67,63
Navy,UAB,31,13,54,77
UAB,Navy,3,49,68,68
Navy,UAB,27,14,76,51
UAB,Navy,24,30,62,71
Navy,UAB,37,17,79,52
UAB,Navy,27,31,62,67
Navy,UAB,31,17,61,71
UAB,Navy,35,16,69,64
Navy,UAB,38,17,69,60
UAB,Navy,14,45,60,71
Navy,UAB,10,42,61,71
UAB,Navy,17,0,77,51
Navy,UAB,20,24,65,58
UAB,Navy,7,31,72,58
Navy,UAB,24,20,63,69
UAB,Navy,27,24,64,65
Navy,UAB,38,30,63,70
UAB,Navy,17,31,68,53
Navy,UAB,30,24,77,57
UAB,Navy,42,31,66,64
Navy,UAB,47,14,77,54
UAB,Navy,14,35,60,71
Navy,UAB,28,9,67,72
UAB,Navy,24,17,73,53
Navy,UAB,28,17,72,60
UAB,Navy,17,35,69,59
Navy,UAB,41,31,73,61
UAB,Navy,10,44,55,77
Navy,UAB,28,17,69,69
UAB,Navy,38,28,72,65
Navy,UAB,6,9,62,66
UAB,Navy,27,30,69,63
Navy,UAB,49,21,68,67
UAB,Navy,14,20,71,65
Navy,UAB,7,28,60,65
UAB,Navy,13,35,66,66
Navy,UAB,24,0,72,54
UAB,Navy,7,38,46,82
Navy,UAB,27,20,68,61
UAB,Navy,0,33,57,71
Navy,UAB,28,17,74,74
UAB,Navy,10,6,55,72
Navy,UAB,6,28,42,75
UAB,Navy,24,24,55,71
Navy,UAB,34,17,67,78
UAB,Navy,28,31,77,61
Navy,UAB,30,31,68,62
UAB,Navy,7,45,65,68
Navy,UAB,38,20,71,61
UAB,Navy,14,24,63,75
Navy,UAB,14,31,61,59
UAB,Navy,34,16,70,67
Navy,UAB,38,14,71,49
UAB,Navy,3,21,64,62
Navy,UAB,31,14,64,56
UAB,Navy,16,27,67,60
Navy,UAB,14,10,67,56
UAB,Navy,28,10,64,56
Navy,UAB,10,20,66,61
UAB,Navy,13,34,58,72
Navy,UAB,14,21,59,66
UAB,Navy,27,38,68,69
Navy,UAB,44,21,70,60
UAB,Navy,27,28,80,57
Navy,UAB,45,14,62,73
UAB,Navy,16,28,65,69
Navy,UAB,45,10,58,75
UAB,Navy,7,45,47,78
Navy,UAB,49,14,68,59
UAB,Navy,24,14,70,56
Navy,UAB,20,17,70,59
UAB,Navy,34,24,65,67
Navy,UAB,38,24,81,58
UAB,Navy,14,31,59,65
Navy,UAB,20,10,62,62
