team,opp,pts,opp_pts,plays,opp_plays
Rutgers,Miami (OH),6,9,65,58
Miami (OH),Rutgers,7,24,63,68
Rutgers,Miami (OH),31,20,70,58
Miami (OH),Rutgers,17,17,70,56
Rutgers,Miami (OH),38,10,58,62
Miami (OH),Rutgers,13,28,73,62
Rutgers,Miami (OH),20,14,68,53
Miami (OH),Rutgers,27,10,63,57
Rutgers,Miami (OH),14,31,52,65
Miami (OH),Rutgers,0,17,72,52
Rutgers,Miami (OH),19,10,65,66
Miami (OH),Rutgers,14,7,61,64
Rutgers,Miami (OH),21,16,65,63
Miami (OH),Rutgers,17,27,64,59
Rutgers,Miami (OH),6,7,68,54
Miami (OH),Rutgers,7,19,59,65
Rutgers,Miami (OH),30,0,77,54
Miami (OH),Rutgers,14,20,55,65
Rutgers,Miami (OH),17,14,48,82
Miami (OH),Rutgers,28,24,67,56
Rutgers,Miami (OH),0,28,57,61
Miami (OH),Rutgers,7,24,65,58
Rutgers,Miami (OH),10,3,65,58
Miami (OH),Rutgers,9,0,67,55
Rutgers,Miami (OH),7,24,66,55
Miami (OH),Rutgers,21,17,59,67
Rutgers,Miami (OH),13,21,77,53
Miami (OH),Rutgers,17,14,72,56
Rutgers,Miami (OH),23,14,60,58
Miami (OH),Rutgers,17,28,67,65
Rutgers,Miami (OH),31,9,60,67
Miami (OH),Rutgers,20,3,59,57
Rutgers,Miami (OH),23,10,63,58
Miami (OH),Rutgers,3,13,66,59
Rutgers,Miami (OH),10,14,56,69
Miami (OH),Rutgers,27,6,73,52
Rutgers,Miami (OH),24,21,65,63
Miami (OH),Rutgers,17,21,77,54
Rutgers,Miami (OH),34,0,68,65
Miami (OH),Rutgers,24,10,66,54
Rutgers,Miami (OH),31,17,70,63
Miami (OH),Rutgers,10,0,58,65
Rutgers,Miami (OH),28,3,67,59
Miami (OH),Rutgers,17,16,63,63
Rutgers,Miami (OH),27,10,74,59
Miami (OH),Rutgers,14,31,67,59
Rutgers,Miami (OH),23,13,58,70
Miami (OH),Rutgers,16,10,70,59
Rutgers,Miami (OH),17,14,56,68
Miami (OH),Rutgers,45,21,53,78
Rutgers,Miami (OH),13,3,72,51
Miami (OH),Rutgers,10,14,62,63
Rutgers,Miami (OH),31,20,46,81
Miami (OH),Rutgers,14,35,65,75
Rutgers,Miami (OH),35,7,67,62
Miami (OH),Rutgers,9,13,61,61
Rutgers,Miami (OH),14,7,56,64
Miami (OH),Rutgers,10,17,59,61
Rutgers,Miami (OH),24,17,66,64
Miami (OH),Rutgers,6,13,54,63
Rutgers,Miami (OH),23,6,74,51
Miami (OH),Rutgers,20,17,66,57
Rutgers,Miami (OH),17,20,66,59
Miami (OH),Rutgers,13,17,65,61
Rutgers,Miami (OH),17,27,66,60
Miami (OH),Rutgers,14,17,72,62
Rutgers,Miami (OH),30,10,69,57
Miami (OH),Rutgers,13,24,47,77
Rutgers,Miami (OH),9,17,62,61
Miami (OH),Rutgers,17,6,56,57
Rutgers,Miami (OH),24,0,75,45
Miami (OH),Rutgers,17,13,65,60
Rutgers,Miami (OH),17,24,62,65
Miami (OH),Rutgers,6,3,68,55
Rutgers,Miami (OH),14,13,70,58
Miami (OH),Rutgers,20,21,61,63
Rutgers,Miami (OH),30,19,66,57
Miami (OH),Rutgers,3,17,63,63
Rutgers,Miami (OH),26,14,73,52
Miami (OH),Rutgers,7,20,60,62
Rutgers,Miami (OH),13,20,72,58
Miami (OH),Rutgers,38,7,65,57
Rutgers,Miami (OH),14,31,63,63
Miami (OH),Rutgers,13,19,63,65
Rutgers,Miami (OH),16,7,73,60
Miami (OH),Rutgers,14,20,66,66
Rutgers,Miami (OH),23,6,67,55
Miami (OH),Rutgers,14,34,51,72
Rutgers,Miami (OH),6,34,73,54
Miami (OH),Rutgers,7,12,69,54
Rutgers,Miami (OH),17,17,61,67
Miami (OH),Rutgers,13,16,55,71
Rutgers,Miami (OH),10,3,62,66
Miami (OH),Rutgers,13,10,62,68
Rutgers,Miami (OH),14,20,61,65
Miami (OH),Rutgers,16,7,67,59
Rutgers,Miami (OH),41,17,68,61
Miami (OH),Rutgers,14,16,60,70
Rutgers,Miami (OH),10,24,59,71
Miami (OH),Rutgers,6,14,76,50
Rutgers,Miami (OH),6,17,61,71
Miami (OH),Rutgers,10,20,80,49
Rutgers,Miami (OH),30,6,67,54
Miami (OH),Rutgers,3,20,61,63
Rutgers,Miami (OH),24,17,68,60
Miami (OH),Rutgers,10,21,62,64
Rutgers,Miami (OH),20,10,65,57
Miami (OH),Rutgers,10,17,59,67
Rutgers,Miami (OH),34,7,78,54
Miami (OH),Rutgers,30,3,68,54
Rutgers,Miami (OH),7,13,76,60
Miami (OH),Rutgers,3,25,52,78
Rutgers,Miami (OH),21,7,65,64
Miami (OH),Rutgers,10,27,64,69
Rutgers,Miami (OH),14,38,53,72
Miami (OH),Rutgers,10,21,56,68
Rutgers,Miami (OH),24,21,59,60
Miami (OH),Rutgers,7,28,54,76
Rutgers,Miami (OH),24,13,56,59
Miami (OH),Rutgers,3,34,57,73
Rutgers,Miami (OH),17,31,55,66
Miami (OH),Rutgers,7,10,62,53
Rutgers,Miami (OH),28,17,67,57
Miami (OH),Rutgers,20,26,67,58
Rutgers,Miami (OH),17,0,64,68
Miami (OH),Rutgers,24,7,66,53
Rutgers,Miami (OH),10,16,52,67
Miami (OH),Rutgers,24,21,70,70
Rutgers,Miami (OH),28,6,68,59
Miami (OH),Rutgers,3,31,61,62
Rutgers,Miami (OH),16,17,67,61
Miami (OH),Rutgers,6,17,67,58
Rutgers,Miami (OH),17,24,63,63
Miami (OH),Rutgers,6,26,71,61
Rutgers,Miami (OH),10,10,71,56
Miami (OH),Rutgers,7,13,60,59
Rutgers,Miami (OH),21,6,72,50
Miami (OH),Rutgers,10,20,63,63
Rutgers,Miami (OH),17,14,74,56
Miami (OH),Rutgers,3,20,67,54
Rutgers,Miami (OH),16,10,72,59
Miami (OH),Rutgers,17,3,57,60
Rutgers,Miami (OH),27,13,61,63
Miami (OH),Rutgers,24,0,60,57
Rutgers,Miami (OH),13,10,65,64
Miami (OH),Rutgers,0,26,60,66
Rutgers,Miami (OH),21,10,60,65
Miami (OH),Rutgers,24,3,75,52
Rutgers,Miami (OH),24,7,69,53
Miami (OH),Rutgers,13,49,53,74
Rutgers,Miami (OH),17,20,62,67
Miami (OH),Rutgers,13,17,73,52
Rutgers,Miami (OH),28,23,60,73
Miami (OH),Rutgers,24,7,64,59
Rutgers,Miami (OH),27,24,72,56
Miami (OH),Rutgers,17,20,58,66
Rutgers,Miami (OH),17,20,62,63
Miami (OH),Rutgers,3,10,67,64
Rutgers,Miami (OH),15,14,71,56
Miami (OH),Rutgers,27,17,69,73
Rutgers,Miami (OH),20,20,67,70
Miami (OH),Rutgers,24,17,56,74
Rutgers,Miami (OH),17,13,64,59
Miami (OH),Rutgers,16,20,74,60
Rutgers,Miami (OH),7,3,52,63
Miami (OH),Rutgers,21,23,59,73
Rutgers,Miami (OH),24,6,62,72
Miami (OH),Rutgers,9,28,69,54
Rutgers,Miami (OH),13,7,60,65
Miami (OH),Rutgers,0,27,54,76
Rutgers,Miami (OH),14,28,64,55
Miami (OH),Rutgers,14,23,74,55
Rutgers,Miami (OH),13,34,59,70
Miami (OH),Rutgers,6,9,66,55
Rutgers,Miami (OH),14,31,63,64
Miami (OH),Rutgers,17,28,64,59
Rutgers,Miami (OH),24,17,66,61
Miami (OH),Rutgers,10,42,65,66
Rutgers,Miami (OH),16,20,63,61
Miami (OH),Rutgers,14,24,62,56
Rutgers,Miami (OH),24,24,62,66
Miami (OH),Rutgers,7,34,57,68
Rutgers,Miami (OH),0,21,59,61
Miami (OH),Rutgers,3,0,61,60
Rutgers,Miami (OH),3,38,57,63
Miami (OH),Rutgers,24,17,64,62
Rutgers,Miami (OH),10,10,66,60
Miami (OH),Rutgers,21,24,74,59
Rutgers,Miami (OH),7,16,70,57
Miami (OH),Rutgers,17,30,53,69
Rutgers,Miami (OH),14,24,65,62
Miami (OH),Rutgers,7,27,64,60
Rutgers,Miami (OH),6,13,63,56
Miami (OH),Rutgers,19,10,59,63
Rutgers,Miami (OH),41,10,73,54
Miami (OH),Rutgers,3,35,58,69
Rutgers,Miami (OH),20,24,70,57
Miami (OH),Rutgers,21,13,64,71
Rutgers,Miami (OH),9,14,71,56
Miami (OH),Rutgers,21,10,68,53
Rutgers,Miami (OH),24,7,59,63
Miami (OH),Rutgers,31,9,71,62
Rutgers,Miami (OH),29,7,73,49
Miami (OH),Rutgers,20,20,61,70
Rutgers,Miami (OH),38,0,80,45
Miami (OH),Rutgers,17,6,78,41
Rutgers,Miami (OH),27,7,68,55
Miami (OH),Rutgers,17,17,59,62
Rutgers,Miami (OH),10,13,63,62
Miami (OH),Rutgers,17,7,65,60
Rutgers,Miami (OH),17,3,59,71
Miami (OH),Rutgers,24,3,70,55
Rutgers,Miami (OH),16,7,70,59
Miami (OH),Rutgers,10,10,65,53
Rutgers,Miami (OH),13,13,68,60
Miami (OH),Rutgers,9,17,68,52
Rutgers,Miami (OH),48,10,74,56
Miami (OH),Rutgers,21,20,54,77
