team,opp,pts,opp_pts,plays,opp_plays
Texas,San José State,37,10,68,58
San José State,Texas,3,17,71,66
Texas,San José State,24,7,66,60
San José State,Texas,7,14,63,65
Texas,San José State,31,6,72,58
San José State,Texas,14,31,67,62
Texas,San José State,35,17,65,63
San José State,Texas,13,45,73,65
Texas,San José State,42,3,70,65
San José State,Texas,3,47,58,77
Texas,San José State,14,14,60,71
San José State,Texas,10,52,62,71
Texas,San José State,21,21,69,66
San José State,Texas,3,21,70,63
Texas,San José State,20,6,72,52
San José State,Texas,6,27,67,62
Texas,San José State,42,7,65,57
San José State,Texas,13,44,45,73
Texas,San José State,56,17,67,61
San José State,Texas,16,49,60,67
Texas,San José State,27,9,65,67
San José State,Texas,10,24,72,58
Texas,San José State,41,14,70,64
San José State,Texas,14,37,59,70
Texas,San José State,27,0,80,54
San José State,Texas,20,3,67,59
Texas,San José State,31,24,70,64
San José State,Texas,7,48,61,62
Texas,San José State,21,24,68,54
San José State,Texas,20,10,77,51
Texas,San José State,20,0,65,58
San José State,Texas,31,38,68,61
Texas,San José State,41,7,67,67
San José State,Texas,7,50,62,66
Texas,San José State,49,10,64,66
San José State,Texas,17,35,59,70
Texas,San José State,35,7,70,57
San José State,Texas,3,41,61,67
Texas,San José State,27,17,68,61
San José State,Texas,13,34,70,62
Texas,San José State,41,14,79,54
San José State,Texas,6,45,65,65
Texas,San José State,35,6,64,61
San José State,Texas,28,24,60,69
Texas,San José State,48,17,65,69
San José State,Texas,10,27,59,67
Texas,San José State,24,17,64,60
San José State,Texas,17,27,69,61
Texas,San José State,24,13,59,76
San José State,Texas,10,35,67,61
Texas,San José State,35,21,57,86
San José State,Texas,3,45,71,63
Texas,San José State,28,10,71,58
San José State,Texas,3,45,58,72
Texas,San José State,44,21,75,55
San José State,Texas,24,38,65,69
Texas,San José State,20,13,63,65
San José State,Texas,0,13,68,62
Texas,San José State,27,13,82,56
San José State,Texas,0,47,49,74
Texas,San José State,38,7,60,59
San José State,Texas,3,17,63,59
Texas,San José State,13,10,70,63
San José State,Texas,3,40,56,73
Texas,San José State,41,10,71,51
San José State,Texas,10,42,64,70
Texas,San José State,45,17,76,52
San José State,Texas,3,41,63,68
Texas,San José State,35,6,67,61
San José State,Texas,3,38,61,63
Texas,San José State,31,14,73,58
San José State,Texas,7,27,62,59
Texas,San José State,24,14,73,48
San José State,Texas,16,14,75,57
Texas,San José State,52,0,74,53
San José State,Texas,9,35,72,58
Texas,San José State,33,7,76,50
San José State,Texas,23,17,75,54
Texas,San José State,40,21,70,63
San José State,Texas,7,34,56,64
Texas,San José State,17,3,64,57
San José State,Texas,17,24,69,62
Texas,San José State,41,6,70,58
San José State,Texas,17,38,63,68
Texas,San José State,13,21,67,55
San José State,Texas,13,20,73,63
Texas,San José State,34,20,63,64
San José State,Texas,14,37,50,85
Texas,San José State,28,17,62,59
San José State,Texas,17,38,69,66
Texas,San José State,20,10,68,56
San José State,Texas,3,27,59,66
Texas,San José State,23,17,71,63
San José State,Texas,27,17,73,53
Texas,San José State,20,3,69,53
San José State,Texas,16,21,67,66
Texas,San José State,31,0,67,69
San José State,Texas,7,30,55,72
Texas,San José State,59,13,66,61
San José State,Texas,14,40,65,68
Texas,San José State,20,17,71,53
San José State,Texas,14,17,58,73
Texas,San José State,56,14,61,69
San José State,Texas,3,24,55,70
Texas,San José State,27,7,59,66
San José State,Texas,7,31,72,65
Texas,San José State,45,17,66,63
San José State,Texas,0,36,55,73
Texas,San José State,45,6,75,54
San José State,Texas,6,38,66,68
Texas,San José State,57,7,76,52
San José State,Texas,13,38,58,72
Texas,San José State,48,7,80,60
San José State,Texas,10,38,63,77
Texas,San José State,34,13,67,64
San José State,Texas,7,33,51,74
Texas,San José State,24,6,62,61
San José State,Texas,17,28,51,70
Texas,San José State,44,9,69,59
San José State,Texas,10,45,48,80
