team,opp,pts,opp_pts,plays,opp_plays
UNLV,UCLA,24,21,55,55
UCLA,UNLV,10,24,56,57
UNLV,UCLA,33,17,58,53
UCLA,UNLV,17,14,56,54
UNLV,UCLA,14,7,58,50
UCLA,UNLV,31,14,71,38
UNLV,UCLA,38,16,58,57
UCLA,UNLV,14,27,50,60
UNLV,UCLA,9,20,56,51
UCLA,UNLV,3,35,46,64
UNLV,UCLA,7,9,55,55
UCLA,UNLV,21,13,51,59
UNLV,UCLA,13,16,52,56
UCLA,UNLV,31,24,58,56
UNLV,UCLA,35,21,69,45
UCLA,UNLV,24,17,59,52
UNLV,UCLA,31,20,56,51
UCLA,UNLV,31,28,59,45
UNLV,UCLA,31,10,53,58
UCLA,UNLV,27,3,58,61
UNLV,UCLA,14,38,39,71
UCLA,UNLV,24,21,55,58
UNLV,UCLA,34,7,55,53
UCLA,UNLV,21,21,59,46
UNLV,UCLA,21,10,56,49
UCLA,UNLV,28,20,55,53
UNLV,UCLA,35,14,55,50
UCLA,UNLV,31,34,57,61
UNLV,UCLA,27,13,50,56
UCLA,UNLV,21,20,63,47
UNLV,UCLA,21,24,50,57
UCLA,UNLV,27,17,66,44
UNLV,UCLA,28,13,57,55
UCLA,UNLV,24,27,50,61
UNLV,UCLA,35,10,63,46
UCLA,UNLV,38,0,57,51
UNLV,UCLA,31,28,53,56
UCLA,UNLV,17,7,48,57
UNLV,UCLA,10,10,56,51
UCLA,UNLV,20,21,65,43
UNLV,UCLA,3,17,61,53
UCLA,UNLV,7,24,54,51
UNLV,UCLA,38,10,70,48
UCLA,UNLV,13,38,61,53
UNLV,UCLA,14,20,54,52
UCLA,UNLV,45,21,61,54
UNLV,UCLA,14,27,45,64
UCLA,UNLV,24,14,65,46
UNLV,UCLA,0,7,51,54
UCLA,UNLV,24,17,52,62
UNLV,UCLA,30,17,66,46
UCLA,UNLV,28,21,54,52
UNLV,UCLA,13,17,60,53
UCLA,UNLV,24,31,59,56
UNLV,UCLA,28,14,61,50
UCLA,UNLV,9,7,52,55
UNLV,UCLA,24,31,53,58
UCLA,UNLV,20,17,52,51
UNLV,UCLA,28,21,55,56
UCLA,UNLV,17,7,61,49
UNLV,UCLA,31,28,56,58
UCLA,UNLV,13,21,56,49
UNLV,UCLA,27,21,56,57
UCLA,UNLV,28,28,57,56
UNLV,UCLA,31,24,57,54
UCLA,UNLV,38,14,65,43
UNLV,UCLA,17,21,56,55
UCLA,UNLV,17,31,59,51
UNLV,UCLA,0,14,55,54
UCLA,UNLV,21,13,56,54
UNLV,UCLA,7,21,49,59
UCLA,UNLV,21,14,59,51
UNLV,UCLA,14,24,52,55
UCLA,UNLV,16,13,58,50
UNLV,UCLA,31,17,51,54
UCLA,UNLV,24,24,53,61
UNLV,UCLA,10,27,39,66
UCLA,UNLV,21,28,46,66
UNLV,UCLA,35,14,61,54
UCLA,UNLV,35,24,52,60
UNLV,UCLA,21,34,65,50
UCLA,UNLV,21,31,47,60
UNLV,UCLA,20,24,48,56
UCLA,UNLV,7,16,55,52
UNLV,UCLA,35,14,57,50
UCLA,UNLV,14,21,52,51
UNLV,UCLA,28,27,56,53
UCLA,UNLV,20,16,59,53
UNLV,UCLA,14,27,48,60
UCLA,UNLV,6,20,61,45
UNLV,UCLA,20,14,62,51
UCLA,UNLV,13,31,57,55
