sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Auburn,South Alabama,Jackson Arnold,QB,38,29,287.2,2,0,3,0,0.0,0,0,0,0.0,0
16,A,Auburn,South Alabama,Jackson Arnold,Rusher,0,0,0.0,0,0,0,9,66.3,1,0,0,0.0,0
16,A,Auburn,South Alabama,Damari Alston,Rusher,0,0,0.0,0,0,0,10,26.9,1,0,0,0.0,0
16,A,Auburn,South Alabama,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,3,28.6,0,0,0,0.0,0
16,A,Auburn,South Alabama,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,16,59.7,0,0,0,0.0,0
16,A,Auburn,South Alabama,Durell Robinson,Rusher,0,0,0.0,0,0,0,1,4.0,0,0,0,0.0,0
16,A,Auburn,South Alabama,Camden Etheredge,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.2,0
16,A,Auburn,South Alabama,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,13,66.0,1
16,A,Auburn,South Alabama,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,38.0,1
16,A,Auburn,South Alabama,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,39.4,0
16,A,Auburn,South Alabama,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,40.1,0
16,A,Auburn,South Alabama,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,1.5,0
16,A,Auburn,South Alabama,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,23.1,0
16,A,Auburn,South Alabama,Cam'Ron King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.2,0
16,A,Auburn,South Alabama,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,3.6,0
16,A,Auburn,South Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.1,0
16,A,South Alabama,Auburn,Bishop Davenport,QB,27,17,254.8,3,0,10,0,0.0,0,0,0,0.0,0
16,A,South Alabama,Auburn,Kentrel Bullock,Rusher,0,0,0.0,0,0,0,14,44.7,0,0,0,0.0,0
16,A,South Alabama,Auburn,Bishop Davenport,Rusher,0,0,0.0,0,0,0,3,5.7,0,0,0,0.0,0
16,A,South Alabama,Auburn,Keenan Phillips,Rusher,0,0,0.0,0,0,0,2,10.3,0,0,0,0.0,0
16,A,South Alabama,Auburn,PJ Martin,Rusher,0,0,0.0,0,0,0,2,15.7,0,0,0,0.0,0
16,A,South Alabama,Auburn,Anthony Eager,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,56.0,0
16,A,South Alabama,Auburn,Devin Voisin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,88.3,1
16,A,South Alabama,Auburn,Brendan Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,40.7,0
16,A,South Alabama,Auburn,Miller McCrumby,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,9.4,0
16,A,South Alabama,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,48.6,2
16,A,South Alabama,Auburn,Jeremy Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.8,0
17,B,South Alabama,Auburn,Bishop Davenport,QB,28,19,192.3,0,0,13,0,0.0,0,0,0,0.0,0
17,B,South Alabama,Auburn,Kentrel Bullock,Rusher,0,0,0.0,0,0,0,14,45.7,0,0,0,0.0,0
17,B,South Alabama,Auburn,Bishop Davenport,Rusher,0,0,0.0,0,0,0,4,26.3,0,0,0,0.0,0
17,B,South Alabama,Auburn,Trae'von Dunbar,Rusher,0,0,0.0,0,0,0,2,4.3,0,0,0,0.0,0
17,B,South Alabama,Auburn,PJ Martin,Rusher,0,0,0.0,0,0,0,4,9.8,0,0,0,0.0,0
17,B,South Alabama,Auburn,Keenan Phillips,Rusher,0,0,0.0,0,0,0,2,8.1,0,0,0,0.0,0
17,B,South Alabama,Auburn,Devin Voisin,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,15,115.5,0
17,B,South Alabama,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,24.0,0
17,B,South Alabama,Auburn,Brendan Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,South Alabama,Auburn,Anthony Eager,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.1,0
17,B,South Alabama,Auburn,Miller McCrumby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,23.1,0
17,B,South Alabama,Auburn,Jeremy Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.5,0
17,B,Auburn,South Alabama,Jackson Arnold,QB,25,18,180.8,0,0,5,0,0.0,0,0,0,0.0,0
17,B,Auburn,South Alabama,Damari Alston,Rusher,0,0,0.0,0,0,0,11,49.6,0,0,0,0.0,0
17,B,Auburn,South Alabama,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,6,35.1,0,0,0,0.0,0
17,B,Auburn,South Alabama,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,11,29.7,1,0,0,0.0,0
17,B,Auburn,South Alabama,Jackson Arnold,Rusher,0,0,0.0,0,0,0,9,36.2,0,0,0,0.0,0
17,B,Auburn,South Alabama,Justin Jones,Rusher,0,0,0.0,0,0,0,1,7.1,0,0,0,0.0,0
17,B,Auburn,South Alabama,Durell Robinson,Rusher,0,0,0.0,0,0,0,4,31.9,0,0,0,0.0,0
17,B,Auburn,South Alabama,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,Auburn,South Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Auburn,South Alabama,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.8,0
17,B,Auburn,South Alabama,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
17,B,Auburn,South Alabama,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,101.6,0
17,B,Auburn,South Alabama,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,17.7,0
17,B,Auburn,South Alabama,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.0,0
17,B,Auburn,South Alabama,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.5,0
17,B,Auburn,South Alabama,Camden Etheredge,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Auburn,South Alabama,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Auburn,South Alabama,Cam'Ron King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.3,0
18,A,Auburn,South Alabama,Jackson Arnold,QB,36,26,266.7,1,0,0,0,0.0,0,0,0,0.0,0
18,A,Auburn,South Alabama,Jackson Arnold,Rusher,0,0,0.0,0,0,0,13,71.0,2,0,0,0.0,0
18,A,Auburn,South Alabama,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,5,25.3,0,0,0,0.0,0
18,A,Auburn,South Alabama,Damari Alston,Rusher,0,0,0.0,0,0,0,12,87.3,2,0,0,0.0,0
18,A,Auburn,South Alabama,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,8,14.3,1,0,0,0.0,0
18,A,Auburn,South Alabama,Justin Jones,Rusher,0,0,0.0,0,0,0,2,1.0,0,0,0,0.0,0
18,A,Auburn,South Alabama,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,52.2,1
18,A,Auburn,South Alabama,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,48.6,0
18,A,Auburn,South Alabama,Camden Etheredge,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,Auburn,South Alabama,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,37.0,0
18,A,Auburn,South Alabama,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,30.9,0
18,A,Auburn,South Alabama,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,12.3,0
18,A,Auburn,South Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,33.7,0
18,A,Auburn,South Alabama,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.5,0
18,A,Auburn,South Alabama,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.1,0
18,A,Auburn,South Alabama,Cam'Ron King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.4,0
18,A,Auburn,South Alabama,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,South Alabama,Auburn,Bishop Davenport,QB,29,22,195.3,2,0,12,0,0.0,0,0,0,0.0,0
18,A,South Alabama,Auburn,Keenan Phillips,Rusher,0,0,0.0,0,0,0,1,2.8,0,0,0,0.0,0
18,A,South Alabama,Auburn,PJ Martin,Rusher,0,0,0.0,0,0,0,5,10.0,0,0,0,0.0,0
18,A,South Alabama,Auburn,Kentrel Bullock,Rusher,0,0,0.0,0,0,0,10,40.5,0,0,0,0.0,0
18,A,South Alabama,Auburn,Bishop Davenport,Rusher,0,0,0.0,0,0,0,5,22.3,0,0,0,0.0,0
18,A,South Alabama,Auburn,Trae'von Dunbar,Rusher,0,0,0.0,0,0,0,1,1.7,0,0,0,0.0,0
18,A,South Alabama,Auburn,Miller McCrumby,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,38.4,2
18,A,South Alabama,Auburn,Devin Voisin,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,14,71.5,0
18,A,South Alabama,Auburn,Anthony Eager,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,34.1,0
18,A,South Alabama,Auburn,Brendan Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,30.1,0
