sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Florida International,Florida Atlantic,Keyone Jenkins,QB,42,31,316.8,2,1,14,0,0.0,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Kejon Owens,Rusher,0,0,0.0,0,0,0,14,43.6,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Anthony Carrie,Rusher,0,0,0.0,0,0,0,7,44.0,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Keyone Jenkins,Rusher,0,0,0.0,0,0,0,1,1.4,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Devonte Lyons,Rusher,0,0,0.0,0,0,0,10,16.6,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Jordan Clemons,Rusher,0,0,0.0,0,0,0,1,17.1,0,0,0,0.0,0
48,A,Florida International,Florida Atlantic,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,15,132.0,1
48,A,Florida International,Florida Atlantic,Dallas Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.6,0
48,A,Florida International,Florida Atlantic,Shaborne Demps,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.6,0
48,A,Florida International,Florida Atlantic,Maguire Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.4,0
48,A,Florida International,Florida Atlantic,Alex Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,34.6,1
48,A,Florida International,Florida Atlantic,Justin Cayenne,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,20.6,0
48,A,Florida International,Florida Atlantic,Ross Fournet,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,56.8,0
48,A,Florida International,Florida Atlantic,Kyle Mcneal,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.9,0
48,A,Florida International,Florida Atlantic,Braiden Staten,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.1,0
48,A,Florida International,Florida Atlantic,JoJo Stone,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.3,0
48,A,Florida International,Florida Atlantic,Jackson Verdugo,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.8,0
48,A,Florida International,Florida Atlantic,Eric Nelson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Florida International,Florida Atlantic,Andre Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Caden Veltkamp,QB,35,24,327.6,2,0,4,0,0.0,0,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Gemari Sands,Rusher,0,0,0.0,0,0,0,21,97.3,2,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,10,25.5,1,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Ethan Ervin,Rusher,0,0,0.0,0,0,0,3,6.3,0,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Xavier Terrell,Rusher,0,0,0.0,0,0,0,14,66.1,0,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,7,38.7,1,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Joshua Harriott,Rusher,0,0,0.0,0,0,0,2,2.2,1,0,0,0.0,0
48,A,Florida Atlantic,Florida International,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,56.1,0
48,A,Florida Atlantic,Florida International,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,37.2,0
48,A,Florida Atlantic,Florida International,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.7,0
48,A,Florida Atlantic,Florida International,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,80.8,0
48,A,Florida Atlantic,Florida International,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,51.5,1
48,A,Florida Atlantic,Florida International,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,30.0,1
48,A,Florida Atlantic,Florida International,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.1,0
48,A,Florida Atlantic,Florida International,Joseph Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Florida Atlantic,Florida International,Branden Hoch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.2,0
48,A,Florida Atlantic,Florida International,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
48,A,Florida Atlantic,Florida International,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,19.1,0
48,A,Florida Atlantic,Florida International,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Caden Veltkamp,QB,40,30,380.8,4,0,6,0,0.0,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,11,48.2,2,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Gemari Sands,Rusher,0,0,0.0,0,0,0,23,83.4,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Xavier Terrell,Rusher,0,0,0.0,0,0,0,10,36.8,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,12,62.0,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Joshua Harriott,Rusher,0,0,0.0,0,0,0,3,16.1,0,0,0,0.0,0
49,B,Florida Atlantic,Florida International,Ethan Ervin,Rusher,0,0,0.0,0,0,0,5,8.4,0,0,0,0.0,0
