sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Iowa,UMass,Mark Gronowski,QB,31,22,199.2,2,0,0,0,0.0,0,0,0,0.0,0
0,A,Iowa,UMass,Xavier Williams,Rusher,0,0,0.0,0,0,0,10,61.1,1,0,0,0.0,0
0,A,Iowa,UMass,Jaziun Patterson,Rusher,0,0,0.0,0,0,0,12,52.5,1,0,0,0.0,0
0,A,Iowa,UMass,Kamari Moulton,Rusher,0,0,0.0,0,0,0,6,31.0,0,0,0,0.0,0
0,A,Iowa,UMass,Mark Gronowski,Rusher,0,0,0.0,0,0,0,10,46.8,1,0,0,0.0,0
0,A,Iowa,UMass,Nathan Mcneil,Rusher,0,0,0.0,0,0,0,1,11.2,0,0,0,0.0,0
0,A,Iowa,UMass,Terrell Washington Jr.,Rusher,0,0,0.0,0,0,0,6,25.6,0,0,0,0.0,0
0,A,Iowa,UMass,Jacob Gill,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,59.5,0
0,A,Iowa,UMass,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,4.0,0
0,A,Iowa,UMass,Sam Phillips,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.8,1
0,A,Iowa,UMass,Seth Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,49.0,1
0,A,Iowa,UMass,Hayden Large,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,51.2,0
0,A,Iowa,UMass,Kaden Wetjen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Iowa,UMass,Zach Ortwerth,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.8,0
0,A,Iowa,UMass,Addison Ostrenga,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
0,A,UMass,Iowa,Brandon Rose,QB,32,17,150.5,0,0,7,0,0.0,0,0,0,0.0,0
0,A,UMass,Iowa,Rocko Griffin,Rusher,0,0,0.0,0,0,0,7,30.2,0,0,0,0.0,0
0,A,UMass,Iowa,Brandon Hood,Rusher,0,0,0.0,0,0,0,4,6.0,0,0,0,0.0,0
0,A,UMass,Iowa,Brandon Rose,Rusher,0,0,0.0,0,0,0,1,2.0,0,0,0,0.0,0
0,A,UMass,Iowa,Elijah Faulkner,Rusher,0,0,0.0,0,0,0,2,10.7,0,0,0,0.0,0
0,A,UMass,Iowa,Other RB,Rusher,0,0,0.0,0,0,0,3,-1.5,0,0,0,0.0,0
