sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Michigan,Central Michigan,Bryce Underwood,QB,31,22,235.3,2,0,0,0,0.0,0,0,0,0.0,0
0,A,Michigan,Central Michigan,Bryce Underwood,Rusher,0,0,0.0,0,0,0,1,-1.2,0,0,0,0.0,0
0,A,Michigan,Central Michigan,Jordan Marshall,Rusher,0,0,0.0,0,0,0,18,85.8,1,0,0,0.0,0
0,A,Michigan,Central Michigan,Justice Haynes,Rusher,0,0,0.0,0,0,0,23,134.2,2,0,0,0.0,0
0,A,Michigan,Central Michigan,Other RB,Rusher,0,0,0.0,0,0,0,2,17.0,0,0,0,0.0,0
0,A,Michigan,Central Michigan,Micah Ka'Apana,Rusher,0,0,0.0,0,0,0,1,7.9,0,0,0,0.0,0
0,A,Michigan,Central Michigan,Zack Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,69.9,0
0,A,Michigan,Central Michigan,Kendrick Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.8,0
0,A,Michigan,Central Michigan,Donaven McCulley,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,70.2,1
0,A,Michigan,Central Michigan,Max Bredeson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,10.6,0
0,A,Michigan,Central Michigan,Marlin Klein,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,13.9,0
0,A,Michigan,Central Michigan,Channing Goodwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,10.0,0
0,A,Michigan,Central Michigan,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,48.8,1
0,A,Central Michigan,Michigan,Joey Labas,QB,21,15,192.4,2,0,4,0,0.0,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Nahree Biggins,Rusher,0,0,0.0,0,0,0,10,46.2,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Brock Townsend,Rusher,0,0,0.0,0,0,0,4,20.2,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Other RB,Rusher,0,0,0.0,0,0,0,7,30.3,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Trey Cornist,Rusher,0,0,0.0,0,0,0,12,52.7,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Joey Labas,Rusher,0,0,0.0,0,0,0,3,12.8,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Kadenn Rose,Rusher,0,0,0.0,0,0,0,2,7.4,0,0,0,0.0,0
0,A,Central Michigan,Michigan,Justin Ruffin Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.5,0
0,A,Central Michigan,Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,53.5,0
0,A,Central Michigan,Michigan,Tommy Mcintosh,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,14.5,0
0,A,Central Michigan,Michigan,D.C. Temple,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.9,1
0,A,Central Michigan,Michigan,Langston Lewis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,38.2,0
0,A,Central Michigan,Michigan,Tyson Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.8,0
0,A,Central Michigan,Michigan,Collin Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,17.3,0
0,A,Central Michigan,Michigan,Nasir Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.6,1
