sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Tulane,Duke,Jake Retzlaff,QB,30,21,164.4,0,0,9,0,0.0,0,0,0,0.0,0
0,A,Tulane,Duke,Arnold Barnes,Rusher,0,0,0.0,0,0,0,3,23.2,0,0,0,0.0,0
0,A,Tulane,Duke,Javin Gordon,Rusher,0,0,0.0,0,0,0,3,1.7,0,0,0,0.0,0
0,A,Tulane,Duke,Zuberi Mobley,Rusher,0,0,0.0,0,0,0,7,41.0,0,0,0,0.0,0
0,A,Tulane,Duke,Jake Retzlaff,Rusher,0,0,0.0,0,0,0,7,15.3,0,0,0,0.0,0
0,A,Tulane,Duke,Maurice Turner,Rusher,0,0,0.0,0,0,0,4,13.3,0,0,0,0.0,0
0,A,Tulane,Duke,Omari Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,48.7,0
0,A,Tulane,Duke,Zycarl Lewis Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.9,0
0,A,Tulane,Duke,Anthony Miller Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.8,0
0,A,Tulane,Duke,Bryce Bohanon,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,11,54.1,0
0,A,Tulane,Duke,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,5.6,0
0,A,Tulane,Duke,Anthony Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,32.1,0
0,A,Tulane,Duke,Johnny Pascuzzi,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.4,0
0,A,Tulane,Duke,Justyn Reid,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.7,0
0,A,Tulane,Duke,Shazz Preston,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.2,0
0,A,Duke,Tulane,Darian Mensah,QB,17,11,196.4,0,0,6,0,0.0,0,0,0,0.0,0
0,A,Duke,Tulane,Darian Mensah,Rusher,0,0,0.0,0,0,0,2,10.8,0,0,0,0.0,0
0,A,Duke,Tulane,Anderson Castle,Rusher,0,0,0.0,0,0,0,4,35.7,1,0,0,0.0,0
