sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,UCLA,New Mexico,Nico Iamaleava,QB,21,15,138.2,1,0,5,0,0.0,0,0,0,0.0,0
48,A,UCLA,New Mexico,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,5,21.6,0,0,0,0.0,0
48,A,UCLA,New Mexico,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,6,35.7,1,0,0,0.0,0
48,A,UCLA,New Mexico,Anthony Woods,Rusher,0,0,0.0,0,0,0,14,56.8,0,0,0,0.0,0
48,A,UCLA,New Mexico,Jalen Berger,Rusher,0,0,0.0,0,0,0,9,63.1,0,0,0,0.0,0
48,A,UCLA,New Mexico,Mikey Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,0.0,0
48,A,UCLA,New Mexico,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,72.8,0
48,A,UCLA,New Mexico,Titus Mokiao-Atimalala,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,60.5,1
48,A,UCLA,New Mexico,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
48,A,UCLA,New Mexico,Jack Pedersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.9,0
48,A,UCLA,New Mexico,Ezavier Staples,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.1,0
48,A,New Mexico,UCLA,Jack Layne,QB,24,15,145.4,1,0,2,0,0.0,0,0,0,0.0,0
48,A,New Mexico,UCLA,DJ McKinney,Rusher,0,0,0.0,0,0,0,2,-4.8,0,0,0,0.0,0
48,A,New Mexico,UCLA,Scottre Humphrey,Rusher,0,0,0.0,0,0,0,20,72.8,1,0,0,0.0,0
48,A,New Mexico,UCLA,Deshaun Buchanan,Rusher,0,0,0.0,0,0,0,2,23.1,0,0,0,0.0,0
48,A,New Mexico,UCLA,Jack Layne,Rusher,0,0,0.0,0,0,0,2,12.8,0,0,0,0.0,0
48,A,New Mexico,UCLA,Other RB,Rusher,0,0,0.0,0,0,0,1,-2.3,0,0,0,0.0,0
48,A,New Mexico,UCLA,Damon Bankston,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
48,A,New Mexico,UCLA,Michael Buckley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,4.1,0
48,A,New Mexico,UCLA,Zhaiel Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.2,0
48,A,New Mexico,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,99.6,1
48,A,New Mexico,UCLA,Keagan Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,19.6,0
48,A,New Mexico,UCLA,Dorian Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,3.9,0
49,B,New Mexico,UCLA,Jack Layne,QB,27,20,315.5,1,0,4,0,0.0,0,0,0,0.0,0
49,B,New Mexico,UCLA,DJ McKinney,Rusher,0,0,0.0,0,0,0,5,23.7,0,0,0,0.0,0
49,B,New Mexico,UCLA,Deshaun Buchanan,Rusher,0,0,0.0,0,0,0,2,10.0,0,0,0,0.0,0
