sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Utah State,Air Force,Bryson Barnes,QB,43,30,221.2,3,0,6,0,0.0,0,0,0,0.0,0
0,A,Utah State,Air Force,Miles Davis,Rusher,0,0,0.0,0,0,0,15,47.4,0,0,0,0.0,0
0,A,Utah State,Air Force,Bryson Barnes,Rusher,0,0,0.0,0,0,0,17,77.0,0,0,0,0.0,0
0,A,Utah State,Air Force,Javen Jacobs,Rusher,0,0,0.0,0,0,0,10,24.8,0,0,0,0.0,0
0,A,Utah State,Air Force,Other RB,Rusher,0,0,0.0,0,0,0,1,4.1,0,0,0,0.0,0
0,A,Utah State,Air Force,Noah White,Rusher,0,0,0.0,0,0,0,1,10.6,0,0,0,0.0,0
0,A,Utah State,Air Force,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,16,24,104.1,3
0,A,Utah State,Air Force,Brady Boyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,36.2,0
0,A,Utah State,Air Force,Braden Pegan,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,66.6,0
0,A,Utah State,Air Force,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.2,0
0,A,Air Force,Utah State,Josh Johnson,QB,29,21,252.8,2,0,2,0,0.0,0,0,0,0.0,0
0,A,Air Force,Utah State,Josh Johnson,Rusher,0,0,0.0,0,0,0,4,29.2,0,0,0,0.0,0
0,A,Air Force,Utah State,Dylan Carson,Rusher,0,0,0.0,0,0,0,14,75.4,1,0,0,0.0,0
0,A,Air Force,Utah State,Terrence Gist,Rusher,0,0,0.0,0,0,0,8,38.4,1,0,0,0.0,0
0,A,Air Force,Utah State,Christopher Frew,Rusher,0,0,0.0,0,0,0,5,31.5,0,0,0,0.0,0
0,A,Air Force,Utah State,Other RB,Rusher,0,0,0.0,0,0,0,16,75.5,2,0,0,0.0,0
0,A,Air Force,Utah State,Gage LaDue,Rusher,0,0,0.0,0,0,0,5,39.7,0,0,0,0.0,0
0,A,Air Force,Utah State,Kaden Cloud,Rusher,0,0,0.0,0,0,0,2,26.6,1,0,0,0.0,0
0,A,Air Force,Utah State,Owen Allen,Rusher,0,0,0.0,0,0,0,1,3.2,0,0,0,0.0,0
0,A,Air Force,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,32.3,0
0,A,Air Force,Utah State,Quin Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,34.7,1
0,A,Air Force,Utah State,Cade Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,49.6,0
0,A,Air Force,Utah State,James Roberson,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,83.0,1
0,A,Air Force,Utah State,Bruin Fleischmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,53.3,0
1,B,Air Force,Utah State,Josh Johnson,QB,47,33,351.3,1,0,9,0,0.0,0,0,0,0.0,0
1,B,Air Force,Utah State,Josh Johnson,Rusher,0,0,0.0,0,0,0,2,3.6,0,0,0,0.0,0
1,B,Air Force,Utah State,Other RB,Rusher,0,0,0.0,0,0,0,18,75.2,0,0,0,0.0,0
1,B,Air Force,Utah State,Dylan Carson,Rusher,0,0,0.0,0,0,0,10,45.8,0,0,0,0.0,0
1,B,Air Force,Utah State,Gage LaDue,Rusher,0,0,0.0,0,0,0,5,26.8,0,0,0,0.0,0
1,B,Air Force,Utah State,Terrence Gist,Rusher,0,0,0.0,0,0,0,7,10.6,1,0,0,0.0,0
1,B,Air Force,Utah State,Kaden Cloud,Rusher,0,0,0.0,0,0,0,1,3.4,0,0,0,0.0,0
1,B,Air Force,Utah State,Christopher Frew,Rusher,0,0,0.0,0,0,0,2,16.6,1,0,0,0.0,0
1,B,Air Force,Utah State,Owen Allen,Rusher,0,0,0.0,0,0,0,1,8.8,0,0,0,0.0,0
1,B,Air Force,Utah State,James Roberson,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,16,111.5,1
1,B,Air Force,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,31.7,0
1,B,Air Force,Utah State,Bruin Fleischmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,80.6,0
1,B,Air Force,Utah State,Cade Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,13,99.3,0
1,B,Air Force,Utah State,Quin Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.2,0
1,B,Utah State,Air Force,Bryson Barnes,QB,39,23,182.9,1,0,10,0,0.0,0,0,0,0.0,0
1,B,Utah State,Air Force,Miles Davis,Rusher,0,0,0.0,0,0,0,9,13.8,0,0,0,0.0,0
1,B,Utah State,Air Force,Noah White,Rusher,0,0,0.0,0,0,0,1,5.0,0,0,0,0.0,0
1,B,Utah State,Air Force,Bryson Barnes,Rusher,0,0,0.0,0,0,0,13,50.5,0,0,0,0.0,0
1,B,Utah State,Air Force,Javen Jacobs,Rusher,0,0,0.0,0,0,0,6,27.7,0,0,0,0.0,0
1,B,Utah State,Air Force,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,18,123.5,1
1,B,Utah State,Air Force,Brady Boyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,51.1,0
1,B,Utah State,Air Force,Kahanu Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Utah State,Air Force,Braden Pegan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,8.3,0
1,B,Utah State,Air Force,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
2,A,Utah State,Air Force,Bryson Barnes,QB,39,22,272.7,1,0,9,0,0.0,0,0,0,0.0,0
2,A,Utah State,Air Force,Javen Jacobs,Rusher,0,0,0.0,0,0,0,6,16.4,0,0,0,0.0,0
2,A,Utah State,Air Force,Miles Davis,Rusher,0,0,0.0,0,0,0,18,90.2,1,0,0,0.0,0
2,A,Utah State,Air Force,Bryson Barnes,Rusher,0,0,0.0,0,0,0,18,64.2,0,0,0,0.0,0
2,A,Utah State,Air Force,Noah White,Rusher,0,0,0.0,0,0,0,2,10.8,0,0,0,0.0,0
2,A,Utah State,Air Force,Other RB,Rusher,0,0,0.0,0,0,0,2,12.2,0,0,0,0.0,0
2,A,Utah State,Air Force,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,20,172.6,1
2,A,Utah State,Air Force,Brady Boyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,15.2,0
2,A,Utah State,Air Force,Braden Pegan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,35.0,0
2,A,Utah State,Air Force,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,48.1,0
2,A,Utah State,Air Force,Kahanu Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.8,0
2,A,Air Force,Utah State,Josh Johnson,QB,37,27,340.4,2,0,5,0,0.0,0,0,0,0.0,0
2,A,Air Force,Utah State,Terrence Gist,Rusher,0,0,0.0,0,0,0,9,35.3,0,0,0,0.0,0
2,A,Air Force,Utah State,Other RB,Rusher,0,0,0.0,0,0,0,18,53.0,1,0,0,0.0,0
2,A,Air Force,Utah State,Dylan Carson,Rusher,0,0,0.0,0,0,0,14,79.7,1,0,0,0.0,0
2,A,Air Force,Utah State,Owen Allen,Rusher,0,0,0.0,0,0,0,1,0.9,0,0,0,0.0,0
2,A,Air Force,Utah State,Gage LaDue,Rusher,0,0,0.0,0,0,0,5,13.2,0,0,0,0.0,0
2,A,Air Force,Utah State,Kaden Cloud,Rusher,0,0,0.0,0,0,0,3,2.5,0,0,0,0.0,0
2,A,Air Force,Utah State,Christopher Frew,Rusher,0,0,0.0,0,0,0,1,0.2,0,0,0,0.0,0
2,A,Air Force,Utah State,Cade Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,15,111.8,1
