sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Wake Forest,NC State,Robby Ashford,QB,28,15,152.1,0,1,5,0,0.0,0,0,0,0.0,0
0,A,Wake Forest,NC State,JaMario Clements,Rusher,0,0,0.0,0,0,0,10,20.8,0,0,0,0.0,0
0,A,Wake Forest,NC State,Demond Claiborne,Rusher,0,0,0.0,0,0,0,9,72.8,1,0,0,0.0,0
0,A,Wake Forest,NC State,Ty Clark III,Rusher,0,0,0.0,0,0,0,9,17.5,0,0,0,0.0,0
0,A,Wake Forest,NC State,Robby Ashford,Rusher,0,0,0.0,0,0,0,10,58.6,1,0,0,0.0,0
0,A,Wake Forest,NC State,Other RB,Rusher,0,0,0.0,0,0,0,6,13.7,0,0,0,0.0,0
0,A,Wake Forest,NC State,Tate Carney,Rusher,0,0,0.0,0,0,0,2,9.1,0,0,0,0.0,0
0,A,Wake Forest,NC State,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,55.4,0
0,A,Wake Forest,NC State,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,15.8,0
0,A,Wake Forest,NC State,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.5,0
0,A,Wake Forest,NC State,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,28.6,0
0,A,Wake Forest,NC State,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,5,0.0,0
0,A,Wake Forest,NC State,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.2,0
0,A,Wake Forest,NC State,Jeremiah Melvin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.2,0
0,A,Wake Forest,NC State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Wake Forest,NC State,Chevy Brenson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.4,0
0,A,NC State,Wake Forest,CJ Bailey,QB,37,22,152.4,1,1,3,0,0.0,0,0,0,0.0,0
0,A,NC State,Wake Forest,Daylan Smothers,Rusher,0,0,0.0,0,0,0,19,84.0,1,0,0,0.0,0
0,A,NC State,Wake Forest,Jayden Scott,Rusher,0,0,0.0,0,0,0,6,26.0,0,0,0,0.0,0
0,A,NC State,Wake Forest,Other RB,Rusher,0,0,0.0,0,0,0,6,25.2,0,0,0,0.0,0
0,A,NC State,Wake Forest,CJ Bailey,Rusher,0,0,0.0,0,0,0,6,33.8,0,0,0,0.0,0
0,A,NC State,Wake Forest,Terrell Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,42.7,0
0,A,NC State,Wake Forest,Keenan Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,17.5,0
