team,opp,pts,opp_pts,plays,opp_plays
Colorado,Houston,10,13,55,60
Houston,Colorado,31,7,64,46
Colorado,Houston,10,21,63,45
Houston,Colorado,21,7,61,48
Colorado,Houston,3,27,51,59
Houston,Colorado,34,10,62,45
Colorado,Houston,7,28,52,59
Houston,Colorado,10,24,59,51
Colorado,Houston,24,7,55,54
Houston,Colorado,31,6,54,56
Colorado,Houston,13,31,56,54
Houston,Colorado,3,17,63,52
Colorado,Houston,3,21,54,60
Houston,Colorado,35,10,47,62
Colorado,Houston,21,24,54,57
Houston,Colorado,24,17,52,63
Colorado,Houston,10,6,48,68
Houston,Colorado,34,9,60,51
Colorado,Houston,34,3,64,60
Houston,Colorado,42,0,63,45
Colorado,Houston,10,24,54,61
Houston,Colorado,21,17,50,57
Colorado,Houston,13,24,49,53
Houston,Colorado,20,14,61,54
Colorado,Houston,10,21,39,65
Houston,Colorado,21,14,58,50
Colorado,Houston,13,10,56,54
Houston,Colorado,28,3,59,50
Colorado,Houston,17,13,59,53
Houston,Colorado,10,10,67,47
Colorado,Houston,10,20,50,63
Houston,Colorado,21,21,57,58
Colorado,Houston,23,21,67,52
Houston,Colorado,23,7,59,52
Colorado,Houston,24,0,62,55
Houston,Colorado,20,17,58,53
Colorado,Houston,21,13,59,60
Houston,Colorado,35,10,59,51
Colorado,Houston,17,17,61,48
Houston,Colorado,37,13,59,57
Colorado,Houston,31,0,64,52
Houston,Colorado,17,7,57,54
Colorado,Houston,14,24,51,63
Houston,Colorado,17,10,56,51
Colorado,Houston,21,17,46,61
Houston,Colorado,21,14,61,49
Colorado,Houston,10,24,44,67
Houston,Colorado,48,3,64,48
Colorado,Houston,13,17,54,63
Houston,Colorado,20,7,53,58
Colorado,Houston,21,21,50,62
Houston,Colorado,17,7,57,56
Colorado,Houston,27,14,65,55
Houston,Colorado,13,10,59,53
Colorado,Houston,31,0,62,50
Houston,Colorado,20,6,60,53
Colorado,Houston,13,21,54,55
Houston,Colorado,13,13,55,56
Colorado,Houston,10,28,52,58
Houston,Colorado,28,7,69,43
Colorado,Houston,17,9,55,65
Houston,Colorado,6,10,56,63
Colorado,Houston,6,28,48,60
Houston,Colorado,10,13,64,46
Colorado,Houston,21,14,65,50
Houston,Colorado,17,13,61,46
Colorado,Houston,3,0,65,46
Houston,Colorado,10,21,62,56
Colorado,Houston,3,21,55,49
Houston,Colorado,30,21,57,60
Colorado,Houston,20,21,57,54
Houston,Colorado,41,3,54,49
Colorado,Houston,7,31,47,63
Houston,Colorado,23,6,62,48
Colorado,Houston,14,7,52,64
Houston,Colorado,14,27,52,65
