team,opp,pts,opp_pts,plays,opp_plays
Georgia Tech,Clemson,17,38,89,76
Clemson,Georgia Tech,20,16,80,75
Georgia Tech,Clemson,41,42,86,76
Clemson,Georgia Tech,24,45,82,90
Georgia Tech,Clemson,38,26,74,91
Clemson,Georgia Tech,17,30,76,85
Georgia Tech,Clemson,38,10,102,75
Clemson,Georgia Tech,34,20,87,79
Georgia Tech,Clemson,33,35,91,72
Clemson,Georgia Tech,30,17,89,72
Georgia Tech,Clemson,17,24,91,83
Clemson,Georgia Tech,31,20,79,89
Georgia Tech,Clemson,31,30,80,86
Clemson,Georgia Tech,35,34,85,75
Georgia Tech,Clemson,31,31,82,81
Clemson,Georgia Tech,31,31,87,73
Georgia Tech,Clemson,17,30,71,93
Clemson,Georgia Tech,20,24,88,73
Georgia Tech,Clemson,21,34,89,81
Clemson,Georgia Tech,48,41,88,77
Georgia Tech,Clemson,41,13,90,78
Clemson,Georgia Tech,34,28,88,77
Georgia Tech,Clemson,14,31,86,83
Clemson,Georgia Tech,31,35,88,74
Georgia Tech,Clemson,52,38,95,91
Clemson,Georgia Tech,49,21,78,81
Georgia Tech,Clemson,17,37,73,85
Clemson,Georgia Tech,17,48,71,81
Georgia Tech,Clemson,17,59,73,85
Clemson,Georgia Tech,38,24,88,82
Georgia Tech,Clemson,35,14,88,74
Clemson,Georgia Tech,7,44,84,75
Georgia Tech,Clemson,31,35,100,84
Clemson,Georgia Tech,34,55,71,91
Georgia Tech,Clemson,41,40,82,92
Clemson,Georgia Tech,20,24,95,67
Georgia Tech,Clemson,41,17,85,75
Clemson,Georgia Tech,14,41,86,91
Georgia Tech,Clemson,28,14,91,63
Clemson,Georgia Tech,48,20,77,78
Georgia Tech,Clemson,24,30,82,97
Clemson,Georgia Tech,24,38,77,89
Georgia Tech,Clemson,59,24,87,80
Clemson,Georgia Tech,17,16,94,66
Georgia Tech,Clemson,30,28,85,84
Clemson,Georgia Tech,24,28,88,77
Georgia Tech,Clemson,38,27,79,93
Clemson,Georgia Tech,21,20,81,85
Georgia Tech,Clemson,30,38,82,79
Clemson,Georgia Tech,44,20,102,75
Georgia Tech,Clemson,37,10,87,74
Clemson,Georgia Tech,17,34,90,74
Georgia Tech,Clemson,28,24,67,90
Clemson,Georgia Tech,16,56,83,76
Georgia Tech,Clemson,34,30,85,82
Clemson,Georgia Tech,80,13,108,68
Georgia Tech,Clemson,31,28,73,78
Clemson,Georgia Tech,45,24,88,81
Georgia Tech,Clemson,35,27,79,94
Clemson,Georgia Tech,34,29,86,91
Georgia Tech,Clemson,37,37,94,88
Clemson,Georgia Tech,33,30,90,91
Georgia Tech,Clemson,21,33,82,84
Clemson,Georgia Tech,41,14,91,71
Georgia Tech,Clemson,45,28,92,78
Clemson,Georgia Tech,42,17,82,75
Georgia Tech,Clemson,23,24,96,71
Clemson,Georgia Tech,56,24,97,69
Georgia Tech,Clemson,45,47,88,80
Clemson,Georgia Tech,38,26,79,91
Georgia Tech,Clemson,38,21,84,70
Clemson,Georgia Tech,41,20,94,75
Georgia Tech,Clemson,59,17,99,73
Clemson,Georgia Tech,31,28,89,83
Georgia Tech,Clemson,9,27,83,77
Clemson,Georgia Tech,21,26,70,86
Georgia Tech,Clemson,45,36,81,83
Clemson,Georgia Tech,20,31,89,74
Georgia Tech,Clemson,44,38,93,82
Clemson,Georgia Tech,27,42,87,82
Georgia Tech,Clemson,29,20,78,78
Clemson,Georgia Tech,35,31,82,82
Georgia Tech,Clemson,31,21,75,85
Clemson,Georgia Tech,17,35,73,93
Georgia Tech,Clemson,24,24,77,85
Clemson,Georgia Tech,34,6,86,56
Georgia Tech,Clemson,27,35,90,82
Clemson,Georgia Tech,28,38,96,72
Georgia Tech,Clemson,41,20,92,78
Clemson,Georgia Tech,34,38,83,88
Georgia Tech,Clemson,45,42,73,88
Clemson,Georgia Tech,21,21,88,88
Georgia Tech,Clemson,34,33,82,86
Clemson,Georgia Tech,35,17,90,64
Georgia Tech,Clemson,27,38,88,85
Clemson,Georgia Tech,28,35,91,77
Georgia Tech,Clemson,35,38,91,84
Clemson,Georgia Tech,24,44,67,102
Georgia Tech,Clemson,45,21,86,80
Clemson,Georgia Tech,20,42,76,84
Georgia Tech,Clemson,45,21,93,77
Clemson,Georgia Tech,38,64,84,96
Georgia Tech,Clemson,55,17,88,74
Clemson,Georgia Tech,41,16,82,92
Georgia Tech,Clemson,52,34,82,91
Clemson,Georgia Tech,28,33,93,77
Georgia Tech,Clemson,35,17,76,88
Clemson,Georgia Tech,24,33,82,94
Georgia Tech,Clemson,27,24,75,88
Clemson,Georgia Tech,27,27,86,87
Georgia Tech,Clemson,27,20,75,79
Clemson,Georgia Tech,17,9,80,74
Georgia Tech,Clemson,27,17,87,77
Clemson,Georgia Tech,20,21,85,70
Georgia Tech,Clemson,52,17,90,74
Clemson,Georgia Tech,34,41,84,92
Georgia Tech,Clemson,55,24,94,68
Clemson,Georgia Tech,28,34,87,87
Georgia Tech,Clemson,48,24,89,77
Clemson,Georgia Tech,47,20,99,85
Georgia Tech,Clemson,28,23,85,83
Clemson,Georgia Tech,31,34,89,70
Georgia Tech,Clemson,31,31,71,84
Clemson,Georgia Tech,31,28,79,87
Georgia Tech,Clemson,17,20,79,78
Clemson,Georgia Tech,27,45,76,90
Georgia Tech,Clemson,45,41,100,86
Clemson,Georgia Tech,27,27,97,78
Georgia Tech,Clemson,44,24,92,77
Clemson,Georgia Tech,41,27,79,77
Georgia Tech,Clemson,34,45,81,88
Clemson,Georgia Tech,31,47,74,87
Georgia Tech,Clemson,34,24,88,84
Clemson,Georgia Tech,38,35,96,82
Georgia Tech,Clemson,34,13,82,77
Clemson,Georgia Tech,45,48,82,86
Georgia Tech,Clemson,38,30,83,82
Clemson,Georgia Tech,45,38,83,91
Georgia Tech,Clemson,31,21,93,68
Clemson,Georgia Tech,14,33,81,83
Georgia Tech,Clemson,30,17,91,81
Clemson,Georgia Tech,24,37,94,80
Georgia Tech,Clemson,38,34,83,89
Clemson,Georgia Tech,49,58,85,94
Georgia Tech,Clemson,16,30,83,85
Clemson,Georgia Tech,48,13,99,63
Georgia Tech,Clemson,51,24,87,87
Clemson,Georgia Tech,42,17,83,79
Georgia Tech,Clemson,31,31,83,84
Clemson,Georgia Tech,17,37,73,81
Georgia Tech,Clemson,23,41,73,89
Clemson,Georgia Tech,19,36,81,88
Georgia Tech,Clemson,52,31,89,80
Clemson,Georgia Tech,45,28,82,92
Georgia Tech,Clemson,24,42,80,87
Clemson,Georgia Tech,30,30,86,87
Georgia Tech,Clemson,6,31,62,81
Clemson,Georgia Tech,48,38,88,85
Georgia Tech,Clemson,52,14,98,64
Clemson,Georgia Tech,52,21,84,81
Georgia Tech,Clemson,34,20,85,76
Clemson,Georgia Tech,44,48,90,89
Georgia Tech,Clemson,23,27,79,91
Clemson,Georgia Tech,21,34,66,82
Georgia Tech,Clemson,27,41,91,83
Clemson,Georgia Tech,20,45,89,81
Georgia Tech,Clemson,28,28,67,88
Clemson,Georgia Tech,24,24,88,79
Georgia Tech,Clemson,42,13,83,75
Clemson,Georgia Tech,35,31,89,70
Georgia Tech,Clemson,30,17,83,81
Clemson,Georgia Tech,55,28,97,65
Georgia Tech,Clemson,31,31,86,75
Clemson,Georgia Tech,42,20,86,69
Georgia Tech,Clemson,17,27,79,79
Clemson,Georgia Tech,35,38,88,84
Georgia Tech,Clemson,28,30,75,90
Clemson,Georgia Tech,37,48,88,83
Georgia Tech,Clemson,52,28,84,73
Clemson,Georgia Tech,27,16,90,81
Georgia Tech,Clemson,30,24,91,74
Clemson,Georgia Tech,24,14,81,75
Georgia Tech,Clemson,44,31,78,87
Clemson,Georgia Tech,27,28,90,72
Georgia Tech,Clemson,24,38,87,78
Clemson,Georgia Tech,48,23,80,76
Georgia Tech,Clemson,41,45,83,79
Clemson,Georgia Tech,28,41,92,75
Georgia Tech,Clemson,38,38,77,96
Clemson,Georgia Tech,29,24,93,81
Georgia Tech,Clemson,27,24,93,80
Clemson,Georgia Tech,28,31,92,75
Georgia Tech,Clemson,38,27,87,84
Clemson,Georgia Tech,27,42,75,90
Georgia Tech,Clemson,33,48,82,88
Clemson,Georgia Tech,31,13,78,72
Georgia Tech,Clemson,37,17,99,71
Clemson,Georgia Tech,40,24,92,69
Georgia Tech,Clemson,42,38,89,87
Clemson,Georgia Tech,31,21,96,71
Georgia Tech,Clemson,17,30,79,85
Clemson,Georgia Tech,19,62,88,81
Georgia Tech,Clemson,24,34,72,84
Clemson,Georgia Tech,38,41,79,90
Georgia Tech,Clemson,49,26,86,83
Clemson,Georgia Tech,52,38,86,78
Georgia Tech,Clemson,28,34,71,86
Clemson,Georgia Tech,30,27,83,70
Georgia Tech,Clemson,35,38,81,96
Clemson,Georgia Tech,34,31,86,93
Georgia Tech,Clemson,24,23,64,89
Clemson,Georgia Tech,42,28,88,69
Georgia Tech,Clemson,14,31,83,80
Clemson,Georgia Tech,24,41,88,91
Georgia Tech,Clemson,38,35,79,91
Clemson,Georgia Tech,17,26,80,90
Georgia Tech,Clemson,52,10,95,76
Clemson,Georgia Tech,52,20,85,80
Georgia Tech,Clemson,38,35,70,90
Clemson,Georgia Tech,14,42,71,90
Georgia Tech,Clemson,38,48,74,89
Clemson,Georgia Tech,55,23,79,86
Georgia Tech,Clemson,31,27,79,80
Clemson,Georgia Tech,24,24,78,92
Georgia Tech,Clemson,28,41,81,84
Clemson,Georgia Tech,23,27,72,80
Georgia Tech,Clemson,54,31,96,81
Clemson,Georgia Tech,31,41,85,96
Georgia Tech,Clemson,14,35,87,78
Clemson,Georgia Tech,41,31,79,83
Georgia Tech,Clemson,38,27,77,83
Clemson,Georgia Tech,24,14,72,71
Georgia Tech,Clemson,21,63,74,93
Clemson,Georgia Tech,35,13,79,86
Georgia Tech,Clemson,10,31,90,86
Clemson,Georgia Tech,63,23,101,77
Georgia Tech,Clemson,24,52,86,88
Clemson,Georgia Tech,37,31,78,93
Georgia Tech,Clemson,34,41,87,79
Clemson,Georgia Tech,24,21,80,83
Georgia Tech,Clemson,23,31,90,81
Clemson,Georgia Tech,31,13,90,80
Georgia Tech,Clemson,17,45,78,90
Clemson,Georgia Tech,16,27,79,76
Georgia Tech,Clemson,17,41,74,84
Clemson,Georgia Tech,13,37,84,84
Georgia Tech,Clemson,44,21,99,64
Clemson,Georgia Tech,38,21,96,67
Georgia Tech,Clemson,24,38,79,74
Clemson,Georgia Tech,20,27,84,88
Georgia Tech,Clemson,28,38,82,81
Clemson,Georgia Tech,28,20,81,79
Georgia Tech,Clemson,24,55,76,92
Clemson,Georgia Tech,20,45,77,82
Georgia Tech,Clemson,31,20,73,92
Clemson,Georgia Tech,28,28,74,87
Georgia Tech,Clemson,31,38,84,77
Clemson,Georgia Tech,28,21,81,93
Georgia Tech,Clemson,31,14,90,81
Clemson,Georgia Tech,20,17,93,74
Georgia Tech,Clemson,34,38,82,73
Clemson,Georgia Tech,37,28,85,82
Georgia Tech,Clemson,24,13,75,92
Clemson,Georgia Tech,14,34,81,80
Georgia Tech,Clemson,24,44,76,83
Clemson,Georgia Tech,34,31,88,70
Georgia Tech,Clemson,49,35,81,78
Clemson,Georgia Tech,38,30,80,81
Georgia Tech,Clemson,24,24,86,79
Clemson,Georgia Tech,31,16,83,93
Georgia Tech,Clemson,31,14,91,75
Clemson,Georgia Tech,34,28,89,69
Georgia Tech,Clemson,34,31,84,87
Clemson,Georgia Tech,24,13,78,76
Georgia Tech,Clemson,38,34,93,74
Clemson,Georgia Tech,35,21,89,76
Georgia Tech,Clemson,17,34,82,74
Clemson,Georgia Tech,24,31,92,79
Georgia Tech,Clemson,24,55,70,93
Clemson,Georgia Tech,28,41,91,77
Georgia Tech,Clemson,49,35,94,76
Clemson,Georgia Tech,37,31,80,77
Georgia Tech,Clemson,24,24,84,74
Clemson,Georgia Tech,40,37,78,83
Georgia Tech,Clemson,21,44,67,89
Clemson,Georgia Tech,55,27,99,67
Georgia Tech,Clemson,30,34,88,80
Clemson,Georgia Tech,26,23,85,77
Georgia Tech,Clemson,31,31,79,76
Clemson,Georgia Tech,38,27,87,66
Georgia Tech,Clemson,10,37,64,84
Clemson,Georgia Tech,28,37,81,75
Georgia Tech,Clemson,45,24,87,83
Clemson,Georgia Tech,42,21,94,73
Georgia Tech,Clemson,45,35,92,86
Clemson,Georgia Tech,21,37,84,90
Georgia Tech,Clemson,38,31,86,81
Clemson,Georgia Tech,24,38,83,77
Georgia Tech,Clemson,21,38,69,87
Clemson,Georgia Tech,30,24,84,85
Georgia Tech,Clemson,24,41,80,82
Clemson,Georgia Tech,45,51,90,84
Georgia Tech,Clemson,31,27,93,83
Clemson,Georgia Tech,34,37,76,94
Georgia Tech,Clemson,21,41,79,86
Clemson,Georgia Tech,49,21,91,84
Georgia Tech,Clemson,47,37,95,71
Clemson,Georgia Tech,21,30,72,87
Georgia Tech,Clemson,20,55,74,90
Clemson,Georgia Tech,19,16,83,80
Georgia Tech,Clemson,38,21,83,83
Clemson,Georgia Tech,24,44,91,91
Georgia Tech,Clemson,31,34,86,76
Clemson,Georgia Tech,27,20,87,76
Georgia Tech,Clemson,41,27,88,89
Clemson,Georgia Tech,20,37,87,83
Georgia Tech,Clemson,26,10,84,73
Clemson,Georgia Tech,20,21,93,79
Georgia Tech,Clemson,16,37,87,78
Clemson,Georgia Tech,44,33,88,63
Georgia Tech,Clemson,34,34,81,86
Clemson,Georgia Tech,38,10,87,66
Georgia Tech,Clemson,17,23,89,78
Clemson,Georgia Tech,3,33,88,85
Georgia Tech,Clemson,24,34,80,87
Clemson,Georgia Tech,21,35,90,77
Georgia Tech,Clemson,28,31,79,86
Clemson,Georgia Tech,28,48,91,89
Georgia Tech,Clemson,30,17,86,70
Clemson,Georgia Tech,52,31,86,76
Georgia Tech,Clemson,38,35,77,83
Clemson,Georgia Tech,48,17,87,81
Georgia Tech,Clemson,30,23,92,91
Clemson,Georgia Tech,20,48,89,77
Georgia Tech,Clemson,37,28,86,87
Clemson,Georgia Tech,42,6,76,82
Georgia Tech,Clemson,22,37,86,75
Clemson,Georgia Tech,34,42,97,73
Georgia Tech,Clemson,23,28,94,76
Clemson,Georgia Tech,31,34,92,81
Georgia Tech,Clemson,48,14,90,83
Clemson,Georgia Tech,52,31,92,89
Georgia Tech,Clemson,38,24,78,94
Clemson,Georgia Tech,35,41,78,83
Georgia Tech,Clemson,55,10,98,78
Clemson,Georgia Tech,31,45,92,78
Georgia Tech,Clemson,20,31,75,87
Clemson,Georgia Tech,17,42,86,84
Georgia Tech,Clemson,38,35,92,77
Clemson,Georgia Tech,24,37,73,85
Georgia Tech,Clemson,42,20,91,88
Clemson,Georgia Tech,21,33,81,83
Georgia Tech,Clemson,17,27,66,91
Clemson,Georgia Tech,13,45,88,78
Georgia Tech,Clemson,14,52,84,82
Clemson,Georgia Tech,30,52,93,87
Georgia Tech,Clemson,28,52,82,86
Clemson,Georgia Tech,27,35,88,86
Georgia Tech,Clemson,42,36,78,93
Clemson,Georgia Tech,23,20,85,83
Georgia Tech,Clemson,26,38,87,75
Clemson,Georgia Tech,34,21,94,70
Georgia Tech,Clemson,13,38,86,78
Clemson,Georgia Tech,35,41,90,79
Georgia Tech,Clemson,14,24,82,81
Clemson,Georgia Tech,30,31,93,72
Georgia Tech,Clemson,49,27,79,87
Clemson,Georgia Tech,35,34,73,85
Georgia Tech,Clemson,30,24,94,67
Clemson,Georgia Tech,38,10,87,67
Georgia Tech,Clemson,30,17,95,76
Clemson,Georgia Tech,35,19,84,85
Georgia Tech,Clemson,27,23,81,86
Clemson,Georgia Tech,45,27,73,89
Georgia Tech,Clemson,49,17,87,77
Clemson,Georgia Tech,34,14,93,90
Georgia Tech,Clemson,51,20,88,87
Clemson,Georgia Tech,40,34,89,82
Georgia Tech,Clemson,31,34,80,74
Clemson,Georgia Tech,24,48,87,69
Georgia Tech,Clemson,17,31,87,90
Clemson,Georgia Tech,35,17,76,72
Georgia Tech,Clemson,35,38,80,95
Clemson,Georgia Tech,24,41,83,83
Georgia Tech,Clemson,31,21,78,81
Clemson,Georgia Tech,34,40,83,96
Georgia Tech,Clemson,42,13,82,75
Clemson,Georgia Tech,23,24,90,71
Georgia Tech,Clemson,43,27,89,81
Clemson,Georgia Tech,23,17,92,81
Georgia Tech,Clemson,14,31,83,76
Clemson,Georgia Tech,48,27,94,83
Georgia Tech,Clemson,0,58,68,98
Clemson,Georgia Tech,10,17,95,69
Georgia Tech,Clemson,42,36,72,92
Clemson,Georgia Tech,35,24,95,68
Georgia Tech,Clemson,20,24,93,74
Clemson,Georgia Tech,17,62,86,87
