team,opp,pts,opp_pts,plays,opp_plays
Kent State,Buffalo,38,42,82,81
Buffalo,Kent State,56,13,82,73
Kent State,Buffalo,24,35,82,71
Buffalo,Kent State,41,24,100,70
Kent State,Buffalo,17,32,81,96
Buffalo,Kent State,27,27,89,83
Kent State,Buffalo,13,48,91,89
Buffalo,Kent State,42,13,82,79
Kent State,Buffalo,20,20,86,67
Buffalo,Kent State,33,14,82,75
Kent State,Buffalo,17,22,82,94
Buffalo,Kent State,16,16,70,74
Kent State,Buffalo,10,28,88,78
Buffalo,Kent State,34,6,78,85
Kent State,Buffalo,13,34,64,82
Buffalo,Kent State,45,7,104,66
Kent State,Buffalo,3,45,71,93
Buffalo,Kent State,49,6,84,71
Kent State,Buffalo,13,16,79,77
Buffalo,Kent State,26,7,94,80
Kent State,Buffalo,17,31,92,64
Buffalo,Kent State,41,16,94,73
Kent State,Buffalo,3,48,74,80
Buffalo,Kent State,48,14,74,90
Kent State,Buffalo,7,49,79,95
Buffalo,Kent State,55,31,104,86
Kent State,Buffalo,21,10,81,63
Buffalo,Kent State,44,17,90,81
Kent State,Buffalo,3,55,73,94
Buffalo,Kent State,59,0,99,72
Kent State,Buffalo,24,30,89,81
Buffalo,Kent State,48,3,92,73
Kent State,Buffalo,6,35,77,85
Buffalo,Kent State,70,23,93,82
Kent State,Buffalo,24,51,75,108
Buffalo,Kent State,23,10,89,75
Kent State,Buffalo,3,58,78,100
Buffalo,Kent State,38,10,83,83
Kent State,Buffalo,13,20,71,79
Buffalo,Kent State,37,16,79,84
Kent State,Buffalo,17,41,84,79
Buffalo,Kent State,54,7,93,76
Kent State,Buffalo,7,26,70,99
Buffalo,Kent State,40,10,79,93
Kent State,Buffalo,14,38,77,84
Buffalo,Kent State,41,31,86,80
Kent State,Buffalo,17,48,72,90
Buffalo,Kent State,28,16,76,87
Kent State,Buffalo,27,20,79,76
Buffalo,Kent State,24,14,76,86
Kent State,Buffalo,9,34,77,86
Buffalo,Kent State,51,16,90,89
Kent State,Buffalo,16,30,85,95
Buffalo,Kent State,37,10,83,82
Kent State,Buffalo,10,58,74,90
Buffalo,Kent State,33,10,98,74
Kent State,Buffalo,20,80,98,94
Buffalo,Kent State,44,23,83,83
Kent State,Buffalo,14,59,69,107
Buffalo,Kent State,38,7,96,66
Kent State,Buffalo,28,22,76,80
Buffalo,Kent State,51,21,84,85
Kent State,Buffalo,10,30,91,75
