team,opp,pts,opp_pts,plays,opp_plays
Michigan,Central Michigan,38,20,76,63
Central Michigan,Michigan,3,38,62,77
Michigan,Central Michigan,35,7,83,60
Central Michigan,Michigan,0,52,52,86
Michigan,Central Michigan,10,13,83,61
Central Michigan,Michigan,14,34,73,66
Michigan,Central Michigan,24,0,66,66
Central Michigan,Michigan,10,37,66,76
Michigan,Central Michigan,41,0,86,46
Central Michigan,Michigan,10,23,65,67
Michigan,Central Michigan,24,17,86,51
Central Michigan,Michigan,10,31,65,77
Michigan,Central Michigan,41,10,76,66
Central Michigan,Michigan,7,45,59,81
Michigan,Central Michigan,30,0,73,56
Central Michigan,Michigan,24,14,77,70
Michigan,Central Michigan,27,13,71,63
Central Michigan,Michigan,6,45,67,78
Michigan,Central Michigan,31,0,82,54
Central Michigan,Michigan,17,47,58,81
Michigan,Central Michigan,33,3,82,65
Central Michigan,Michigan,7,24,67,73
Michigan,Central Michigan,31,7,79,67
Central Michigan,Michigan,16,31,66,73
Michigan,Central Michigan,41,14,82,50
Central Michigan,Michigan,7,30,82,69
Michigan,Central Michigan,44,17,71,64
Central Michigan,Michigan,0,20,66,65
Michigan,Central Michigan,27,7,86,57
Central Michigan,Michigan,3,20,58,72
Michigan,Central Michigan,23,10,72,60
Central Michigan,Michigan,3,48,65,71
Michigan,Central Michigan,31,10,71,61
Central Michigan,Michigan,0,27,69,62
Michigan,Central Michigan,14,3,64,74
Central Michigan,Michigan,13,30,78,72
Michigan,Central Michigan,48,3,93,43
Central Michigan,Michigan,10,38,67,74
Michigan,Central Michigan,42,10,75,78
Central Michigan,Michigan,10,51,57,87
Michigan,Central Michigan,38,14,79,79
Central Michigan,Michigan,3,34,57,74
Michigan,Central Michigan,35,6,74,56
Central Michigan,Michigan,3,20,59,71
Michigan,Central Michigan,49,0,84,56
Central Michigan,Michigan,10,31,66,67
Michigan,Central Michigan,34,6,85,48
Central Michigan,Michigan,7,27,66,75
Michigan,Central Michigan,27,3,78,53
Central Michigan,Michigan,7,15,69,71
Michigan,Central Michigan,16,3,76,56
Central Michigan,Michigan,20,21,71,75
Michigan,Central Michigan,52,7,80,69
Central Michigan,Michigan,0,30,63,73
Michigan,Central Michigan,54,0,84,62
Central Michigan,Michigan,24,23,70,75
Michigan,Central Michigan,52,7,75,55
Central Michigan,Michigan,10,3,61,71
Michigan,Central Michigan,44,7,78,66
Central Michigan,Michigan,14,41,55,78
Michigan,Central Michigan,40,6,76,59
Central Michigan,Michigan,7,35,58,80
Michigan,Central Michigan,56,7,77,68
Central Michigan,Michigan,0,27,67,75
Michigan,Central Michigan,27,0,73,57
Central Michigan,Michigan,10,17,60,70
Michigan,Central Michigan,42,7,74,61
Central Michigan,Michigan,14,45,56,80
Michigan,Central Michigan,42,0,77,51
Central Michigan,Michigan,13,37,63,73
Michigan,Central Michigan,34,3,80,63
Central Michigan,Michigan,10,58,72,72
Michigan,Central Michigan,37,0,76,58
Central Michigan,Michigan,0,31,61,73
Michigan,Central Michigan,17,3,66,69
