team,opp,pts,opp_pts,plays,opp_plays
Missouri,Louisiana,42,31,78,69
Louisiana,Missouri,3,41,63,71
Missouri,Louisiana,23,3,69,70
Louisiana,Missouri,12,14,82,62
Missouri,Louisiana,38,10,84,53
Louisiana,Missouri,10,45,66,81
Missouri,Louisiana,21,14,70,69
Louisiana,Missouri,37,14,72,63
Missouri,Louisiana,38,6,76,67
Louisiana,Missouri,31,28,80,62
Missouri,Louisiana,17,13,63,77
Louisiana,Missouri,27,41,78,67
Missouri,Louisiana,33,10,77,57
Louisiana,Missouri,3,41,60,87
Missouri,Louisiana,24,10,79,62
Louisiana,Missouri,6,34,60,71
Missouri,Louisiana,41,7,80,54
Louisiana,Missouri,14,23,72,64
Missouri,Louisiana,42,3,74,61
Louisiana,Missouri,17,38,65,73
Missouri,Louisiana,38,6,81,60
Louisiana,Missouri,9,27,83,64
Missouri,Louisiana,28,13,66,76
Louisiana,Missouri,10,41,66,71
Missouri,Louisiana,45,14,68,67
Louisiana,Missouri,7,27,65,78
Missouri,Louisiana,45,10,81,60
Louisiana,Missouri,0,41,63,66
Missouri,Louisiana,52,0,76,56
Louisiana,Missouri,13,52,58,87
Missouri,Louisiana,7,7,73,68
Louisiana,Missouri,21,28,81,75
Missouri,Louisiana,42,13,76,78
Louisiana,Missouri,14,48,60,86
Missouri,Louisiana,20,20,70,79
Louisiana,Missouri,10,6,82,69
Missouri,Louisiana,21,6,70,70
Louisiana,Missouri,3,49,62,74
Missouri,Louisiana,48,21,79,66
Louisiana,Missouri,10,38,53,86
Missouri,Louisiana,36,20,76,70
Louisiana,Missouri,7,59,69,73
Missouri,Louisiana,51,7,88,54
Louisiana,Missouri,7,38,66,81
Missouri,Louisiana,10,7,60,71
Louisiana,Missouri,7,38,67,73
Missouri,Louisiana,35,7,72,64
Louisiana,Missouri,3,41,78,66
Missouri,Louisiana,28,6,75,72
Louisiana,Missouri,13,38,76,66
Missouri,Louisiana,27,13,70,63
Louisiana,Missouri,45,20,61,73
Missouri,Louisiana,20,31,82,69
Louisiana,Missouri,13,45,75,73
Missouri,Louisiana,56,17,85,74
Louisiana,Missouri,10,42,60,77
Missouri,Louisiana,21,10,72,71
Louisiana,Missouri,14,28,64,68
Missouri,Louisiana,37,21,77,66
Louisiana,Missouri,0,41,74,82
Missouri,Louisiana,24,10,66,73
Louisiana,Missouri,7,37,68,76
Missouri,Louisiana,48,7,86,59
Louisiana,Missouri,6,30,78,61
Missouri,Louisiana,34,10,70,74
Louisiana,Missouri,17,41,79,74
Missouri,Louisiana,51,0,86,57
Louisiana,Missouri,13,45,62,78
Missouri,Louisiana,38,13,82,61
Louisiana,Missouri,10,34,60,77
Missouri,Louisiana,45,10,74,87
Louisiana,Missouri,0,34,59,86
Missouri,Louisiana,51,10,80,61
Louisiana,Missouri,20,34,65,79
Missouri,Louisiana,30,6,74,63
Louisiana,Missouri,10,42,69,74
Missouri,Louisiana,27,16,75,72
Louisiana,Missouri,9,35,66,71
Missouri,Louisiana,38,14,76,55
Louisiana,Missouri,28,34,62,74
Missouri,Louisiana,10,13,82,62
Louisiana,Missouri,3,21,71,66
Missouri,Louisiana,42,0,81,65
Louisiana,Missouri,27,24,82,68
Missouri,Louisiana,45,21,71,72
Louisiana,Missouri,20,34,69,65
Missouri,Louisiana,52,21,81,65
Louisiana,Missouri,24,41,61,78
Missouri,Louisiana,34,0,84,61
Louisiana,Missouri,13,28,72,73
Missouri,Louisiana,42,14,75,68
Louisiana,Missouri,0,52,66,79
Missouri,Louisiana,48,6,90,59
Louisiana,Missouri,0,44,64,82
Missouri,Louisiana,28,13,74,53
Louisiana,Missouri,3,41,63,83
Missouri,Louisiana,45,10,72,79
Louisiana,Missouri,7,31,58,75
Missouri,Louisiana,35,7,77,69
Louisiana,Missouri,7,45,67,79
Missouri,Louisiana,33,0,87,61
Louisiana,Missouri,10,38,67,81
Missouri,Louisiana,38,3,71,61
Louisiana,Missouri,3,48,63,79
Missouri,Louisiana,24,17,66,71
Louisiana,Missouri,21,35,76,63
Missouri,Louisiana,37,13,79,62
Louisiana,Missouri,3,14,72,73
Missouri,Louisiana,45,10,73,68
Louisiana,Missouri,10,37,60,75
Missouri,Louisiana,34,14,86,59
Louisiana,Missouri,17,24,79,65
Missouri,Louisiana,48,17,77,72
Louisiana,Missouri,10,52,63,90
Missouri,Louisiana,44,14,68,74
Louisiana,Missouri,20,24,72,68
Missouri,Louisiana,27,7,75,67
Louisiana,Missouri,7,48,61,86
Missouri,Louisiana,30,13,81,69
Louisiana,Missouri,7,55,67,89
Missouri,Louisiana,58,3,88,54
Louisiana,Missouri,17,34,65,80
Missouri,Louisiana,41,10,78,63
Louisiana,Missouri,13,38,75,63
Missouri,Louisiana,13,17,73,70
Louisiana,Missouri,24,38,81,69
Missouri,Louisiana,38,13,84,64
Louisiana,Missouri,7,45,65,81
Missouri,Louisiana,27,0,74,65
Louisiana,Missouri,24,24,75,64
Missouri,Louisiana,47,14,77,61
Louisiana,Missouri,17,27,67,69
Missouri,Louisiana,56,14,77,57
Louisiana,Missouri,13,28,74,75
Missouri,Louisiana,37,6,82,59
Louisiana,Missouri,20,34,77,67
Missouri,Louisiana,41,24,71,69
Louisiana,Missouri,0,51,62,84
Missouri,Louisiana,34,10,77,60
Louisiana,Missouri,21,38,74,78
Missouri,Louisiana,35,6,72,56
Louisiana,Missouri,0,52,57,85
Missouri,Louisiana,38,14,76,70
Louisiana,Missouri,10,45,82,67
Missouri,Louisiana,24,10,72,70
Louisiana,Missouri,7,38,53,78
Missouri,Louisiana,27,10,70,65
Louisiana,Missouri,9,41,75,75
Missouri,Louisiana,21,3,66,68
Louisiana,Missouri,14,34,70,67
Missouri,Louisiana,13,27,62,77
Louisiana,Missouri,14,14,67,73
Missouri,Louisiana,21,10,67,76
Louisiana,Missouri,17,34,67,78
Missouri,Louisiana,35,13,75,63
Louisiana,Missouri,24,28,77,63
Missouri,Louisiana,10,14,75,65
Louisiana,Missouri,9,35,78,67
Missouri,Louisiana,3,13,62,74
Louisiana,Missouri,20,31,80,61
Missouri,Louisiana,30,13,73,60
Louisiana,Missouri,17,38,66,73
Missouri,Louisiana,37,3,81,54
Louisiana,Missouri,16,31,77,62
Missouri,Louisiana,24,20,69,78
Louisiana,Missouri,14,48,66,71
Missouri,Louisiana,19,21,81,64
Louisiana,Missouri,30,20,77,60
Missouri,Louisiana,56,0,77,57
Louisiana,Missouri,28,38,72,66
Missouri,Louisiana,52,17,87,57
Louisiana,Missouri,14,31,75,70
Missouri,Louisiana,30,0,79,62
Louisiana,Missouri,17,33,79,74
Missouri,Louisiana,37,7,90,49
Louisiana,Missouri,14,3,68,76
Missouri,Louisiana,24,7,80,62
Louisiana,Missouri,7,52,60,88
Missouri,Louisiana,45,14,87,58
Louisiana,Missouri,7,41,65,90
Missouri,Louisiana,37,0,83,58
Louisiana,Missouri,13,31,62,75
Missouri,Louisiana,14,3,66,61
Louisiana,Missouri,10,28,69,72
Missouri,Louisiana,20,13,68,70
Louisiana,Missouri,20,45,81,71
Missouri,Louisiana,27,3,73,59
Louisiana,Missouri,17,42,60,73
Missouri,Louisiana,45,6,77,66
Louisiana,Missouri,31,21,82,67
Missouri,Louisiana,37,3,81,62
Louisiana,Missouri,20,24,92,61
Missouri,Louisiana,30,7,87,62
Louisiana,Missouri,17,45,75,76
Missouri,Louisiana,37,17,88,48
Louisiana,Missouri,21,38,65,73
Missouri,Louisiana,28,13,80,59
Louisiana,Missouri,21,38,61,77
Missouri,Louisiana,31,10,66,69
Louisiana,Missouri,10,34,83,64
Missouri,Louisiana,31,7,74,62
Louisiana,Missouri,7,38,60,75
Missouri,Louisiana,38,20,72,75
Louisiana,Missouri,19,6,82,57
Missouri,Louisiana,26,17,83,71
Louisiana,Missouri,30,17,73,69
Missouri,Louisiana,27,13,75,59
Louisiana,Missouri,14,45,75,75
Missouri,Louisiana,28,10,74,69
Louisiana,Missouri,14,34,67,80
Missouri,Louisiana,42,10,95,51
Louisiana,Missouri,14,48,65,87
Missouri,Louisiana,27,17,71,79
Louisiana,Missouri,17,27,70,71
Missouri,Louisiana,31,0,76,60
Louisiana,Missouri,6,38,73,78
Missouri,Louisiana,16,0,80,58
Louisiana,Missouri,13,31,56,70
Missouri,Louisiana,41,6,83,55
Louisiana,Missouri,7,34,65,75
Missouri,Louisiana,31,14,83,55
Louisiana,Missouri,21,38,72,81
