team,opp,pts,opp_pts,plays,opp_plays
Ohio State,Ohio,23,7,73,56
Ohio,Ohio State,14,27,65,80
Ohio State,Ohio,24,17,72,76
Ohio,Ohio State,7,31,79,64
Ohio State,Ohio,48,7,80,51
Ohio,Ohio State,10,31,67,80
Ohio State,Ohio,45,0,80,53
Ohio,Ohio State,9,35,72,63
Ohio State,Ohio,31,0,81,56
Ohio,Ohio State,13,13,65,69
Ohio State,Ohio,38,17,73,68
Ohio,Ohio State,24,23,65,73
Ohio State,Ohio,41,14,72,69
Ohio,Ohio State,10,30,72,69
Ohio State,Ohio,52,17,75,71
Ohio,Ohio State,10,38,62,75
Ohio State,Ohio,45,14,73,73
Ohio,Ohio State,21,45,69,69
Ohio State,Ohio,63,3,75,61
Ohio,Ohio State,13,31,60,76
Ohio State,Ohio,27,7,71,65
Ohio,Ohio State,20,34,68,73
Ohio State,Ohio,10,10,64,75
Ohio,Ohio State,10,24,77,67
Ohio State,Ohio,42,21,79,67
Ohio,Ohio State,7,20,65,73
Ohio State,Ohio,31,7,71,63
Ohio,Ohio State,10,21,63,71
Ohio State,Ohio,35,3,74,65
Ohio,Ohio State,12,17,59,77
Ohio State,Ohio,48,7,75,60
Ohio,Ohio State,17,31,62,79
Ohio State,Ohio,24,14,67,71
Ohio,Ohio State,10,37,75,71
Ohio State,Ohio,48,13,80,60
Ohio,Ohio State,10,7,67,68
Ohio State,Ohio,14,21,64,78
Ohio,Ohio State,6,23,67,67
Ohio State,Ohio,45,14,75,62
Ohio,Ohio State,10,24,75,72
Ohio State,Ohio,28,10,79,62
Ohio,Ohio State,13,26,67,65
Ohio State,Ohio,28,26,66,78
Ohio,Ohio State,0,31,48,80
Ohio State,Ohio,24,13,67,64
Ohio,Ohio State,14,17,74,69
Ohio State,Ohio,21,10,65,80
Ohio,Ohio State,0,31,66,69
Ohio State,Ohio,23,16,60,83
Ohio,Ohio State,7,34,75,84
Ohio State,Ohio,38,6,84,55
Ohio,Ohio State,7,31,65,76
Ohio State,Ohio,56,10,85,61
Ohio,Ohio State,13,24,67,65
Ohio State,Ohio,31,10,74,59
Ohio,Ohio State,7,49,62,70
Ohio State,Ohio,20,14,73,61
Ohio,Ohio State,13,13,76,77
Ohio State,Ohio,45,6,79,61
Ohio,Ohio State,17,16,65,72
Ohio State,Ohio,31,21,82,66
Ohio,Ohio State,31,27,68,77
Ohio State,Ohio,34,10,80,69
Ohio,Ohio State,24,27,86,69
Ohio State,Ohio,23,17,75,73
Ohio,Ohio State,7,21,69,67
Ohio State,Ohio,41,10,79,53
Ohio,Ohio State,3,48,78,77
Ohio State,Ohio,14,7,71,63
Ohio,Ohio State,3,24,64,71
Ohio State,Ohio,54,0,82,63
Ohio,Ohio State,17,21,81,63
Ohio State,Ohio,28,0,68,61
Ohio,Ohio State,14,27,55,72
