team,opp,pts,opp_pts,plays,opp_plays
South Carolina,Vanderbilt,20,14,75,60
Vanderbilt,South Carolina,30,24,62,65
South Carolina,Vanderbilt,3,20,72,58
Vanderbilt,South Carolina,21,21,67,61
South Carolina,Vanderbilt,7,13,75,56
Vanderbilt,South Carolina,17,38,63,66
South Carolina,Vanderbilt,31,21,77,56
Vanderbilt,South Carolina,24,31,64,70
South Carolina,Vanderbilt,42,10,86,57
Vanderbilt,South Carolina,3,48,60,77
South Carolina,Vanderbilt,51,17,72,65
Vanderbilt,South Carolina,23,28,59,66
South Carolina,Vanderbilt,10,7,55,64
Vanderbilt,South Carolina,14,21,73,68
South Carolina,Vanderbilt,6,28,64,70
Vanderbilt,South Carolina,27,16,73,54
South Carolina,Vanderbilt,27,10,64,66
Vanderbilt,South Carolina,21,17,64,66
South Carolina,Vanderbilt,13,20,65,67
Vanderbilt,South Carolina,13,30,69,62
South Carolina,Vanderbilt,17,10,60,73
Vanderbilt,South Carolina,7,27,54,78
South Carolina,Vanderbilt,35,21,74,62
Vanderbilt,South Carolina,3,17,71,62
South Carolina,Vanderbilt,29,24,80,60
Vanderbilt,South Carolina,7,55,61,87
South Carolina,Vanderbilt,10,20,63,75
Vanderbilt,South Carolina,14,42,70,71
South Carolina,Vanderbilt,21,7,70,63
Vanderbilt,South Carolina,31,17,68,60
South Carolina,Vanderbilt,20,31,68,68
Vanderbilt,South Carolina,7,37,63,72
South Carolina,Vanderbilt,20,20,76,64
Vanderbilt,South Carolina,0,19,66,75
South Carolina,Vanderbilt,31,9,77,61
Vanderbilt,South Carolina,20,41,74,65
South Carolina,Vanderbilt,21,3,70,64
Vanderbilt,South Carolina,10,6,63,68
South Carolina,Vanderbilt,13,10,60,73
Vanderbilt,South Carolina,10,13,62,64
South Carolina,Vanderbilt,27,28,70,62
Vanderbilt,South Carolina,7,35,65,66
South Carolina,Vanderbilt,20,10,74,63
Vanderbilt,South Carolina,20,17,78,56
South Carolina,Vanderbilt,30,14,86,54
