team,opp,pts,opp_pts,plays,opp_plays
Utah State,Air Force,21,52,93,86
Air Force,Utah State,39,10,102,78
Utah State,Air Force,20,40,94,93
Air Force,Utah State,31,20,98,80
Utah State,Air Force,41,42,88,90
Air Force,Utah State,56,30,83,91
Utah State,Air Force,20,38,86,79
Air Force,Utah State,37,13,117,67
Utah State,Air Force,3,52,79,95
Air Force,Utah State,31,23,82,74
Utah State,Air Force,14,54,68,112
Air Force,Utah State,19,54,86,102
Utah State,Air Force,23,17,90,81
Air Force,Utah State,51,13,96,82
Utah State,Air Force,41,31,85,84
Air Force,Utah State,42,30,84,100
Utah State,Air Force,14,37,68,104
Air Force,Utah State,38,38,83,94
Utah State,Air Force,17,38,90,77
Air Force,Utah State,55,31,93,90
Utah State,Air Force,30,27,90,90
Air Force,Utah State,24,24,94,80
Utah State,Air Force,28,41,96,99
Air Force,Utah State,51,30,89,78
Utah State,Air Force,55,41,100,89
Air Force,Utah State,20,37,91,87
Utah State,Air Force,30,41,99,79
Air Force,Utah State,47,7,106,70
Utah State,Air Force,14,28,87,88
Air Force,Utah State,27,21,90,63
Utah State,Air Force,31,31,92,97
Air Force,Utah State,40,21,90,93
Utah State,Air Force,10,41,92,100
Air Force,Utah State,51,21,86,98
Utah State,Air Force,38,34,93,95
Air Force,Utah State,34,13,105,72
Utah State,Air Force,33,13,100,80
Air Force,Utah State,23,38,99,82
Utah State,Air Force,30,52,100,90
Air Force,Utah State,51,41,97,89
Utah State,Air Force,24,21,88,82
Air Force,Utah State,26,21,89,84
Utah State,Air Force,24,37,82,92
Air Force,Utah State,33,37,92,78
Utah State,Air Force,31,34,79,93
Air Force,Utah State,21,38,87,87
Utah State,Air Force,28,23,82,92
Air Force,Utah State,27,20,100,68
Utah State,Air Force,22,44,89,99
Air Force,Utah State,37,10,104,78
Utah State,Air Force,13,23,86,83
Air Force,Utah State,46,13,108,83
Utah State,Air Force,33,30,91,102
Air Force,Utah State,35,24,86,80
Utah State,Air Force,44,7,100,92
Air Force,Utah State,30,7,95,83
Utah State,Air Force,34,34,88,89
Air Force,Utah State,24,38,100,78
Utah State,Air Force,27,17,93,80
Air Force,Utah State,41,17,97,83
Utah State,Air Force,30,34,103,79
Air Force,Utah State,21,34,90,84
Utah State,Air Force,27,31,95,78
Air Force,Utah State,21,48,94,96
Utah State,Air Force,52,24,88,80
Air Force,Utah State,34,21,96,83
Utah State,Air Force,23,41,96,91
Air Force,Utah State,26,37,81,86
Utah State,Air Force,34,24,90,92
Air Force,Utah State,24,35,86,94
Utah State,Air Force,44,27,100,80
Air Force,Utah State,27,38,83,80
Utah State,Air Force,27,27,89,94
Air Force,Utah State,46,31,97,82
Utah State,Air Force,42,37,94,90
Air Force,Utah State,37,23,94,91
Utah State,Air Force,37,17,90,81
Air Force,Utah State,24,28,97,84
Utah State,Air Force,17,40,78,94
Air Force,Utah State,45,33,106,86
Utah State,Air Force,21,29,88,95
Air Force,Utah State,45,28,100,91
Utah State,Air Force,49,21,99,85
Air Force,Utah State,34,31,88,91
Utah State,Air Force,23,14,85,76
Air Force,Utah State,51,10,106,78
Utah State,Air Force,21,34,84,93
Air Force,Utah State,13,28,91,89
Utah State,Air Force,34,20,95,85
Air Force,Utah State,24,28,91,89
Utah State,Air Force,17,31,83,96
Air Force,Utah State,31,35,93,77
Utah State,Air Force,12,34,83,90
Air Force,Utah State,30,38,86,78
Utah State,Air Force,35,31,82,90
Air Force,Utah State,30,23,82,87
Utah State,Air Force,14,35,91,89
Air Force,Utah State,45,19,101,83
Utah State,Air Force,13,38,98,76
Air Force,Utah State,30,21,95,86
Utah State,Air Force,17,45,82,95
Air Force,Utah State,20,28,98,80
