sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Air Force,Boise State,Josh Johnson,QB,18,12,161.6,0,0,2,0,0.0,0,0,0,0.0,0
0,A,Air Force,Boise State,Liam Szarka,QB,17,11,179.6,0,0,5,0,0.0,0,0,0,0.0,0
0,A,Air Force,Boise State,Christopher Frew,Rusher,0,0,0.0,0,0,0,6,22.0,0,0,0,0.0,0
0,A,Air Force,Boise State,Dylan Carson,Rusher,0,0,0.0,0,0,0,9,22.9,0,0,0,0.0,0
0,A,Air Force,Boise State,Josh Johnson,Rusher,0,0,0.0,0,0,0,5,14.1,1,0,0,0.0,0
0,A,Air Force,Boise State,Other RB,Rusher,0,0,0.0,0,0,0,10,35.4,2,0,0,0.0,0
0,A,Air Force,Boise State,Owen Allen,Rusher,0,0,0.0,0,0,0,5,6.9,0,0,0,0.0,0
0,A,Air Force,Boise State,Terrence Gist,Rusher,0,0,0.0,0,0,0,3,12.0,0,0,0,0.0,0
0,A,Air Force,Boise State,Kaden Cloud,Rusher,0,0,0.0,0,0,0,2,3.6,0,0,0,0.0,0
0,A,Air Force,Boise State,Liam Szarka,Rusher,0,0,0.0,0,0,0,3,4.2,0,0,0,0.0,0
0,A,Air Force,Boise State,Quin Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,77.5,0
0,A,Air Force,Boise State,Cade Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,17.7,0
0,A,Air Force,Boise State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,105.1,0
0,A,Air Force,Boise State,James Roberson,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,92.1,0
0,A,Air Force,Boise State,Bruin Fleischmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,42.9,0
0,A,Air Force,Boise State,Tylor Latham,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.0,0
0,A,Boise State,Air Force,Maddux Madsen,QB,49,33,304.7,0,0,6,0,0.0,0,0,0,0.0,0
0,A,Boise State,Air Force,Sire Gaines,Rusher,0,0,0.0,0,0,0,15,70.4,1,0,0,0.0,0
0,A,Boise State,Air Force,Malik Sherrod,Rusher,0,0,0.0,0,0,0,5,-10.6,0,0,0,0.0,0
0,A,Boise State,Air Force,Maddux Madsen,Rusher,0,0,0.0,0,0,0,1,7.1,0,0,0,0.0,0
0,A,Boise State,Air Force,Other RB,Rusher,0,0,0.0,0,0,0,2,-4.7,0,0,0,0.0,0
0,A,Boise State,Air Force,Latrell Caples,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,77.4,0
0,A,Boise State,Air Force,Chris Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,47.8,0
0,A,Boise State,Air Force,Ben Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.6,0
0,A,Boise State,Air Force,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,76.3,0
0,A,Boise State,Air Force,Matt Lauter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,19.1,0
0,A,Boise State,Air Force,Matt Wagner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.4,0
0,A,Boise State,Air Force,Quinton Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.1,0
0,A,Boise State,Air Force,Cameron Bates,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Boise State,Air Force,Maddux Madsen,QB,34,17,157.3,1,0,2,0,0.0,0,0,0,0.0,0
1,B,Boise State,Air Force,Malik Sherrod,Rusher,0,0,0.0,0,0,0,20,96.9,1,0,0,0.0,0
1,B,Boise State,Air Force,Maddux Madsen,Rusher,0,0,0.0,0,0,0,9,30.1,0,0,0,0.0,0
1,B,Boise State,Air Force,Sire Gaines,Rusher,0,0,0.0,0,0,0,14,73.2,1,0,0,0.0,0
1,B,Boise State,Air Force,Other RB,Rusher,0,0,0.0,0,0,0,3,22.7,0,0,0,0.0,0
