sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Buffalo,Troy,Ta'Quan Roberson,QB,30,13,163.2,0,0,7,0,0.0,0,0,0,0.0,0
32,A,Buffalo,Troy,Al-Jay Henderson,Rusher,0,0,0.0,0,0,0,30,171.8,2,0,0,0.0,0
32,A,Buffalo,Troy,Lamar Sperling,Rusher,0,0,0.0,0,0,0,1,7.2,0,0,0,0.0,0
32,A,Buffalo,Troy,Ta'Quan Roberson,Rusher,0,0,0.0,0,0,0,3,11.3,0,0,0,0.0,0
32,A,Buffalo,Troy,Terrance Shelton Jr.,Rusher,0,0,0.0,0,0,0,8,70.2,1,0,0,0.0,0
32,A,Buffalo,Troy,James McNeil Jr.,Rusher,0,0,0.0,0,0,0,1,1.5,0,0,0,0.0,0
32,A,Buffalo,Troy,Messiah Burch,Rusher,0,0,0.0,0,0,0,1,-3.8,0,0,0,0.0,0
32,A,Buffalo,Troy,Chance Morrow,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,48.8,0
32,A,Buffalo,Troy,Jasaiah Gathings,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,9,17.8,0
32,A,Buffalo,Troy,Victor Snow,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Buffalo,Troy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,51.3,0
32,A,Buffalo,Troy,Devare Mathis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.8,0
32,A,Buffalo,Troy,Nik McMillan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.5,0
32,A,Troy,Buffalo,Will Crowder,QB,37,22,158.8,0,0,5,0,0.0,0,0,0,0.0,0
32,A,Troy,Buffalo,Tae Meadows,Rusher,0,0,0.0,0,0,0,12,32.3,0,0,0,0.0,0
32,A,Troy,Buffalo,Jarris Williams,Rusher,0,0,0.0,0,0,0,3,12.5,0,0,0,0.0,0
32,A,Troy,Buffalo,Jordan Lovett,Rusher,0,0,0.0,0,0,0,9,25.1,0,0,0,0.0,0
32,A,Troy,Buffalo,Other RB,Rusher,0,0,0.0,0,0,0,4,25.1,0,0,0,0.0,0
32,A,Troy,Buffalo,Will Crowder,Rusher,0,0,0.0,0,0,0,2,-2.6,0,0,0,0.0,0
32,A,Troy,Buffalo,Roman Mothershed,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,21.2,0
32,A,Troy,Buffalo,Ethan Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,24.7,0
32,A,Troy,Buffalo,Tray Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.6,0
32,A,Troy,Buffalo,Rara Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.3,0
32,A,Troy,Buffalo,DJ Epps,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,40.9,0
32,A,Troy,Buffalo,Marquez Dortch,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,4.3,0
32,A,Troy,Buffalo,Peyton Higgins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,25.2,0
32,A,Troy,Buffalo,Jackson Worley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.6,0
33,B,Troy,Buffalo,Will Crowder,QB,29,20,180.9,0,1,10,0,0.0,0,0,0,0.0,0
33,B,Troy,Buffalo,Other RB,Rusher,0,0,0.0,0,0,0,4,4.1,0,0,0,0.0,0
33,B,Troy,Buffalo,Jordan Lovett,Rusher,0,0,0.0,0,0,0,6,34.6,0,0,0,0.0,0
33,B,Troy,Buffalo,Tae Meadows,Rusher,0,0,0.0,0,0,0,15,51.6,1,0,0,0.0,0
33,B,Troy,Buffalo,Will Crowder,Rusher,0,0,0.0,0,0,0,4,-0.0,0,0,0,0.0,0
33,B,Troy,Buffalo,Jarris Williams,Rusher,0,0,0.0,0,0,0,1,-1.4,0,0,0,0.0,0
33,B,Troy,Buffalo,Rara Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.1,0
33,B,Troy,Buffalo,Ethan Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,32.4,0
33,B,Troy,Buffalo,Peyton Higgins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.2,0
33,B,Troy,Buffalo,DJ Epps,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.6,0
33,B,Troy,Buffalo,Roman Mothershed,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,48.2,0
33,B,Troy,Buffalo,Marquez Dortch,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,23.6,0
33,B,Troy,Buffalo,Jackson Worley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.7,0
33,B,Troy,Buffalo,Tray Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.1,0
33,B,Buffalo,Troy,Ta'Quan Roberson,QB,32,23,262.5,1,0,5,0,0.0,0,0,0,0.0,0
33,B,Buffalo,Troy,Ta'Quan Roberson,Rusher,0,0,0.0,0,0,0,6,34.3,1,0,0,0.0,0
33,B,Buffalo,Troy,Al-Jay Henderson,Rusher,0,0,0.0,0,0,0,20,92.1,2,0,0,0.0,0
33,B,Buffalo,Troy,Terrance Shelton Jr.,Rusher,0,0,0.0,0,0,0,7,37.6,1,0,0,0.0,0
33,B,Buffalo,Troy,Lamar Sperling,Rusher,0,0,0.0,0,0,0,1,7.6,0,0,0,0.0,0
33,B,Buffalo,Troy,Jasaiah Gathings,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,72.1,0
33,B,Buffalo,Troy,Chance Morrow,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,25.8,0
33,B,Buffalo,Troy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,10,104.2,1
33,B,Buffalo,Troy,Victor Snow,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,16.0,0
33,B,Buffalo,Troy,Nik McMillan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.3,0
33,B,Buffalo,Troy,Devare Mathis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.2,0
