sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Hawaii,Fresno State,Micah Alejado,QB,22,14,101.0,0,0,10,0,0.0,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,2,7.1,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Landon Sims,Rusher,0,0,0.0,0,0,0,9,39.9,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Cam Barfield,Rusher,0,0,0.0,0,0,0,8,33.2,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Micah Alejado,Rusher,0,0,0.0,0,0,0,1,5.1,0,0,0,0.0,0
48,A,Hawaii,Fresno State,David Cordero,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Christian Vaughn,Rusher,0,0,0.0,0,0,0,2,9.2,0,0,0,0.0,0
48,A,Hawaii,Fresno State,Nicholas Cenacle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.5,0
48,A,Hawaii,Fresno State,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,50.4,0
48,A,Hawaii,Fresno State,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.6,0
48,A,Hawaii,Fresno State,Max Ware,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.2,0
48,A,Hawaii,Fresno State,Brandon White,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,5.3,0
48,A,Hawaii,Fresno State,Karsyn Pupunu,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Hawaii,Fresno State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Hawaii,Fresno State,Tama Uiliata,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
48,A,Fresno State,Hawaii,E.J. Warner,QB,28,17,155.3,0,0,3,0,0.0,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Rayshon Luke,Rusher,0,0,0.0,0,0,0,11,39.8,0,0,0,0.0,0
48,A,Fresno State,Hawaii,E.J. Warner,Rusher,0,0,0.0,0,0,0,3,8.5,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Bryson Donelson,Rusher,0,0,0.0,0,0,0,12,40.1,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,4,7.0,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Johnathan Arceneaux,Rusher,0,0,0.0,0,0,0,2,2.7,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Brandon Ramirez,Rusher,0,0,0.0,0,0,0,2,1.7,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Other RB,Rusher,0,0,0.0,0,0,0,1,7.7,0,0,0,0.0,0
48,A,Fresno State,Hawaii,Josiah Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,27.9,0
48,A,Fresno State,Hawaii,Jordan Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,20.2,0
48,A,Fresno State,Hawaii,Richie Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.7,0
48,A,Fresno State,Hawaii,Jayon Farrar,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.1,0
48,A,Fresno State,Hawaii,Jahlil McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.4,0
48,A,Fresno State,Hawaii,Brock Lium,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Fresno State,Hawaii,Ezekiel Avit,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,10.7,0
48,A,Fresno State,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,27.9,0
48,A,Fresno State,Hawaii,Harold Duvall,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.4,0
49,B,Fresno State,Hawaii,E.J. Warner,QB,33,22,175.7,1,0,6,0,0.0,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Bryson Donelson,Rusher,0,0,0.0,0,0,0,13,72.0,0,0,0,0.0,0
49,B,Fresno State,Hawaii,E.J. Warner,Rusher,0,0,0.0,0,0,0,3,12.2,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Johnathan Arceneaux,Rusher,0,0,0.0,0,0,0,1,-0.4,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Rayshon Luke,Rusher,0,0,0.0,0,0,0,4,8.3,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Brandon Ramirez,Rusher,0,0,0.0,0,0,0,4,7.1,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,1,10.6,0,0,0,0.0,0
49,B,Fresno State,Hawaii,Ezekiel Avit,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,23.5,0
49,B,Fresno State,Hawaii,Jordan Malau'ulu,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
49,B,Fresno State,Hawaii,Kamron Beachem,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,49.2,1
49,B,Fresno State,Hawaii,Jake Tarwater,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.3,0
49,B,Fresno State,Hawaii,Richie Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
49,B,Fresno State,Hawaii,Jahlil McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,8.8,0
49,B,Fresno State,Hawaii,Josiah Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,31.2,0
49,B,Fresno State,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
49,B,Fresno State,Hawaii,Jayon Farrar,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.6,0
49,B,Fresno State,Hawaii,Jordan Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,29.1,0
49,B,Fresno State,Hawaii,Brock Lium,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
49,B,Hawaii,Fresno State,Micah Alejado,QB,26,19,235.5,0,0,5,0,0.0,0,0,0,0.0,0
49,B,Hawaii,Fresno State,Cam Barfield,Rusher,0,0,0.0,0,0,0,9,42.9,0,0,0,0.0,0
49,B,Hawaii,Fresno State,Landon Sims,Rusher,0,0,0.0,0,0,0,16,29.8,1,0,0,0.0,0
49,B,Hawaii,Fresno State,Micah Alejado,Rusher,0,0,0.0,0,0,0,5,13.8,0,0,0,0.0,0
49,B,Hawaii,Fresno State,David Cordero,Rusher,0,0,0.0,0,0,0,2,5.4,0,0,0,0.0,0
49,B,Hawaii,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,3,15.4,0,0,0,0.0,0
49,B,Hawaii,Fresno State,Christian Vaughn,Rusher,0,0,0.0,0,0,0,1,2.6,0,0,0,0.0,0
49,B,Hawaii,Fresno State,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,41.6,0
49,B,Hawaii,Fresno State,Nicholas Cenacle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.3,0
49,B,Hawaii,Fresno State,Max Ware,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.9,0
49,B,Hawaii,Fresno State,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,56.2,0
49,B,Hawaii,Fresno State,Tama Uiliata,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,12.8,0
49,B,Hawaii,Fresno State,Brandon White,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.0,0
49,B,Hawaii,Fresno State,Karsyn Pupunu,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.2,0
49,B,Hawaii,Fresno State,Devon Tauaefa,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.0,0
49,B,Hawaii,Fresno State,Nick Delgadillo,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.4,0
50,A,Hawaii,Fresno State,Micah Alejado,QB,30,15,190.1,0,0,8,0,0.0,0,0,0,0.0,0
50,A,Hawaii,Fresno State,Landon Sims,Rusher,0,0,0.0,0,0,0,15,75.6,0,0,0,0.0,0
50,A,Hawaii,Fresno State,David Cordero,Rusher,0,0,0.0,0,0,0,5,28.6,1,0,0,0.0,0
50,A,Hawaii,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,3,23.2,1,0,0,0.0,0
50,A,Hawaii,Fresno State,Cam Barfield,Rusher,0,0,0.0,0,0,0,8,36.6,0,0,0,0.0,0
50,A,Hawaii,Fresno State,Micah Alejado,Rusher,0,0,0.0,0,0,0,3,11.5,0,0,0,0.0,0
50,A,Hawaii,Fresno State,Christian Vaughn,Rusher,0,0,0.0,0,0,0,2,-4.9,0,0,0,0.0,0
