sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Indiana,Illinois,Fernando Mendoza,QB,26,17,158.2,0,0,4,0,0.0,0,0,0,0.0,0
32,A,Indiana,Illinois,Kaelon Black,Rusher,0,0,0.0,0,0,0,8,9.8,0,0,0,0.0,0
32,A,Indiana,Illinois,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,6,14.7,0,0,0,0.0,0
32,A,Indiana,Illinois,Lee Beebe,Rusher,0,0,0.0,0,0,0,10,30.9,0,0,0,0.0,0
32,A,Indiana,Illinois,Roman Hemby,Rusher,0,0,0.0,0,0,0,12,54.6,1,0,0,0.0,0
32,A,Indiana,Illinois,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,40.6,0
32,A,Indiana,Illinois,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.2,0
32,A,Indiana,Illinois,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,33.4,0
32,A,Indiana,Illinois,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,25.9,0
32,A,Indiana,Illinois,LeBron Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.3,0
32,A,Indiana,Illinois,Riley Nowakowski,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,14.7,0
32,A,Indiana,Illinois,Holden Staes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Illinois,Indiana,Luke Altmyer,QB,25,17,250.5,2,0,4,0,0.0,0,0,0,0.0,0
32,A,Illinois,Indiana,Ca'Lil Valentine,Rusher,0,0,0.0,0,0,0,4,19.1,0,0,0,0.0,0
32,A,Illinois,Indiana,Aidan Laughery,Rusher,0,0,0.0,0,0,0,7,25.8,0,0,0,0.0,0
32,A,Illinois,Indiana,Kaden Feagin,Rusher,0,0,0.0,0,0,0,8,29.8,0,0,0,0.0,0
32,A,Illinois,Indiana,Luke Altmyer,Rusher,0,0,0.0,0,0,0,1,-2.0,0,0,0,0.0,0
32,A,Illinois,Indiana,Alex Capka-Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.6,0
32,A,Illinois,Indiana,Malik Elzy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,31.5,0
32,A,Illinois,Indiana,Hank Beatty,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,58.9,0
32,A,Illinois,Indiana,Collin Dixon,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,14.0,0
32,A,Illinois,Indiana,Hudson Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,8.5,0
32,A,Illinois,Indiana,Justin Bowick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.2,0
32,A,Illinois,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,46.5,1
32,A,Illinois,Indiana,Cole Rusk,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,30.7,0
32,A,Illinois,Indiana,Tanner Arkin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.6,1
33,B,Illinois,Indiana,Luke Altmyer,QB,32,19,246.9,1,0,8,0,0.0,0,0,0,0.0,0
33,B,Illinois,Indiana,Kaden Feagin,Rusher,0,0,0.0,0,0,0,14,46.3,0,0,0,0.0,0
33,B,Illinois,Indiana,Aidan Laughery,Rusher,0,0,0.0,0,0,0,6,7.5,0,0,0,0.0,0
33,B,Illinois,Indiana,Ca'Lil Valentine,Rusher,0,0,0.0,0,0,0,7,24.9,1,0,0,0.0,0
33,B,Illinois,Indiana,Luke Altmyer,Rusher,0,0,0.0,0,0,0,2,5.7,0,0,0,0.0,0
33,B,Illinois,Indiana,Hank Beatty,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,11,70.2,0
33,B,Illinois,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
33,B,Illinois,Indiana,Collin Dixon,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,78.5,1
33,B,Illinois,Indiana,Justin Bowick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.0,0
33,B,Illinois,Indiana,Alex Capka-Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.8,0
33,B,Illinois,Indiana,Tanner Arkin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.0,0
33,B,Illinois,Indiana,Malik Elzy,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,38.5,0
33,B,Illinois,Indiana,Hudson Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Illinois,Indiana,Cole Rusk,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Indiana,Illinois,Fernando Mendoza,QB,20,11,150.3,2,0,4,0,0.0,0,0,0,0.0,0
33,B,Indiana,Illinois,Lee Beebe,Rusher,0,0,0.0,0,0,0,7,31.0,0,0,0,0.0,0
33,B,Indiana,Illinois,Roman Hemby,Rusher,0,0,0.0,0,0,0,10,56.7,0,0,0,0.0,0
33,B,Indiana,Illinois,Kaelon Black,Rusher,0,0,0.0,0,0,0,9,26.9,0,0,0,0.0,0
33,B,Indiana,Illinois,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,1,2.2,0,0,0,0.0,0
33,B,Indiana,Illinois,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,61.1,1
33,B,Indiana,Illinois,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,27.6,1
33,B,Indiana,Illinois,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.3,0
33,B,Indiana,Illinois,LeBron Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.3,0
33,B,Indiana,Illinois,Holden Staes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Indiana,Illinois,Charlie Becker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Indiana,Illinois,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Indiana,Illinois,Riley Nowakowski,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Indiana,Illinois,Fernando Mendoza,QB,23,16,180.9,1,1,2,0,0.0,0,0,0,0.0,0
34,A,Indiana,Illinois,Lee Beebe,Rusher,0,0,0.0,0,0,0,11,66.5,2,0,0,0.0,0
34,A,Indiana,Illinois,Roman Hemby,Rusher,0,0,0.0,0,0,0,10,41.9,0,0,0,0.0,0
34,A,Indiana,Illinois,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,6,46.8,0,0,0,0.0,0
34,A,Indiana,Illinois,Kaelon Black,Rusher,0,0,0.0,0,0,0,9,40.6,0,0,0,0.0,0
34,A,Indiana,Illinois,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,27.9,0
34,A,Indiana,Illinois,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,44.6,1
34,A,Indiana,Illinois,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,30.3,0
34,A,Indiana,Illinois,LeBron Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,40.7,0
34,A,Indiana,Illinois,Riley Nowakowski,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,26.2,0
34,A,Indiana,Illinois,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.1,0
34,A,Illinois,Indiana,Luke Altmyer,QB,27,23,203.5,1,0,6,0,0.0,0,0,0,0.0,0
34,A,Illinois,Indiana,Aidan Laughery,Rusher,0,0,0.0,0,0,0,2,0.4,0,0,0,0.0,0
34,A,Illinois,Indiana,Kaden Feagin,Rusher,0,0,0.0,0,0,0,10,35.9,0,0,0,0.0,0
34,A,Illinois,Indiana,Ca'Lil Valentine,Rusher,0,0,0.0,0,0,0,5,9.2,0,0,0,0.0,0
34,A,Illinois,Indiana,Luke Altmyer,Rusher,0,0,0.0,0,0,0,3,6.9,0,0,0,0.0,0
34,A,Illinois,Indiana,Alex Capka-Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.2,0
34,A,Illinois,Indiana,Justin Bowick,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,7.6,0
34,A,Illinois,Indiana,Hank Beatty,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,35.7,0
34,A,Illinois,Indiana,Hudson Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,53.1,1
34,A,Illinois,Indiana,Tanner Arkin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.8,0
34,A,Illinois,Indiana,Collin Dixon,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,43.2,0
34,A,Illinois,Indiana,Cole Rusk,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.2,0
34,A,Illinois,Indiana,Malik Elzy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,26.0,0
34,A,Illinois,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,1.6,0
35,B,Illinois,Indiana,Luke Altmyer,QB,23,16,162.0,1,0,10,0,0.0,0,0,0,0.0,0
35,B,Illinois,Indiana,Kaden Feagin,Rusher,0,0,0.0,0,0,0,14,93.7,0,0,0,0.0,0
35,B,Illinois,Indiana,Ca'Lil Valentine,Rusher,0,0,0.0,0,0,0,5,33.4,1,0,0,0.0,0
35,B,Illinois,Indiana,Aidan Laughery,Rusher,0,0,0.0,0,0,0,10,68.3,0,0,0,0.0,0
35,B,Illinois,Indiana,Luke Altmyer,Rusher,0,0,0.0,0,0,0,3,9.5,0,0,0,0.0,0
35,B,Illinois,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,32.1,1
35,B,Illinois,Indiana,Collin Dixon,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,28.0,0
35,B,Illinois,Indiana,Hank Beatty,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,20.6,0
35,B,Illinois,Indiana,Hudson Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.9,0
35,B,Illinois,Indiana,Malik Elzy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.0,0
35,B,Illinois,Indiana,Cole Rusk,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.3,0
35,B,Illinois,Indiana,Justin Bowick,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.2,0
35,B,Illinois,Indiana,Alex Capka-Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
