sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Kennesaw State,Arkansas State,Dexter Williams II,QB,25,16,186.6,1,0,9,0,0.0,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Dexter Williams II,Rusher,0,0,0.0,0,0,0,4,26.8,1,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Coleman Bennett,Rusher,0,0,0.0,0,0,0,13,39.6,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Alexander Diggs,Rusher,0,0,0.0,0,0,0,9,30.5,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Other RB,Rusher,0,0,0.0,0,0,0,5,19.8,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Chase Belcher,Rusher,0,0,0.0,0,0,0,1,0.9,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Tykeem Wallace,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Kennesaw State,Arkansas State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.1,0
32,A,Kennesaw State,Arkansas State,Christian Moss,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,74.1,0
32,A,Kennesaw State,Arkansas State,Jordan Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Kennesaw State,Arkansas State,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,58.2,0
32,A,Kennesaw State,Arkansas State,Lyndon Ravare,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
32,A,Kennesaw State,Arkansas State,Gerard Bullock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.3,1
32,A,Arkansas State,Kennesaw State,Jaylen Raynor,QB,31,14,187.8,1,0,7,0,0.0,0,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Devin Spencer,Rusher,0,0,0.0,0,0,0,6,23.9,0,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Jaylen Raynor,Rusher,0,0,0.0,0,0,0,4,11.9,0,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Kenyon Clay,Rusher,0,0,0.0,0,0,0,9,80.6,1,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Kameron Thomas,Rusher,0,0,0.0,0,0,0,5,28.1,0,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Ja'Quez Cross,Rusher,0,0,0.0,0,0,0,6,31.6,0,0,0,0.0,0
32,A,Arkansas State,Kennesaw State,Jabari Bush,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,23.4,0
32,A,Arkansas State,Kennesaw State,Corey Rucker,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,51.1,1
32,A,Arkansas State,Kennesaw State,Hunter Summers,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
32,A,Arkansas State,Kennesaw State,Jordan Smart,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Arkansas State,Kennesaw State,Tyler Fortenberry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,48.2,0
