sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Miami (OH),UNLV,Dequan Finn,QB,25,14,137.1,0,0,8,0,0.0,0,0,0,0.0,0
16,A,Miami (OH),UNLV,Kenny Tracy,Rusher,0,0,0.0,0,0,0,9,15.0,1,0,0,0.0,0
16,A,Miami (OH),UNLV,Dequan Finn,Rusher,0,0,0.0,0,0,0,8,33.2,0,0,0,0.0,0
16,A,Miami (OH),UNLV,Jordan Brunson,Rusher,0,0,0.0,0,0,0,4,18.6,0,0,0,0.0,0
16,A,Miami (OH),UNLV,D'Shawntae Jones,Rusher,0,0,0.0,0,0,0,3,10.8,0,0,0,0.0,0
16,A,Miami (OH),UNLV,Josh Ringer,Rusher,0,0,0.0,0,0,0,1,6.2,0,0,0,0.0,0
16,A,Miami (OH),UNLV,Keith Reynolds,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,14.4,0
16,A,Miami (OH),UNLV,Lynel Billups-Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,51.1,0
16,A,Miami (OH),UNLV,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.8,0
16,A,Miami (OH),UNLV,Kamryn Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,22.4,0
16,A,Miami (OH),UNLV,Cole Weaver,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,37.8,0
16,A,Miami (OH),UNLV,Deion Colzie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.6,0
16,A,UNLV,Miami (OH),Anthony Colandrea,QB,26,19,188.0,2,0,3,0,0.0,0,0,0,0.0,0
16,A,UNLV,Miami (OH),Jai'Den Thomas,Rusher,0,0,0.0,0,0,0,11,53.4,1,0,0,0.0,0
16,A,UNLV,Miami (OH),Anthony Colandrea,Rusher,0,0,0.0,0,0,0,7,42.9,1,0,0,0.0,0
