sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Texas,Sam Houston,Arch Manning,QB,28,20,200.0,1,0,2,0,0.0,0,0,0,0.0,0
16,A,Texas,Sam Houston,James Simon,Rusher,0,0,0.0,0,0,0,9,48.8,0,0,0,0.0,0
16,A,Texas,Sam Houston,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,6,12.7,0,0,0,0.0,0
16,A,Texas,Sam Houston,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,10,39.4,1,0,0,0.0,0
16,A,Texas,Sam Houston,Arch Manning,Rusher,0,0,0.0,0,0,0,5,41.0,0,0,0,0.0,0
16,A,Texas,Sam Houston,Tre Wisner,Rusher,0,0,0.0,0,0,0,12,54.7,1,0,0,0.0,0
16,A,Texas,Sam Houston,Christian Clark,Rusher,0,0,0.0,0,0,0,4,18.8,0,0,0,0.0,0
16,A,Texas,Sam Houston,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,15.8,0
16,A,Texas,Sam Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,76.0,0
16,A,Texas,Sam Houston,Daylan Mccutcheon,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,8.0,0
16,A,Texas,Sam Houston,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,34.1,0
16,A,Texas,Sam Houston,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.2,0
16,A,Texas,Sam Houston,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,20.7,0
16,A,Texas,Sam Houston,Jordan Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,34.2,1
16,A,Sam Houston,Texas,Hunter Watson,QB,17,11,149.2,1,0,7,0,0.0,0,0,0,0.0,0
16,A,Sam Houston,Texas,Elijah Green,Rusher,0,0,0.0,0,0,0,10,35.3,0,0,0,0.0,0
16,A,Sam Houston,Texas,Alton McCaskill,Rusher,0,0,0.0,0,0,0,12,50.3,1,0,0,0.0,0
16,A,Sam Houston,Texas,Hunter Watson,Rusher,0,0,0.0,0,0,0,4,9.4,0,0,0,0.0,0
16,A,Sam Houston,Texas,Landan Brown,Rusher,0,0,0.0,0,0,0,3,10.5,0,0,0,0.0,0
16,A,Sam Houston,Texas,Aviyon Smith-Mack,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,48.6,0
16,A,Sam Houston,Texas,Malik Phillips,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,39.4,0
16,A,Sam Houston,Texas,Tim Burns Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
16,A,Sam Houston,Texas,Michael Phoenix II,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Sam Houston,Texas,Dylan Burk,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.6,0
16,A,Sam Houston,Texas,Grady O'Neill,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.7,1
16,A,Sam Houston,Texas,Rayfield Lotten,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Sam Houston,Texas,Qua'Vez Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.9,0
17,B,Sam Houston,Texas,Hunter Watson,QB,32,19,126.5,0,1,4,0,0.0,0,0,0,0.0,0
17,B,Sam Houston,Texas,Hunter Watson,Rusher,0,0,0.0,0,0,0,11,45.4,0,0,0,0.0,0
17,B,Sam Houston,Texas,Alton McCaskill,Rusher,0,0,0.0,0,0,0,6,-4.8,0,0,0,0.0,0
17,B,Sam Houston,Texas,Shane Porter,Rusher,0,0,0.0,0,0,0,3,7.4,0,0,0,0.0,0
17,B,Sam Houston,Texas,Landan Brown,Rusher,0,0,0.0,0,0,0,5,14.1,0,0,0,0.0,0
