sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Western Michigan,Toledo,Broc Lowry,QB,21,12,104.7,1,0,6,0,0.0,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Brady Jones,QB,9,5,91.3,0,0,8,0,0.0,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Devin Miles,Rusher,0,0,0.0,0,0,0,7,28.6,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Jalen Buckley,Rusher,0,0,0.0,0,0,0,10,23.4,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Other RB,Rusher,0,0,0.0,0,0,0,2,-2.1,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Ofa Mataele,Rusher,0,0,0.0,0,0,0,6,24.5,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Broc Lowry,Rusher,0,0,0.0,0,0,0,5,41.0,1,0,0,0.0,0
32,A,Western Michigan,Toledo,Brady Jones,Rusher,0,0,0.0,0,0,0,1,1.4,0,0,0,0.0,0
32,A,Western Michigan,Toledo,Tailique Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,64.3,0
32,A,Western Michigan,Toledo,Aveion Chenault,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
32,A,Western Michigan,Toledo,Blake Bosma,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,54.3,0
32,A,Western Michigan,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,34.3,0
32,A,Western Michigan,Toledo,Michael Brescia,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.8,0
32,A,Western Michigan,Toledo,Malique Dieudonne,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Western Michigan,Toledo,Baylin Brooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,26.3,1
