team,opp,pts,opp_pts,plays,opp_plays
Air Force,Boise State,27,7,85,78
Boise State,Air Force,21,24,84,85
Air Force,Boise State,34,21,86,85
Boise State,Air Force,41,37,103,75
Air Force,Boise State,17,42,83,84
Boise State,Air Force,45,31,86,98
Air Force,Boise State,13,59,94,84
Boise State,Air Force,45,17,87,80
Air Force,Boise State,9,31,80,80
Boise State,Air Force,48,27,84,98
Air Force,Boise State,17,24,81,68
Boise State,Air Force,56,20,86,84
Air Force,Boise State,24,49,86,83
Boise State,Air Force,34,24,87,77
Air Force,Boise State,52,10,92,72
Boise State,Air Force,38,0,82,80
Air Force,Boise State,29,34,100,73
Boise State,Air Force,33,21,91,79
Air Force,Boise State,28,42,82,83
Boise State,Air Force,45,21,87,84
Air Force,Boise State,21,49,86,92
Boise State,Air Force,30,9,91,75
Air Force,Boise State,17,62,88,93
Boise State,Air Force,48,24,91,77
Air Force,Boise State,31,35,84,75
Boise State,Air Force,34,14,90,82
Air Force,Boise State,48,35,96,72
Boise State,Air Force,41,10,83,81
Air Force,Boise State,24,45,80,74
Boise State,Air Force,49,24,91,79
Air Force,Boise State,24,43,84,93
Boise State,Air Force,27,17,90,76
Air Force,Boise State,17,31,76,89
Boise State,Air Force,27,16,93,77
Air Force,Boise State,24,48,78,96
Boise State,Air Force,51,13,101,78
Air Force,Boise State,14,35,81,81
Boise State,Air Force,49,28,84,84
Air Force,Boise State,0,23,83,85
Boise State,Air Force,55,21,87,88
Air Force,Boise State,21,34,89,86
Boise State,Air Force,27,24,76,84
Air Force,Boise State,24,69,83,95
Boise State,Air Force,41,38,80,86
Air Force,Boise State,36,31,83,73
Boise State,Air Force,37,14,83,75
Air Force,Boise State,13,45,95,81
Boise State,Air Force,41,24,86,80
Air Force,Boise State,27,24,99,70
Boise State,Air Force,65,34,95,77
Air Force,Boise State,34,35,84,98
Boise State,Air Force,27,3,90,74
Air Force,Boise State,3,55,75,88
Boise State,Air Force,48,10,99,64
Air Force,Boise State,41,33,81,92
Boise State,Air Force,59,24,91,86
Air Force,Boise State,41,27,89,83
Boise State,Air Force,42,24,89,87
Air Force,Boise State,24,38,82,83
Boise State,Air Force,17,21,75,79
Air Force,Boise State,37,17,92,79
Boise State,Air Force,38,23,90,82
Air Force,Boise State,17,31,83,79
Boise State,Air Force,49,17,105,70
Air Force,Boise State,13,37,84,84
Boise State,Air Force,38,13,87,78
Air Force,Boise State,38,33,81,97
Boise State,Air Force,48,34,91,75
Air Force,Boise State,10,20,72,76
Boise State,Air Force,51,13,86,79
Air Force,Boise State,20,33,81,95
Boise State,Air Force,38,0,95,71
Air Force,Boise State,20,55,92,84
Boise State,Air Force,38,27,79,86
Air Force,Boise State,24,40,89,93
Boise State,Air Force,40,31,81,90
Air Force,Boise State,45,30,100,77
Boise State,Air Force,34,17,82,84
Air Force,Boise State,20,65,85,95
Boise State,Air Force,27,7,90,69
Air Force,Boise State,23,31,88,84
Boise State,Air Force,27,17,97,71
Air Force,Boise State,20,37,86,92
Boise State,Air Force,35,34,83,95
Air Force,Boise State,17,34,93,84
Boise State,Air Force,49,10,91,69
Air Force,Boise State,24,37,74,89
Boise State,Air Force,47,3,99,80
Air Force,Boise State,34,35,92,73
