team,opp,pts,opp_pts,plays,opp_plays
Army,North Texas,41,30,81,94
North Texas,Army,24,13,82,88
Army,North Texas,58,28,97,78
North Texas,Army,44,14,107,74
Army,North Texas,16,20,94,75
North Texas,Army,23,27,103,72
Army,North Texas,31,42,88,70
North Texas,Army,24,13,79,82
Army,North Texas,17,20,72,85
North Texas,Army,69,12,102,66
Army,North Texas,28,48,84,75
North Texas,Army,21,39,71,92
Army,North Texas,45,20,79,78
North Texas,Army,28,27,82,94
Army,North Texas,52,48,86,94
North Texas,Army,34,24,102,78
Army,North Texas,45,14,96,72
North Texas,Army,7,38,78,87
Army,North Texas,23,6,78,90
North Texas,Army,34,35,89,74
Army,North Texas,45,22,79,90
North Texas,Army,13,54,75,99
Army,North Texas,47,35,93,81
North Texas,Army,24,45,87,84
Army,North Texas,24,34,71,93
North Texas,Army,24,21,84,71
Army,North Texas,33,24,98,70
North Texas,Army,20,54,92,94
Army,North Texas,23,10,94,82
North Texas,Army,31,45,85,94
Army,North Texas,24,38,85,77
North Texas,Army,36,24,87,83
Army,North Texas,20,23,90,75
North Texas,Army,21,20,75,94
Army,North Texas,28,31,94,74
North Texas,Army,34,21,67,87
Army,North Texas,42,13,95,72
North Texas,Army,34,27,81,81
Army,North Texas,17,31,90,74
North Texas,Army,40,28,86,84
Army,North Texas,7,33,77,93
North Texas,Army,41,27,83,85
Army,North Texas,17,50,73,101
North Texas,Army,41,7,83,86
Army,North Texas,24,38,75,80
North Texas,Army,14,24,91,89
Army,North Texas,17,45,80,80
North Texas,Army,27,41,80,86
Army,North Texas,20,27,96,76
North Texas,Army,28,16,77,94
Army,North Texas,38,17,83,79
North Texas,Army,34,30,80,87
Army,North Texas,41,24,93,80
North Texas,Army,34,17,84,74
Army,North Texas,34,23,80,98
North Texas,Army,10,28,81,90
Army,North Texas,27,34,87,91
North Texas,Army,30,35,94,76
Army,North Texas,41,37,91,80
North Texas,Army,30,10,78,88
Army,North Texas,45,10,89,64
North Texas,Army,45,37,76,101
Army,North Texas,31,20,96,82
North Texas,Army,14,66,65,98
Army,North Texas,49,33,79,97
North Texas,Army,27,20,88,79
Army,North Texas,41,24,78,97
North Texas,Army,14,41,74,92
Army,North Texas,24,35,83,77
North Texas,Army,30,41,82,78
Army,North Texas,31,10,97,71
North Texas,Army,13,41,80,90
Army,North Texas,34,24,83,84
North Texas,Army,17,45,83,86
Army,North Texas,24,55,85,85
North Texas,Army,41,42,80,85
Army,North Texas,17,26,80,85
North Texas,Army,16,20,80,76
Army,North Texas,48,27,91,80
North Texas,Army,31,31,91,81
Army,North Texas,26,27,92,79
North Texas,Army,44,31,93,69
Army,North Texas,20,20,93,71
North Texas,Army,41,17,88,77
Army,North Texas,45,42,92,90
North Texas,Army,38,34,93,82
Army,North Texas,24,42,84,81
North Texas,Army,27,40,81,88
Army,North Texas,33,27,87,91
North Texas,Army,35,17,102,73
Army,North Texas,10,58,71,99
North Texas,Army,41,31,99,81
Army,North Texas,37,24,94,77
North Texas,Army,52,31,92,87
Army,North Texas,38,31,97,65
North Texas,Army,31,28,86,91
Army,North Texas,42,16,83,79
North Texas,Army,24,35,78,79
Army,North Texas,37,7,97,64
North Texas,Army,3,13,79,79
Army,North Texas,38,31,94,85
North Texas,Army,30,27,89,93
Army,North Texas,38,27,92,72
North Texas,Army,34,31,94,76
Army,North Texas,48,31,91,77
North Texas,Army,28,27,87,88
Army,North Texas,40,3,96,61
North Texas,Army,20,59,84,93
Army,North Texas,34,42,96,78
North Texas,Army,30,42,90,80
Army,North Texas,34,38,102,92
North Texas,Army,38,44,82,85
Army,North Texas,34,31,97,86
North Texas,Army,56,13,87,84
Army,North Texas,52,14,107,54
North Texas,Army,21,28,74,87
Army,North Texas,30,27,95,77
North Texas,Army,41,31,95,78
Army,North Texas,45,26,97,80
North Texas,Army,14,47,72,88
Army,North Texas,20,31,93,90
North Texas,Army,44,13,95,82
Army,North Texas,24,14,76,87
North Texas,Army,34,17,93,74
Army,North Texas,45,24,92,73
North Texas,Army,13,27,81,86
