team,opp,pts,opp_pts,plays,opp_plays
Baylor,Arizona State,21,23,69,80
Arizona State,Baylor,17,34,75,80
Baylor,Arizona State,55,17,80,70
Arizona State,Baylor,35,52,79,76
Baylor,Arizona State,30,7,80,69
Arizona State,Baylor,16,34,83,80
Baylor,Arizona State,20,37,89,68
Arizona State,Baylor,17,33,67,76
Baylor,Arizona State,31,16,85,72
Arizona State,Baylor,38,14,83,68
Baylor,Arizona State,35,20,81,71
Arizona State,Baylor,38,17,85,66
Baylor,Arizona State,33,24,80,75
Arizona State,Baylor,41,24,88,64
Baylor,Arizona State,21,10,78,67
Arizona State,Baylor,28,31,73,86
Baylor,Arizona State,30,14,81,68
Arizona State,Baylor,41,14,92,70
Baylor,Arizona State,49,13,79,77
Arizona State,Baylor,13,3,78,76
Baylor,Arizona State,14,27,75,79
Arizona State,Baylor,27,27,62,85
Baylor,Arizona State,45,6,83,69
Arizona State,Baylor,16,27,82,72
Baylor,Arizona State,34,24,78,75
Arizona State,Baylor,34,38,81,72
Baylor,Arizona State,34,31,71,79
Arizona State,Baylor,21,20,78,81
Baylor,Arizona State,24,42,81,79
Arizona State,Baylor,45,20,83,74
Baylor,Arizona State,38,31,86,79
Arizona State,Baylor,24,20,74,86
Baylor,Arizona State,24,17,85,74
Arizona State,Baylor,28,16,85,84
Baylor,Arizona State,20,35,79,80
Arizona State,Baylor,31,20,73,83
Baylor,Arizona State,14,20,75,79
Arizona State,Baylor,21,41,74,80
Baylor,Arizona State,3,24,75,77
Arizona State,Baylor,10,38,70,93
Baylor,Arizona State,35,52,72,87
Arizona State,Baylor,59,10,93,62
Baylor,Arizona State,31,38,74,81
Arizona State,Baylor,16,21,79,69
Baylor,Arizona State,34,27,70,76
Arizona State,Baylor,21,14,80,73
Baylor,Arizona State,41,38,82,82
Arizona State,Baylor,34,42,82,80
Baylor,Arizona State,31,38,85,76
Arizona State,Baylor,42,28,89,73
Baylor,Arizona State,28,31,80,84
Arizona State,Baylor,41,31,81,77
Baylor,Arizona State,10,34,84,75
Arizona State,Baylor,38,20,83,83
Baylor,Arizona State,27,34,84,74
Arizona State,Baylor,38,19,73,84
Baylor,Arizona State,48,41,74,79
Arizona State,Baylor,41,31,86,68
Baylor,Arizona State,24,17,79,73
Arizona State,Baylor,20,27,69,79
Baylor,Arizona State,28,20,75,80
Arizona State,Baylor,33,38,75,83
Baylor,Arizona State,28,13,81,66
Arizona State,Baylor,27,31,85,73
Baylor,Arizona State,27,45,83,81
Arizona State,Baylor,42,20,80,74
Baylor,Arizona State,17,10,70,73
Arizona State,Baylor,24,27,82,80
Baylor,Arizona State,34,21,81,66
Arizona State,Baylor,20,48,78,77
Baylor,Arizona State,38,28,78,66
Arizona State,Baylor,21,34,74,85
Baylor,Arizona State,0,34,71,80
Arizona State,Baylor,28,27,73,84
Baylor,Arizona State,38,34,64,91
Arizona State,Baylor,41,21,83,73
Baylor,Arizona State,30,21,76,80
Arizona State,Baylor,45,27,83,73
Baylor,Arizona State,10,30,81,71
Arizona State,Baylor,28,42,75,81
Baylor,Arizona State,35,24,80,76
Arizona State,Baylor,24,38,72,85
Baylor,Arizona State,14,41,55,92
Arizona State,Baylor,21,20,74,75
Baylor,Arizona State,41,21,75,79
Arizona State,Baylor,21,20,67,87
Baylor,Arizona State,34,14,73,79
Arizona State,Baylor,38,20,82,63
Baylor,Arizona State,19,45,78,86
Arizona State,Baylor,24,45,79,69
Baylor,Arizona State,28,3,86,62
Arizona State,Baylor,24,27,75,71
Baylor,Arizona State,34,17,79,72
Arizona State,Baylor,48,21,84,66
Baylor,Arizona State,34,24,70,85
Arizona State,Baylor,24,21,77,78
Baylor,Arizona State,3,28,86,73
Arizona State,Baylor,13,45,70,80
Baylor,Arizona State,27,35,71,76
Arizona State,Baylor,27,27,71,83
Baylor,Arizona State,21,24,73,68
Arizona State,Baylor,23,10,74,64
Baylor,Arizona State,20,31,79,72
Arizona State,Baylor,47,21,94,67
Baylor,Arizona State,45,24,80,80
Arizona State,Baylor,41,24,80,73
Baylor,Arizona State,24,27,87,76
Arizona State,Baylor,47,17,87,61
Baylor,Arizona State,21,27,76,79
Arizona State,Baylor,48,10,93,62
Baylor,Arizona State,20,45,82,73
Arizona State,Baylor,48,14,90,66
Baylor,Arizona State,17,31,84,76
Arizona State,Baylor,35,37,84,72
Baylor,Arizona State,24,31,70,88
Arizona State,Baylor,41,28,75,84
Baylor,Arizona State,14,23,68,82
Arizona State,Baylor,17,27,77,75
Baylor,Arizona State,55,3,92,64
Arizona State,Baylor,20,20,85,74
Baylor,Arizona State,41,7,77,72
Arizona State,Baylor,28,24,87,69
Baylor,Arizona State,24,14,85,61
Arizona State,Baylor,21,21,82,68
Baylor,Arizona State,14,21,72,73
Arizona State,Baylor,20,17,80,75
Baylor,Arizona State,31,28,85,71
Arizona State,Baylor,45,24,89,76
Baylor,Arizona State,34,21,86,66
Arizona State,Baylor,34,13,76,75
Baylor,Arizona State,31,31,81,73
Arizona State,Baylor,3,31,68,78
Baylor,Arizona State,24,31,84,76
Arizona State,Baylor,37,27,80,72
Baylor,Arizona State,16,23,76,71
Arizona State,Baylor,41,27,88,61
Baylor,Arizona State,34,17,76,73
Arizona State,Baylor,13,17,73,70
Baylor,Arizona State,31,24,76,78
Arizona State,Baylor,20,28,80,76
Baylor,Arizona State,24,31,79,68
Arizona State,Baylor,21,41,75,74
Baylor,Arizona State,17,27,77,77
Arizona State,Baylor,30,31,83,68
Baylor,Arizona State,27,24,77,75
Arizona State,Baylor,28,31,81,71
Baylor,Arizona State,31,14,82,68
Arizona State,Baylor,17,17,64,83
Baylor,Arizona State,17,19,72,77
Arizona State,Baylor,7,24,64,83
Baylor,Arizona State,9,24,70,81
Arizona State,Baylor,27,48,79,76
Baylor,Arizona State,23,13,83,76
Arizona State,Baylor,37,27,76,85
Baylor,Arizona State,31,56,78,85
Arizona State,Baylor,27,17,83,66
Baylor,Arizona State,17,37,60,88
Arizona State,Baylor,23,14,83,71
Baylor,Arizona State,28,30,71,78
Arizona State,Baylor,35,13,74,77
Baylor,Arizona State,17,24,72,73
Arizona State,Baylor,20,20,93,67
Baylor,Arizona State,37,17,90,72
Arizona State,Baylor,24,34,84,68
Baylor,Arizona State,20,47,67,92
Arizona State,Baylor,34,31,81,77
Baylor,Arizona State,41,17,78,76
Arizona State,Baylor,34,10,92,59
Baylor,Arizona State,45,31,76,84
Arizona State,Baylor,35,10,76,75
Baylor,Arizona State,14,51,68,85
Arizona State,Baylor,21,21,83,70
Baylor,Arizona State,21,21,78,79
Arizona State,Baylor,24,31,85,65
Baylor,Arizona State,7,28,68,80
Arizona State,Baylor,34,21,77,70
Baylor,Arizona State,45,33,71,87
Arizona State,Baylor,31,31,74,84
Baylor,Arizona State,41,45,81,79
Arizona State,Baylor,10,24,66,76
Baylor,Arizona State,48,24,81,80
Arizona State,Baylor,10,27,77,70
Baylor,Arizona State,27,31,79,70
Arizona State,Baylor,27,21,74,78
Baylor,Arizona State,45,38,79,83
Arizona State,Baylor,17,20,74,77
Baylor,Arizona State,38,16,80,71
Arizona State,Baylor,10,34,76,77
Baylor,Arizona State,17,37,85,68
Arizona State,Baylor,35,38,82,69
Baylor,Arizona State,31,41,75,85
Arizona State,Baylor,14,49,72,84
Baylor,Arizona State,24,45,67,85
Arizona State,Baylor,21,45,83,76
Baylor,Arizona State,28,24,86,64
Arizona State,Baylor,0,45,64,90
Baylor,Arizona State,17,52,79,77
Arizona State,Baylor,24,16,71,79
Baylor,Arizona State,28,17,89,64
Arizona State,Baylor,34,23,69,91
Baylor,Arizona State,31,31,82,72
Arizona State,Baylor,42,31,78,82
Baylor,Arizona State,24,23,72,71
Arizona State,Baylor,20,14,71,82
Baylor,Arizona State,45,34,84,82
Arizona State,Baylor,45,31,80,73
Baylor,Arizona State,35,45,71,87
Arizona State,Baylor,24,27,75,81
Baylor,Arizona State,24,27,85,74
Arizona State,Baylor,20,31,68,86
Baylor,Arizona State,20,14,70,78
Arizona State,Baylor,62,38,88,66
Baylor,Arizona State,20,20,68,87
Arizona State,Baylor,14,65,53,101
Baylor,Arizona State,21,34,74,83
Arizona State,Baylor,44,24,87,66
Baylor,Arizona State,37,31,86,77
Arizona State,Baylor,35,42,81,81
Baylor,Arizona State,24,14,79,70
Arizona State,Baylor,31,20,69,78
Baylor,Arizona State,31,17,78,77
Arizona State,Baylor,20,24,79,70
Baylor,Arizona State,41,10,80,78
Arizona State,Baylor,31,45,78,79
Baylor,Arizona State,34,41,89,70
Arizona State,Baylor,24,28,78,78
Baylor,Arizona State,21,24,81,64
Arizona State,Baylor,31,17,85,76
Baylor,Arizona State,12,30,78,78
Arizona State,Baylor,24,27,80,76
Baylor,Arizona State,16,21,90,60
