team,opp,pts,opp_pts,plays,opp_plays
Colorado,Wyoming,27,17,74,66
Wyoming,Colorado,17,37,69,86
Colorado,Wyoming,24,20,71,76
Wyoming,Colorado,14,27,74,72
Colorado,Wyoming,17,10,69,74
Wyoming,Colorado,24,7,67,86
Colorado,Wyoming,10,38,64,76
Wyoming,Colorado,20,31,78,66
Colorado,Wyoming,23,14,84,65
Wyoming,Colorado,7,41,75,74
Colorado,Wyoming,24,21,71,80
Wyoming,Colorado,13,38,86,66
Colorado,Wyoming,38,17,73,77
Wyoming,Colorado,0,13,63,67
Colorado,Wyoming,7,23,63,84
Wyoming,Colorado,31,21,79,65
Colorado,Wyoming,24,24,76,71
Wyoming,Colorado,33,13,89,67
Colorado,Wyoming,34,10,71,65
Wyoming,Colorado,14,21,70,80
Colorado,Wyoming,27,6,75,68
Wyoming,Colorado,19,21,94,62
Colorado,Wyoming,16,31,85,55
Wyoming,Colorado,17,23,89,67
Colorado,Wyoming,14,14,76,67
Wyoming,Colorado,17,14,69,75
Colorado,Wyoming,30,10,75,67
Wyoming,Colorado,16,49,75,66
Colorado,Wyoming,21,31,72,76
Wyoming,Colorado,27,38,73,71
Colorado,Wyoming,49,27,74,68
Wyoming,Colorado,20,24,71,75
Colorado,Wyoming,17,17,84,69
Wyoming,Colorado,6,10,78,74
Colorado,Wyoming,19,10,78,68
Wyoming,Colorado,28,24,75,71
Colorado,Wyoming,28,14,73,61
Wyoming,Colorado,0,10,84,62
Colorado,Wyoming,37,6,81,59
Wyoming,Colorado,14,23,68,67
Colorado,Wyoming,31,21,73,85
Wyoming,Colorado,10,27,72,76
Colorado,Wyoming,17,20,78,76
Wyoming,Colorado,27,35,73,67
Colorado,Wyoming,26,17,86,59
Wyoming,Colorado,31,17,69,75
Colorado,Wyoming,14,34,72,84
Wyoming,Colorado,16,23,75,76
Colorado,Wyoming,20,14,76,72
Wyoming,Colorado,10,49,73,77
Colorado,Wyoming,34,7,81,71
Wyoming,Colorado,27,24,72,71
Colorado,Wyoming,9,28,69,70
Wyoming,Colorado,3,28,76,71
Colorado,Wyoming,36,6,86,60
Wyoming,Colorado,16,20,67,73
Colorado,Wyoming,49,16,78,81
Wyoming,Colorado,27,27,81,74
Colorado,Wyoming,10,10,70,76
Wyoming,Colorado,17,24,65,78
Colorado,Wyoming,41,21,67,66
Wyoming,Colorado,13,26,76,76
Colorado,Wyoming,45,17,82,78
Wyoming,Colorado,6,35,86,69
Colorado,Wyoming,27,16,71,83
Wyoming,Colorado,34,42,61,80
Colorado,Wyoming,27,21,73,70
Wyoming,Colorado,10,10,67,74
Colorado,Wyoming,14,28,81,67
Wyoming,Colorado,27,10,69,76
Colorado,Wyoming,42,17,74,62
Wyoming,Colorado,24,49,71,79
Colorado,Wyoming,28,13,68,66
Wyoming,Colorado,42,27,78,72
Colorado,Wyoming,21,28,77,81
Wyoming,Colorado,41,35,82,68
Colorado,Wyoming,13,27,76,72
Wyoming,Colorado,13,49,78,71
