team,opp,pts,opp_pts,plays,opp_plays
Kansas,West Virginia,38,44,98,73
West Virginia,Kansas,29,35,94,81
Kansas,West Virginia,31,46,79,83
West Virginia,Kansas,21,31,75,82
Kansas,West Virginia,17,51,70,98
West Virginia,Kansas,30,20,81,89
Kansas,West Virginia,34,34,83,87
West Virginia,Kansas,28,20,88,74
Kansas,West Virginia,27,10,86,66
West Virginia,Kansas,13,24,78,81
Kansas,West Virginia,34,19,78,88
West Virginia,Kansas,14,37,80,84
Kansas,West Virginia,41,34,84,93
West Virginia,Kansas,17,31,86,79
Kansas,West Virginia,51,7,83,79
West Virginia,Kansas,24,38,92,77
Kansas,West Virginia,45,35,83,89
West Virginia,Kansas,0,21,72,83
Kansas,West Virginia,35,45,98,82
West Virginia,Kansas,24,31,71,91
Kansas,West Virginia,41,17,83,79
West Virginia,Kansas,27,38,98,81
Kansas,West Virginia,31,14,91,76
West Virginia,Kansas,7,45,67,83
Kansas,West Virginia,28,17,84,78
West Virginia,Kansas,35,41,79,87
Kansas,West Virginia,42,23,80,73
West Virginia,Kansas,35,44,74,83
Kansas,West Virginia,35,34,81,78
West Virginia,Kansas,31,27,84,76
Kansas,West Virginia,28,38,89,84
West Virginia,Kansas,38,31,82,95
Kansas,West Virginia,35,16,83,86
West Virginia,Kansas,20,38,76,90
Kansas,West Virginia,17,10,74,86
West Virginia,Kansas,24,34,81,81
Kansas,West Virginia,28,32,72,90
West Virginia,Kansas,20,27,84,82
Kansas,West Virginia,37,31,76,90
West Virginia,Kansas,41,38,82,85
Kansas,West Virginia,21,23,80,85
West Virginia,Kansas,21,30,92,72
Kansas,West Virginia,40,21,94,82
West Virginia,Kansas,23,31,78,85
Kansas,West Virginia,24,30,87,89
West Virginia,Kansas,7,54,61,99
Kansas,West Virginia,37,17,77,93
West Virginia,Kansas,21,41,89,82
Kansas,West Virginia,42,13,86,73
West Virginia,Kansas,17,38,84,74
Kansas,West Virginia,48,24,96,75
West Virginia,Kansas,20,31,87,71
Kansas,West Virginia,24,10,87,79
West Virginia,Kansas,21,34,84,81
Kansas,West Virginia,42,48,86,88
West Virginia,Kansas,17,34,107,83
Kansas,West Virginia,35,16,84,75
West Virginia,Kansas,19,45,79,80
Kansas,West Virginia,38,31,90,79
West Virginia,Kansas,45,24,86,76
Kansas,West Virginia,38,14,82,81
West Virginia,Kansas,24,30,77,78
Kansas,West Virginia,42,17,94,77
West Virginia,Kansas,19,31,81,76
Kansas,West Virginia,45,17,80,84
West Virginia,Kansas,34,34,83,88
Kansas,West Virginia,38,38,91,77
West Virginia,Kansas,17,37,80,78
Kansas,West Virginia,13,31,73,83
West Virginia,Kansas,14,30,69,85
Kansas,West Virginia,41,24,86,66
West Virginia,Kansas,35,34,81,88
Kansas,West Virginia,23,24,85,71
West Virginia,Kansas,19,13,73,84
Kansas,West Virginia,34,17,84,73
West Virginia,Kansas,28,54,73,92
Kansas,West Virginia,38,30,81,87
West Virginia,Kansas,21,41,83,84
Kansas,West Virginia,27,28,83,76
West Virginia,Kansas,14,37,69,94
Kansas,West Virginia,38,48,71,83
West Virginia,Kansas,21,27,72,99
Kansas,West Virginia,41,21,80,92
West Virginia,Kansas,14,23,80,85
Kansas,West Virginia,45,17,87,77
West Virginia,Kansas,21,19,78,78
Kansas,West Virginia,41,38,98,85
West Virginia,Kansas,23,24,91,76
Kansas,West Virginia,27,45,85,94
West Virginia,Kansas,31,38,94,80
Kansas,West Virginia,30,3,99,56
West Virginia,Kansas,27,35,70,84
Kansas,West Virginia,34,27,81,81
West Virginia,Kansas,21,35,91,80
Kansas,West Virginia,34,31,82,77
West Virginia,Kansas,38,31,84,78
Kansas,West Virginia,27,17,85,79
West Virginia,Kansas,31,27,76,82
