team,opp,pts,opp_pts,plays,opp_plays
Liberty,James Madison,17,47,93,101
James Madison,Liberty,38,27,79,104
Liberty,James Madison,41,37,100,90
James Madison,Liberty,31,21,107,88
Liberty,James Madison,34,34,96,104
James Madison,Liberty,38,42,99,88
Liberty,James Madison,10,44,91,107
James Madison,Liberty,62,24,106,87
Liberty,James Madison,24,42,93,90
James Madison,Liberty,48,30,88,97
Liberty,James Madison,26,37,92,93
James Madison,Liberty,31,28,90,105
Liberty,James Madison,31,16,95,83
James Madison,Liberty,31,41,86,101
Liberty,James Madison,27,51,93,98
James Madison,Liberty,38,30,81,100
Liberty,James Madison,17,40,93,104
James Madison,Liberty,35,20,87,102
Liberty,James Madison,20,50,89,92
James Madison,Liberty,30,43,88,99
Liberty,James Madison,17,40,93,109
James Madison,Liberty,30,21,101,84
Liberty,James Madison,31,34,105,80
James Madison,Liberty,16,30,96,98
Liberty,James Madison,17,45,104,92
James Madison,Liberty,38,38,114,83
Liberty,James Madison,14,30,95,107
James Madison,Liberty,0,41,76,86
Liberty,James Madison,20,30,93,91
James Madison,Liberty,59,34,110,108
Liberty,James Madison,27,37,96,101
James Madison,Liberty,35,34,113,88
Liberty,James Madison,23,45,95,99
James Madison,Liberty,22,48,104,95
Liberty,James Madison,37,23,98,73
James Madison,Liberty,47,17,112,90
Liberty,James Madison,24,63,102,93
James Madison,Liberty,24,24,94,87
Liberty,James Madison,27,31,102,82
James Madison,Liberty,42,48,101,91
Liberty,James Madison,38,41,98,85
James Madison,Liberty,19,27,94,98
Liberty,James Madison,34,29,92,104
James Madison,Liberty,51,3,124,85
Liberty,James Madison,44,34,97,79
James Madison,Liberty,45,27,96,103
Liberty,James Madison,10,34,97,93
James Madison,Liberty,62,35,110,95
Liberty,James Madison,14,13,88,96
James Madison,Liberty,52,38,98,90
Liberty,James Madison,45,45,97,95
James Madison,Liberty,17,41,93,98
Liberty,James Madison,36,38,108,89
James Madison,Liberty,34,23,81,105
Liberty,James Madison,34,48,99,111
James Madison,Liberty,63,38,114,84
Liberty,James Madison,20,51,97,102
James Madison,Liberty,27,34,96,93
Liberty,James Madison,47,14,108,78
James Madison,Liberty,38,38,91,94
Liberty,James Madison,24,28,95,94
James Madison,Liberty,38,27,103,100
Liberty,James Madison,38,27,99,77
James Madison,Liberty,20,45,92,93
Liberty,James Madison,37,38,95,96
James Madison,Liberty,34,10,105,85
Liberty,James Madison,31,55,93,102
James Madison,Liberty,27,38,103,85
Liberty,James Madison,3,47,83,108
James Madison,Liberty,52,31,97,91
Liberty,James Madison,30,20,92,92
James Madison,Liberty,56,41,96,96
Liberty,James Madison,27,44,90,89
James Madison,Liberty,48,27,113,91
Liberty,James Madison,19,17,90,99
James Madison,Liberty,42,31,99,103
Liberty,James Madison,21,61,103,99
James Madison,Liberty,56,24,106,86
Liberty,James Madison,31,6,100,91
James Madison,Liberty,51,31,100,93
Liberty,James Madison,6,49,83,127
James Madison,Liberty,38,17,86,103
Liberty,James Madison,24,17,110,70
James Madison,Liberty,48,35,89,103
Liberty,James Madison,31,42,84,110
James Madison,Liberty,34,21,104,89
Liberty,James Madison,30,27,93,100
James Madison,Liberty,37,23,85,94
Liberty,James Madison,19,38,101,88
James Madison,Liberty,42,13,94,95
Liberty,James Madison,51,34,99,86
James Madison,Liberty,34,17,104,89
Liberty,James Madison,27,24,95,93
James Madison,Liberty,41,27,109,94
Liberty,James Madison,38,34,95,103
James Madison,Liberty,62,24,103,91
Liberty,James Madison,38,13,100,92
James Madison,Liberty,68,21,120,97
Liberty,James Madison,41,68,104,101
James Madison,Liberty,28,20,88,89
Liberty,James Madison,27,58,91,100
James Madison,Liberty,55,34,111,88
Liberty,James Madison,20,48,102,101
James Madison,Liberty,52,16,108,89
Liberty,James Madison,38,31,91,83
James Madison,Liberty,28,27,82,96
Liberty,James Madison,17,41,89,100
James Madison,Liberty,21,45,81,89
Liberty,James Madison,17,31,89,92
James Madison,Liberty,28,33,101,89
Liberty,James Madison,31,37,91,91
James Madison,Liberty,24,28,89,98
Liberty,James Madison,20,24,86,95
James Madison,Liberty,34,24,87,106
Liberty,James Madison,14,54,83,129
James Madison,Liberty,59,28,99,99
Liberty,James Madison,33,45,106,78
James Madison,Liberty,20,27,91,92
Liberty,James Madison,38,28,87,95
James Madison,Liberty,37,28,103,96
Liberty,James Madison,7,44,92,100
James Madison,Liberty,23,47,107,91
Liberty,James Madison,24,42,104,98
James Madison,Liberty,34,38,98,90
Liberty,James Madison,31,45,116,91
James Madison,Liberty,24,20,93,103
Liberty,James Madison,24,42,92,100
James Madison,Liberty,23,30,102,91
Liberty,James Madison,34,37,97,112
James Madison,Liberty,51,28,102,101
Liberty,James Madison,31,62,97,101
James Madison,Liberty,36,31,97,103
Liberty,James Madison,38,31,101,77
James Madison,Liberty,37,24,97,98
Liberty,James Madison,26,57,98,109
James Madison,Liberty,59,14,119,88
Liberty,James Madison,28,37,88,99
James Madison,Liberty,63,3,123,85
Liberty,James Madison,17,52,100,101
James Madison,Liberty,45,24,99,90
Liberty,James Madison,17,38,96,93
James Madison,Liberty,34,24,104,83
Liberty,James Madison,34,42,104,87
James Madison,Liberty,29,24,92,101
Liberty,James Madison,16,16,88,114
James Madison,Liberty,44,31,112,90
Liberty,James Madison,34,24,102,89
James Madison,Liberty,30,24,108,85
Liberty,James Madison,38,47,99,101
James Madison,Liberty,41,40,94,96
Liberty,James Madison,41,24,94,83
James Madison,Liberty,24,38,78,100
Liberty,James Madison,33,55,89,112
James Madison,Liberty,16,21,102,89
Liberty,James Madison,44,31,87,107
James Madison,Liberty,20,31,89,90
Liberty,James Madison,9,31,101,94
James Madison,Liberty,26,6,104,100
Liberty,James Madison,27,29,91,81
James Madison,Liberty,31,20,89,97
Liberty,James Madison,51,38,98,89
James Madison,Liberty,31,24,85,95
Liberty,James Madison,10,58,83,114
James Madison,Liberty,37,40,99,107
Liberty,James Madison,42,41,100,86
James Madison,Liberty,38,20,109,86
Liberty,James Madison,48,38,93,81
James Madison,Liberty,51,24,104,103
Liberty,James Madison,37,41,98,88
James Madison,Liberty,35,17,85,110
Liberty,James Madison,20,10,96,87
James Madison,Liberty,37,31,109,98
Liberty,James Madison,27,41,93,99
James Madison,Liberty,48,6,106,79
Liberty,James Madison,19,58,96,102
James Madison,Liberty,41,21,98,85
Liberty,James Madison,38,48,86,113
James Madison,Liberty,24,41,84,108
Liberty,James Madison,20,52,99,99
James Madison,Liberty,66,34,103,90
Liberty,James Madison,27,47,85,107
James Madison,Liberty,13,27,85,92
Liberty,James Madison,17,17,96,86
James Madison,Liberty,27,52,89,96
Liberty,James Madison,31,39,93,100
James Madison,Liberty,38,34,92,90
Liberty,James Madison,37,35,107,90
James Madison,Liberty,41,38,97,98
Liberty,James Madison,30,48,93,110
James Madison,Liberty,56,31,111,96
Liberty,James Madison,17,30,96,93
James Madison,Liberty,35,13,102,90
Liberty,James Madison,31,48,96,98
James Madison,Liberty,34,27,91,96
Liberty,James Madison,20,45,98,83
James Madison,Liberty,41,20,96,101
Liberty,James Madison,17,52,97,85
James Madison,Liberty,45,21,128,81
Liberty,James Madison,24,37,91,95
James Madison,Liberty,59,23,112,94
Liberty,James Madison,41,34,102,85
James Madison,Liberty,23,23,102,97
Liberty,James Madison,21,37,97,97
James Madison,Liberty,52,34,85,93
Liberty,James Madison,48,45,101,96
James Madison,Liberty,23,41,87,96
Liberty,James Madison,38,33,97,105
James Madison,Liberty,45,31,108,94
Liberty,James Madison,27,31,92,111
