team,opp,pts,opp_pts,plays,opp_plays
Miami,Florida,35,14,70,50
Florida,Miami,3,27,52,70
Miami,Florida,28,24,71,60
Florida,Miami,24,35,60,67
Miami,Florida,38,7,68,58
Florida,Miami,21,24,65,68
Miami,Florida,34,9,63,63
Florida,Miami,14,31,60,71
Miami,Florida,31,21,70,51
Florida,Miami,20,17,66,60
Miami,Florida,24,38,59,67
Florida,Miami,17,20,60,61
Miami,Florida,38,27,63,70
Florida,Miami,7,21,55,71
Miami,Florida,31,13,70,58
Florida,Miami,20,28,68,54
Miami,Florida,20,20,63,65
Florida,Miami,17,42,57,65
Miami,Florida,42,13,68,60
Florida,Miami,14,27,57,68
Miami,Florida,41,21,72,56
Florida,Miami,17,49,62,72
Miami,Florida,31,13,66,63
Florida,Miami,17,41,62,71
Miami,Florida,20,13,65,61
Florida,Miami,34,14,61,64
Miami,Florida,20,17,71,56
Florida,Miami,27,21,65,63
Miami,Florida,45,10,73,53
Florida,Miami,31,42,57,69
Miami,Florida,27,3,68,58
Florida,Miami,27,28,68,62
Miami,Florida,34,17,73,58
Florida,Miami,17,35,54,74
Miami,Florida,31,10,63,59
Florida,Miami,23,17,69,55
Miami,Florida,34,17,66,56
Florida,Miami,10,24,64,56
Miami,Florida,21,20,52,75
Florida,Miami,10,45,59,72
Miami,Florida,20,24,61,62
Florida,Miami,28,24,57,74
Miami,Florida,21,16,64,59
Florida,Miami,13,17,60,59
Miami,Florida,16,35,74,59
Florida,Miami,14,42,70,65
Miami,Florida,41,10,68,56
Florida,Miami,17,34,61,66
Miami,Florida,20,31,52,67
Florida,Miami,24,13,66,65
Miami,Florida,38,10,72,55
Florida,Miami,24,45,55,75
Miami,Florida,27,20,73,66
Florida,Miami,24,24,74,51
Miami,Florida,42,7,74,54
Florida,Miami,10,34,67,61
Miami,Florida,34,26,68,59
Florida,Miami,35,7,75,49
Miami,Florida,24,21,66,54
Florida,Miami,31,7,67,58
Miami,Florida,21,24,77,57
Florida,Miami,20,31,59,70
Miami,Florida,37,10,65,69
Florida,Miami,31,31,61,64
Miami,Florida,58,7,83,41
Florida,Miami,13,20,62,62
Miami,Florida,35,28,70,59
Florida,Miami,3,30,62,68
Miami,Florida,30,16,69,62
Florida,Miami,17,17,71,58
Miami,Florida,52,7,78,51
Florida,Miami,17,38,60,66
Miami,Florida,16,21,71,52
Florida,Miami,28,21,81,49
Miami,Florida,38,28,66,57
Florida,Miami,10,24,70,61
Miami,Florida,21,20,63,63
Florida,Miami,13,24,68,62
Miami,Florida,30,3,77,53
Florida,Miami,14,17,61,59
Miami,Florida,45,24,68,57
Florida,Miami,13,27,56,64
Miami,Florida,24,20,82,53
Florida,Miami,21,24,65,58
Miami,Florida,21,30,59,64
Florida,Miami,41,45,65,67
Miami,Florida,23,17,81,45
Florida,Miami,28,20,63,61
Miami,Florida,44,17,85,52
Florida,Miami,17,41,59,65
Miami,Florida,21,3,61,56
Florida,Miami,20,38,59,68
Miami,Florida,14,24,62,62
Florida,Miami,6,51,60,72
Miami,Florida,17,14,64,60
Florida,Miami,24,35,56,74
Miami,Florida,24,10,66,61
Florida,Miami,38,20,63,60
Miami,Florida,24,17,68,59
Florida,Miami,6,28,48,75
Miami,Florida,27,14,61,57
Florida,Miami,3,41,56,71
Miami,Florida,28,20,71,57
Florida,Miami,17,31,51,71
Miami,Florida,24,37,61,68
Florida,Miami,7,48,58,72
Miami,Florida,34,20,61,69
Florida,Miami,0,24,66,61
Miami,Florida,24,26,61,66
Florida,Miami,17,28,56,68
Miami,Florida,27,14,80,52
Florida,Miami,20,45,64,64
Miami,Florida,24,37,59,73
Florida,Miami,24,45,58,71
Miami,Florida,17,41,60,64
Florida,Miami,10,21,64,58
Miami,Florida,34,7,78,52
Florida,Miami,13,27,60,61
Miami,Florida,34,17,74,56
Florida,Miami,10,24,62,63
Miami,Florida,28,37,61,70
Florida,Miami,31,35,59,69
Miami,Florida,31,24,75,59
Florida,Miami,10,52,48,79
Miami,Florida,17,0,62,55
Florida,Miami,27,23,63,62
Miami,Florida,28,24,63,64
Florida,Miami,21,35,49,85
Miami,Florida,20,27,69,57
Florida,Miami,35,31,65,65
Miami,Florida,31,6,76,58
Florida,Miami,14,34,59,63
Miami,Florida,35,17,62,68
Florida,Miami,21,21,59,68
Miami,Florida,21,24,66,62
Florida,Miami,17,38,62,68
Miami,Florida,20,13,62,64
Florida,Miami,14,0,63,60
Miami,Florida,28,3,69,59
Florida,Miami,13,35,64,66
Miami,Florida,24,10,64,61
Florida,Miami,23,24,69,60
Miami,Florida,17,24,56,63
Florida,Miami,24,49,63,65
Miami,Florida,38,24,60,62
Florida,Miami,48,14,68,58
Miami,Florida,35,17,75,55
Florida,Miami,7,44,55,73
Miami,Florida,27,14,68,58
Florida,Miami,27,28,78,49
Miami,Florida,24,14,69,57
Florida,Miami,14,21,68,57
Miami,Florida,42,7,73,56
Florida,Miami,27,35,65,68
Miami,Florida,14,16,58,63
Florida,Miami,17,21,71,59
Miami,Florida,31,20,62,66
Florida,Miami,27,24,65,62
Miami,Florida,31,34,69,63
Florida,Miami,9,28,56,69
Miami,Florida,27,14,77,47
Florida,Miami,14,38,57,72
Miami,Florida,35,16,67,68
Florida,Miami,0,31,51,72
Miami,Florida,38,28,61,60
Florida,Miami,7,40,53,80
Miami,Florida,34,13,68,57
Florida,Miami,19,38,64,59
Miami,Florida,28,28,68,56
Florida,Miami,21,23,69,65
Miami,Florida,14,13,53,69
Florida,Miami,13,34,57,65
Miami,Florida,24,24,61,56
Florida,Miami,13,42,57,70
Miami,Florida,31,27,76,52
Florida,Miami,20,31,69,57
Miami,Florida,31,21,74,54
Florida,Miami,27,35,66,63
Miami,Florida,38,0,78,52
Florida,Miami,21,24,69,61
Miami,Florida,30,21,67,53
Florida,Miami,35,28,66,68
Miami,Florida,42,7,72,58
Florida,Miami,17,20,69,55
Miami,Florida,14,6,65,54
Florida,Miami,10,28,62,62
Miami,Florida,44,17,77,58
Florida,Miami,41,20,62,61
Miami,Florida,21,14,69,61
Florida,Miami,24,20,68,54
Miami,Florida,31,13,72,52
Florida,Miami,7,31,49,74
Miami,Florida,30,20,72,62
Florida,Miami,0,41,54,73
Miami,Florida,34,9,62,67
Florida,Miami,34,13,65,63
Miami,Florida,21,27,61,61
Florida,Miami,34,45,64,61
Miami,Florida,38,17,61,66
Florida,Miami,35,27,65,64
Miami,Florida,28,6,58,66
Florida,Miami,27,21,66,61
Miami,Florida,34,20,69,57
Florida,Miami,14,41,64,66
Miami,Florida,40,7,69,57
Florida,Miami,6,35,57,65
Miami,Florida,21,13,63,68
Florida,Miami,20,38,49,75
Miami,Florida,41,10,69,60
Florida,Miami,6,24,58,72
Miami,Florida,27,0,77,55
Florida,Miami,31,17,70,55
Miami,Florida,24,14,69,63
Florida,Miami,17,20,74,55
Miami,Florida,31,10,71,56
Florida,Miami,20,20,66,60
Miami,Florida,35,6,67,52
Florida,Miami,17,42,57,65
Miami,Florida,23,20,71,60
Florida,Miami,14,38,61,69
Miami,Florida,31,14,66,58
Florida,Miami,13,28,70,64
Miami,Florida,45,17,67,51
Florida,Miami,3,33,48,77
Miami,Florida,59,7,76,45
Florida,Miami,28,17,70,59
Miami,Florida,28,10,68,60
Florida,Miami,14,27,66,62
Miami,Florida,38,10,68,59
Florida,Miami,24,13,67,56
Miami,Florida,34,10,87,53
Florida,Miami,17,23,70,62
Miami,Florida,35,9,67,59
Florida,Miami,37,10,73,59
Miami,Florida,27,28,62,66
Florida,Miami,14,34,52,66
Miami,Florida,30,21,65,60
Florida,Miami,10,35,66,63
Miami,Florida,10,28,59,61
Florida,Miami,3,14,65,62
