team,opp,pts,opp_pts,plays,opp_plays
Miami (OH),UNLV,10,31,58,59
UNLV,Miami (OH),21,7,59,54
Miami (OH),UNLV,14,20,60,55
UNLV,Miami (OH),19,10,61,55
Miami (OH),UNLV,14,31,53,59
UNLV,Miami (OH),17,24,63,58
Miami (OH),UNLV,10,26,47,71
UNLV,Miami (OH),17,16,61,52
Miami (OH),UNLV,6,10,64,52
UNLV,Miami (OH),28,21,59,63
Miami (OH),UNLV,0,19,39,69
UNLV,Miami (OH),23,24,60,59
Miami (OH),UNLV,7,24,54,61
UNLV,Miami (OH),10,6,62,51
Miami (OH),UNLV,14,24,48,61
UNLV,Miami (OH),13,3,64,55
Miami (OH),UNLV,14,21,70,52
UNLV,Miami (OH),21,6,56,57
Miami (OH),UNLV,16,24,71,47
UNLV,Miami (OH),30,6,66,53
Miami (OH),UNLV,13,28,58,59
UNLV,Miami (OH),21,20,65,51
Miami (OH),UNLV,16,10,63,49
UNLV,Miami (OH),17,0,61,60
Miami (OH),UNLV,7,13,60,52
UNLV,Miami (OH),24,0,64,43
Miami (OH),UNLV,13,31,61,56
UNLV,Miami (OH),21,9,57,62
Miami (OH),UNLV,6,3,59,56
UNLV,Miami (OH),20,21,62,62
Miami (OH),UNLV,7,21,59,59
UNLV,Miami (OH),17,0,64,53
Miami (OH),UNLV,9,31,63,56
UNLV,Miami (OH),24,10,61,53
Miami (OH),UNLV,6,23,63,62
UNLV,Miami (OH),24,10,70,52
Miami (OH),UNLV,7,21,70,51
UNLV,Miami (OH),20,14,66,51
Miami (OH),UNLV,27,14,70,50
UNLV,Miami (OH),41,3,65,55
Miami (OH),UNLV,7,27,50,70
UNLV,Miami (OH),13,21,62,61
Miami (OH),UNLV,14,27,47,69
UNLV,Miami (OH),20,20,53,64
Miami (OH),UNLV,16,10,71,46
UNLV,Miami (OH),13,21,53,56
Miami (OH),UNLV,7,21,58,55
UNLV,Miami (OH),30,14,65,54
Miami (OH),UNLV,7,10,70,49
UNLV,Miami (OH),24,16,58,65
Miami (OH),UNLV,7,31,67,49
UNLV,Miami (OH),24,17,52,73
Miami (OH),UNLV,10,31,54,61
UNLV,Miami (OH),21,3,57,53
Miami (OH),UNLV,10,12,64,53
UNLV,Miami (OH),10,20,56,61
Miami (OH),UNLV,10,31,50,65
UNLV,Miami (OH),20,7,63,52
Miami (OH),UNLV,24,24,67,52
UNLV,Miami (OH),13,17,63,56
Miami (OH),UNLV,6,23,60,64
UNLV,Miami (OH),38,10,72,45
Miami (OH),UNLV,14,27,56,54
UNLV,Miami (OH),17,16,55,56
Miami (OH),UNLV,3,38,54,56
UNLV,Miami (OH),10,7,57,49
Miami (OH),UNLV,3,30,64,53
UNLV,Miami (OH),24,6,66,53
Miami (OH),UNLV,19,10,67,49
UNLV,Miami (OH),24,20,63,58
Miami (OH),UNLV,6,16,59,51
UNLV,Miami (OH),23,13,62,63
Miami (OH),UNLV,3,17,51,59
UNLV,Miami (OH),28,24,62,56
Miami (OH),UNLV,27,9,59,52
UNLV,Miami (OH),20,14,56,56
Miami (OH),UNLV,10,34,57,56
UNLV,Miami (OH),24,3,62,56
Miami (OH),UNLV,10,21,60,58
UNLV,Miami (OH),38,3,69,54
Miami (OH),UNLV,3,31,54,60
UNLV,Miami (OH),34,3,69,49
Miami (OH),UNLV,3,0,63,44
UNLV,Miami (OH),35,6,58,60
Miami (OH),UNLV,23,21,67,53
UNLV,Miami (OH),13,16,62,55
Miami (OH),UNLV,0,13,54,59
UNLV,Miami (OH),41,10,64,54
Miami (OH),UNLV,13,24,61,53
UNLV,Miami (OH),17,13,54,60
Miami (OH),UNLV,10,34,51,61
UNLV,Miami (OH),31,21,59,60
Miami (OH),UNLV,6,30,60,59
UNLV,Miami (OH),10,38,62,53
Miami (OH),UNLV,17,14,60,54
UNLV,Miami (OH),30,7,67,47
Miami (OH),UNLV,34,14,83,44
UNLV,Miami (OH),27,10,58,55
Miami (OH),UNLV,10,10,53,55
UNLV,Miami (OH),31,3,66,44
Miami (OH),UNLV,14,6,56,58
UNLV,Miami (OH),3,20,62,58
Miami (OH),UNLV,3,27,50,64
UNLV,Miami (OH),28,14,70,41
Miami (OH),UNLV,3,31,60,58
UNLV,Miami (OH),24,14,59,61
Miami (OH),UNLV,7,24,70,44
UNLV,Miami (OH),21,14,68,54
Miami (OH),UNLV,10,24,65,59
UNLV,Miami (OH),7,0,59,52
Miami (OH),UNLV,20,14,59,65
UNLV,Miami (OH),38,10,66,50
Miami (OH),UNLV,10,35,69,50
UNLV,Miami (OH),13,7,64,52
Miami (OH),UNLV,10,21,57,64
UNLV,Miami (OH),27,3,62,53
Miami (OH),UNLV,16,14,58,51
UNLV,Miami (OH),27,10,67,52
Miami (OH),UNLV,10,34,65,57
UNLV,Miami (OH),28,7,64,52
Miami (OH),UNLV,14,31,53,57
