team,opp,pts,opp_pts,plays,opp_plays
Notre Dame,Purdue,41,6,71,68
Purdue,Notre Dame,13,31,66,62
Notre Dame,Purdue,34,6,75,66
Purdue,Notre Dame,10,17,77,62
Notre Dame,Purdue,51,0,80,47
Purdue,Notre Dame,7,10,76,68
Notre Dame,Purdue,24,17,62,73
Purdue,Notre Dame,13,35,67,69
Notre Dame,Purdue,14,13,68,67
Purdue,Notre Dame,6,45,57,70
Notre Dame,Purdue,34,7,76,57
Purdue,Notre Dame,24,38,85,63
Notre Dame,Purdue,34,35,72,66
Purdue,Notre Dame,3,34,63,71
Notre Dame,Purdue,42,7,75,63
Purdue,Notre Dame,3,23,67,63
Notre Dame,Purdue,27,17,70,74
Purdue,Notre Dame,27,13,82,62
Notre Dame,Purdue,31,31,71,77
Purdue,Notre Dame,30,13,78,63
Notre Dame,Purdue,19,0,71,60
Purdue,Notre Dame,7,37,53,78
Notre Dame,Purdue,49,3,69,56
Purdue,Notre Dame,33,37,72,73
Notre Dame,Purdue,10,9,71,57
Purdue,Notre Dame,17,21,76,64
Notre Dame,Purdue,38,17,83,54
Purdue,Notre Dame,13,45,57,80
Notre Dame,Purdue,31,21,77,56
Purdue,Notre Dame,24,31,68,72
Notre Dame,Purdue,34,10,75,57
Purdue,Notre Dame,13,38,60,70
Notre Dame,Purdue,38,20,71,71
Purdue,Notre Dame,42,21,80,71
Notre Dame,Purdue,17,13,68,62
Purdue,Notre Dame,10,31,70,68
Notre Dame,Purdue,24,17,72,64
Purdue,Notre Dame,3,34,60,69
Notre Dame,Purdue,37,13,82,64
Purdue,Notre Dame,3,36,71,70
Notre Dame,Purdue,35,17,61,85
Purdue,Notre Dame,10,31,85,58
Notre Dame,Purdue,45,7,72,58
Purdue,Notre Dame,13,14,67,62
Notre Dame,Purdue,31,9,73,62
Purdue,Notre Dame,3,34,59,71
Notre Dame,Purdue,34,7,74,56
Purdue,Notre Dame,13,26,67,70
Notre Dame,Purdue,45,14,71,69
Purdue,Notre Dame,34,21,83,67
Notre Dame,Purdue,21,42,76,68
Purdue,Notre Dame,27,21,77,63
Notre Dame,Purdue,14,38,70,81
Purdue,Notre Dame,21,14,68,69
Notre Dame,Purdue,27,7,77,62
Purdue,Notre Dame,33,0,84,56
Notre Dame,Purdue,24,17,69,76
Purdue,Notre Dame,17,35,63,62
Notre Dame,Purdue,20,17,71,68
Purdue,Notre Dame,14,20,70,66
Notre Dame,Purdue,45,3,76,56
Purdue,Notre Dame,17,28,67,78
Notre Dame,Purdue,23,3,72,71
Purdue,Notre Dame,20,23,82,64
Notre Dame,Purdue,27,35,76,64
Purdue,Notre Dame,24,14,69,67
Notre Dame,Purdue,28,3,70,65
Purdue,Notre Dame,21,24,69,69
Notre Dame,Purdue,37,24,75,58
Purdue,Notre Dame,13,20,55,74
Notre Dame,Purdue,38,17,76,57
Purdue,Notre Dame,24,17,63,70
Notre Dame,Purdue,24,21,62,74
Purdue,Notre Dame,21,42,69,72
Notre Dame,Purdue,27,21,71,60
Purdue,Notre Dame,17,28,71,71
Notre Dame,Purdue,27,20,71,70
Purdue,Notre Dame,13,24,61,71
Notre Dame,Purdue,23,13,70,66
Purdue,Notre Dame,17,28,60,73
Notre Dame,Purdue,31,20,66,72
Purdue,Notre Dame,12,45,72,66
Notre Dame,Purdue,41,14,72,60
Purdue,Notre Dame,10,13,72,68
Notre Dame,Purdue,20,3,72,55
Purdue,Notre Dame,7,35,73,65
Notre Dame,Purdue,24,0,62,82
Purdue,Notre Dame,10,45,62,77
Notre Dame,Purdue,49,13,77,60
Purdue,Notre Dame,17,17,68,68
Notre Dame,Purdue,27,31,73,64
Purdue,Notre Dame,13,10,72,72
Notre Dame,Purdue,31,17,73,55
Purdue,Notre Dame,10,48,63,66
Notre Dame,Purdue,24,17,66,67
Purdue,Notre Dame,24,20,64,65
Notre Dame,Purdue,35,17,68,79
Purdue,Notre Dame,10,21,61,72
Notre Dame,Purdue,31,20,69,71
Purdue,Notre Dame,17,17,77,63
Notre Dame,Purdue,17,14,65,71
Purdue,Notre Dame,6,27,63,75
Notre Dame,Purdue,38,9,79,59
Purdue,Notre Dame,24,52,70,64
Notre Dame,Purdue,34,13,66,70
Purdue,Notre Dame,14,42,77,65
Notre Dame,Purdue,28,17,71,67
Purdue,Notre Dame,13,35,63,74
Notre Dame,Purdue,45,14,75,63
Purdue,Notre Dame,7,17,73,63
Notre Dame,Purdue,14,35,63,75
Purdue,Notre Dame,27,35,71,66
Notre Dame,Purdue,38,20,76,62
Purdue,Notre Dame,31,20,69,67
Notre Dame,Purdue,30,7,79,53
Purdue,Notre Dame,3,35,59,80
Notre Dame,Purdue,20,9,68,65
Purdue,Notre Dame,14,28,71,71
Notre Dame,Purdue,21,7,80,47
Purdue,Notre Dame,6,37,70,70
