team,opp,pts,opp_pts,plays,opp_plays
Ole Miss,Tulane,35,14,65,74
Tulane,Ole Miss,35,23,66,70
Ole Miss,Tulane,38,10,83,59
Tulane,Ole Miss,27,41,64,72
Ole Miss,Tulane,31,3,76,63
Tulane,Ole Miss,13,30,67,78
Ole Miss,Tulane,21,21,76,63
Tulane,Ole Miss,31,14,72,62
Ole Miss,Tulane,35,27,72,64
Tulane,Ole Miss,35,10,69,69
Ole Miss,Tulane,24,7,77,65
Tulane,Ole Miss,24,31,63,74
Ole Miss,Tulane,20,17,72,71
Tulane,Ole Miss,13,27,71,65
Ole Miss,Tulane,41,9,71,66
Tulane,Ole Miss,10,20,55,75
Ole Miss,Tulane,34,21,66,67
Tulane,Ole Miss,17,41,69,82
Ole Miss,Tulane,38,10,82,60
Tulane,Ole Miss,21,28,78,62
Ole Miss,Tulane,27,24,75,64
Tulane,Ole Miss,20,37,64,72
Ole Miss,Tulane,28,6,81,60
Tulane,Ole Miss,13,48,78,66
Ole Miss,Tulane,10,19,60,66
Tulane,Ole Miss,17,30,64,76
Ole Miss,Tulane,35,10,75,59
Tulane,Ole Miss,24,30,68,74
Ole Miss,Tulane,27,30,66,69
Tulane,Ole Miss,7,17,65,72
Ole Miss,Tulane,24,31,73,70
Tulane,Ole Miss,24,37,64,65
Ole Miss,Tulane,41,10,70,70
Tulane,Ole Miss,24,20,64,77
Ole Miss,Tulane,55,24,80,61
Tulane,Ole Miss,23,20,75,67
Ole Miss,Tulane,20,14,68,65
Tulane,Ole Miss,14,37,64,72
Ole Miss,Tulane,10,24,62,66
Tulane,Ole Miss,17,20,72,62
Ole Miss,Tulane,35,21,71,73
Tulane,Ole Miss,42,20,74,61
Ole Miss,Tulane,30,10,70,70
Tulane,Ole Miss,10,27,66,70
Ole Miss,Tulane,14,19,76,71
Tulane,Ole Miss,14,34,71,69
Ole Miss,Tulane,44,17,78,66
Tulane,Ole Miss,24,14,69,63
Ole Miss,Tulane,27,3,64,71
Tulane,Ole Miss,14,37,69,68
Ole Miss,Tulane,35,24,68,67
Tulane,Ole Miss,13,24,76,61
Ole Miss,Tulane,28,7,76,61
Tulane,Ole Miss,24,21,69,69
Ole Miss,Tulane,41,17,74,66
Tulane,Ole Miss,10,13,67,70
Ole Miss,Tulane,13,17,74,67
Tulane,Ole Miss,20,45,68,80
Ole Miss,Tulane,31,7,79,63
Tulane,Ole Miss,17,38,74,64
Ole Miss,Tulane,41,7,74,62
Tulane,Ole Miss,16,24,64,74
Ole Miss,Tulane,31,13,71,68
Tulane,Ole Miss,13,34,64,77
Ole Miss,Tulane,35,0,85,62
Tulane,Ole Miss,24,20,78,63
Ole Miss,Tulane,45,7,75,64
Tulane,Ole Miss,7,24,66,71
Ole Miss,Tulane,28,31,70,65
Tulane,Ole Miss,24,31,76,72
Ole Miss,Tulane,14,17,72,63
Tulane,Ole Miss,23,21,74,67
Ole Miss,Tulane,31,14,81,59
Tulane,Ole Miss,14,28,55,81
Ole Miss,Tulane,34,7,75,62
Tulane,Ole Miss,17,30,63,75
Ole Miss,Tulane,9,14,66,74
Tulane,Ole Miss,28,35,82,58
Ole Miss,Tulane,37,21,81,56
Tulane,Ole Miss,21,16,73,67
Ole Miss,Tulane,38,6,81,55
Tulane,Ole Miss,21,28,63,80
Ole Miss,Tulane,6,27,52,76
Tulane,Ole Miss,31,21,71,65
Ole Miss,Tulane,31,0,70,62
Tulane,Ole Miss,14,31,69,71
Ole Miss,Tulane,42,3,73,67
Tulane,Ole Miss,20,13,74,67
Ole Miss,Tulane,21,10,71,64
Tulane,Ole Miss,10,35,70,73
Ole Miss,Tulane,13,31,72,65
Tulane,Ole Miss,20,20,74,61
Ole Miss,Tulane,27,14,67,66
Tulane,Ole Miss,14,35,60,76
Ole Miss,Tulane,27,20,72,75
