team,opp,pts,opp_pts,plays,opp_plays
TCU,SMU,26,17,95,63
SMU,TCU,27,49,69,87
TCU,SMU,37,63,95,82
SMU,TCU,27,24,79,88
TCU,SMU,20,42,86,88
SMU,TCU,31,27,83,91
TCU,SMU,55,24,104,74
SMU,TCU,10,55,78,97
TCU,SMU,21,24,92,79
SMU,TCU,27,34,84,85
TCU,SMU,21,20,83,74
SMU,TCU,24,41,83,90
TCU,SMU,21,21,75,83
SMU,TCU,42,30,78,89
TCU,SMU,45,28,82,78
SMU,TCU,38,27,86,75
TCU,SMU,27,12,90,75
SMU,TCU,20,35,83,88
TCU,SMU,26,30,95,68
SMU,TCU,40,42,90,91
TCU,SMU,38,44,81,88
SMU,TCU,20,33,68,98
TCU,SMU,47,21,92,75
SMU,TCU,31,24,90,83
TCU,SMU,20,7,73,93
SMU,TCU,35,34,101,79
TCU,SMU,19,31,92,90
SMU,TCU,38,24,73,93
TCU,SMU,27,24,87,83
SMU,TCU,31,41,79,88
TCU,SMU,28,17,89,75
SMU,TCU,31,42,78,90
TCU,SMU,48,24,94,77
SMU,TCU,27,35,89,81
TCU,SMU,62,31,97,71
SMU,TCU,57,27,93,82
TCU,SMU,30,10,80,85
SMU,TCU,6,48,70,86
TCU,SMU,30,21,90,72
SMU,TCU,45,34,99,78
TCU,SMU,24,48,95,83
SMU,TCU,34,28,91,87
TCU,SMU,28,37,97,85
SMU,TCU,28,23,99,70
TCU,SMU,45,41,91,89
SMU,TCU,35,45,89,84
TCU,SMU,24,10,82,75
SMU,TCU,3,37,87,90
TCU,SMU,31,49,89,98
SMU,TCU,35,34,103,79
TCU,SMU,38,24,84,92
SMU,TCU,38,20,84,94
TCU,SMU,17,27,87,83
SMU,TCU,35,17,89,76
TCU,SMU,21,17,78,75
SMU,TCU,41,52,107,70
TCU,SMU,31,49,91,94
SMU,TCU,27,31,90,78
TCU,SMU,24,35,94,87
SMU,TCU,48,34,101,84
TCU,SMU,27,31,92,81
SMU,TCU,31,52,101,71
TCU,SMU,20,24,88,76
SMU,TCU,34,31,81,86
TCU,SMU,20,35,88,81
SMU,TCU,45,34,82,78
TCU,SMU,45,27,86,85
SMU,TCU,23,13,86,89
TCU,SMU,52,13,89,67
SMU,TCU,31,34,88,87
TCU,SMU,24,55,87,89
SMU,TCU,24,44,78,81
TCU,SMU,48,35,97,67
SMU,TCU,24,27,104,68
TCU,SMU,16,41,79,99
SMU,TCU,62,21,100,69
TCU,SMU,21,59,73,94
SMU,TCU,13,45,80,87
TCU,SMU,45,19,87,81
SMU,TCU,12,42,73,80
TCU,SMU,37,24,89,70
SMU,TCU,31,48,77,94
TCU,SMU,13,30,83,86
SMU,TCU,21,38,84,89
TCU,SMU,51,10,88,76
SMU,TCU,27,56,71,97
TCU,SMU,41,24,84,84
SMU,TCU,21,23,76,76
TCU,SMU,20,31,72,110
SMU,TCU,24,34,85,83
TCU,SMU,49,19,88,77
SMU,TCU,38,45,97,86
TCU,SMU,20,13,81,84
SMU,TCU,28,34,93,80
TCU,SMU,31,34,78,91
SMU,TCU,44,20,95,88
TCU,SMU,44,38,98,84
SMU,TCU,10,45,80,96
TCU,SMU,41,21,81,85
SMU,TCU,17,42,85,80
TCU,SMU,35,38,75,87
SMU,TCU,31,28,92,82
TCU,SMU,48,24,87,76
SMU,TCU,10,31,80,85
TCU,SMU,49,31,80,84
SMU,TCU,27,52,78,90
TCU,SMU,45,31,87,82
SMU,TCU,28,49,86,90
TCU,SMU,27,35,87,80
SMU,TCU,31,40,80,90
TCU,SMU,23,55,74,90
SMU,TCU,20,49,77,88
TCU,SMU,27,16,85,88
SMU,TCU,48,38,90,81
TCU,SMU,38,24,79,96
SMU,TCU,13,26,80,83
TCU,SMU,31,21,85,68
SMU,TCU,26,45,82,86
TCU,SMU,37,21,84,81
SMU,TCU,28,35,101,76
TCU,SMU,45,7,88,73
SMU,TCU,27,23,82,85
TCU,SMU,20,48,94,75
SMU,TCU,45,59,93,82
TCU,SMU,31,28,90,76
SMU,TCU,10,55,68,90
TCU,SMU,27,31,94,71
SMU,TCU,42,33,92,81
TCU,SMU,42,30,85,78
SMU,TCU,20,16,80,89
TCU,SMU,31,21,80,88
SMU,TCU,35,30,72,98
TCU,SMU,34,42,99,76
SMU,TCU,31,48,88,82
TCU,SMU,30,14,87,80
SMU,TCU,38,27,86,82
TCU,SMU,31,35,80,92
SMU,TCU,24,38,91,85
TCU,SMU,27,52,85,96
SMU,TCU,27,37,90,87
TCU,SMU,34,49,91,98
SMU,TCU,34,34,84,87
TCU,SMU,31,28,83,82
SMU,TCU,31,34,82,83
TCU,SMU,38,20,88,88
SMU,TCU,28,24,76,93
TCU,SMU,34,28,88,83
SMU,TCU,24,24,76,81
TCU,SMU,48,24,88,87
SMU,TCU,20,20,103,76
TCU,SMU,24,45,89,96
SMU,TCU,34,31,91,89
TCU,SMU,27,28,93,78
SMU,TCU,20,27,88,80
TCU,SMU,51,17,94,83
SMU,TCU,20,27,87,77
TCU,SMU,6,21,76,87
SMU,TCU,38,20,86,84
TCU,SMU,29,7,90,70
SMU,TCU,49,38,72,102
TCU,SMU,37,9,90,77
SMU,TCU,31,41,82,100
TCU,SMU,31,31,91,84
SMU,TCU,16,43,72,97
TCU,SMU,17,41,83,91
SMU,TCU,30,49,90,80
TCU,SMU,55,10,93,67
SMU,TCU,37,24,98,77
TCU,SMU,37,10,95,73
SMU,TCU,34,38,88,84
TCU,SMU,30,41,90,82
SMU,TCU,37,31,95,79
TCU,SMU,38,24,84,73
SMU,TCU,17,37,92,79
TCU,SMU,24,41,82,83
SMU,TCU,30,35,89,79
TCU,SMU,35,30,77,96
SMU,TCU,20,21,82,81
TCU,SMU,27,31,97,85
SMU,TCU,10,27,82,82
TCU,SMU,57,44,92,82
SMU,TCU,28,28,80,89
TCU,SMU,41,48,85,90
SMU,TCU,31,34,84,90
TCU,SMU,14,37,85,89
SMU,TCU,10,31,82,84
TCU,SMU,30,6,88,76
SMU,TCU,37,20,93,83
TCU,SMU,21,27,83,89
SMU,TCU,21,27,79,81
TCU,SMU,34,45,80,100
SMU,TCU,38,34,82,89
TCU,SMU,31,27,89,80
SMU,TCU,34,20,81,81
TCU,SMU,31,28,93,68
SMU,TCU,41,33,69,93
TCU,SMU,45,17,107,72
SMU,TCU,24,45,74,88
TCU,SMU,62,35,94,70
SMU,TCU,34,58,72,103
TCU,SMU,49,17,89,77
SMU,TCU,14,58,91,80
TCU,SMU,31,48,87,79
SMU,TCU,45,34,77,101
TCU,SMU,45,28,93,77
SMU,TCU,17,31,81,82
TCU,SMU,37,41,88,75
SMU,TCU,24,44,80,91
TCU,SMU,45,42,97,82
SMU,TCU,38,28,81,79
TCU,SMU,28,24,92,72
SMU,TCU,38,38,74,100
TCU,SMU,21,41,87,89
SMU,TCU,35,38,93,81
TCU,SMU,41,30,88,82
SMU,TCU,28,34,76,97
TCU,SMU,45,37,86,78
SMU,TCU,41,20,77,94
TCU,SMU,34,22,79,97
SMU,TCU,28,30,77,85
TCU,SMU,52,20,91,75
SMU,TCU,27,38,83,90
TCU,SMU,30,20,90,83
SMU,TCU,31,21,89,73
TCU,SMU,17,52,76,95
SMU,TCU,24,49,79,89
TCU,SMU,23,38,82,90
SMU,TCU,38,20,93,83
TCU,SMU,28,31,98,78
SMU,TCU,41,41,85,92
TCU,SMU,38,31,79,85
SMU,TCU,13,35,78,84
TCU,SMU,52,16,100,66
SMU,TCU,14,34,84,83
TCU,SMU,30,17,85,67
SMU,TCU,28,28,92,75
TCU,SMU,17,36,82,98
SMU,TCU,20,55,81,86
TCU,SMU,20,23,91,78
SMU,TCU,24,56,81,90
TCU,SMU,49,30,86,88
SMU,TCU,23,24,90,75
TCU,SMU,38,21,95,71
SMU,TCU,24,31,87,84
TCU,SMU,27,29,82,88
SMU,TCU,41,35,89,89
TCU,SMU,20,20,80,84
SMU,TCU,24,62,89,88
TCU,SMU,45,45,89,90
SMU,TCU,37,48,102,81
TCU,SMU,20,42,98,78
SMU,TCU,28,38,74,88
TCU,SMU,35,30,83,76
SMU,TCU,20,24,79,88
TCU,SMU,45,10,101,66
SMU,TCU,44,35,87,82
TCU,SMU,23,10,87,67
SMU,TCU,28,31,78,85
TCU,SMU,20,44,96,82
SMU,TCU,38,28,89,86
TCU,SMU,49,24,89,77
SMU,TCU,44,52,93,88
TCU,SMU,35,31,82,82
SMU,TCU,17,19,84,77
TCU,SMU,17,20,81,79
SMU,TCU,27,24,86,79
TCU,SMU,38,14,92,83
SMU,TCU,31,31,89,83
TCU,SMU,22,7,92,57
SMU,TCU,9,38,84,78
TCU,SMU,48,17,87,72
SMU,TCU,42,38,91,86
TCU,SMU,24,27,76,96
