team,opp,pts,opp_pts,plays,opp_plays
Tennessee,UAB,31,24,72,73
UAB,Tennessee,10,17,87,56
Tennessee,UAB,24,7,84,60
UAB,Tennessee,14,45,60,82
Tennessee,UAB,52,13,81,62
UAB,Tennessee,17,63,64,82
Tennessee,UAB,59,9,74,77
UAB,Tennessee,7,70,60,89
Tennessee,UAB,24,17,72,76
UAB,Tennessee,6,31,75,71
Tennessee,UAB,31,27,73,77
UAB,Tennessee,7,24,68,76
Tennessee,UAB,37,7,90,52
UAB,Tennessee,0,45,67,79
Tennessee,UAB,52,7,85,71
UAB,Tennessee,17,41,69,75
Tennessee,UAB,48,21,76,73
UAB,Tennessee,16,36,72,78
Tennessee,UAB,13,27,70,80
UAB,Tennessee,10,52,63,83
Tennessee,UAB,48,10,85,59
UAB,Tennessee,7,59,78,69
Tennessee,UAB,24,20,75,73
UAB,Tennessee,12,48,76,77
Tennessee,UAB,34,3,72,72
UAB,Tennessee,10,27,72,73
Tennessee,UAB,38,13,93,70
UAB,Tennessee,20,63,71,77
Tennessee,UAB,38,16,80,68
UAB,Tennessee,10,41,77,73
Tennessee,UAB,51,7,83,66
UAB,Tennessee,3,24,73,69
Tennessee,UAB,51,10,86,71
UAB,Tennessee,3,37,61,84
Tennessee,UAB,52,20,75,76
UAB,Tennessee,3,42,67,77
Tennessee,UAB,34,0,71,65
UAB,Tennessee,13,38,70,82
Tennessee,UAB,72,7,97,58
UAB,Tennessee,10,38,61,81
Tennessee,UAB,41,14,88,63
UAB,Tennessee,6,31,70,68
Tennessee,UAB,45,10,74,73
UAB,Tennessee,20,52,69,86
Tennessee,UAB,41,6,73,72
UAB,Tennessee,31,23,72,72
Tennessee,UAB,45,10,81,67
UAB,Tennessee,17,42,74,71
Tennessee,UAB,34,20,74,73
UAB,Tennessee,10,31,78,71
Tennessee,UAB,49,21,70,72
UAB,Tennessee,7,56,62,92
Tennessee,UAB,30,14,80,68
UAB,Tennessee,0,34,72,73
Tennessee,UAB,38,15,78,71
UAB,Tennessee,3,37,67,75
Tennessee,UAB,42,6,88,65
UAB,Tennessee,16,42,79,70
Tennessee,UAB,21,28,75,72
UAB,Tennessee,3,34,63,83
Tennessee,UAB,42,13,65,78
UAB,Tennessee,6,56,72,75
Tennessee,UAB,30,6,75,67
UAB,Tennessee,28,41,76,74
Tennessee,UAB,62,0,85,66
UAB,Tennessee,17,38,69,77
Tennessee,UAB,34,14,82,72
UAB,Tennessee,28,41,71,79
Tennessee,UAB,49,21,72,73
UAB,Tennessee,0,58,69,79
Tennessee,UAB,41,9,86,62
UAB,Tennessee,24,58,66,83
Tennessee,UAB,41,24,87,58
UAB,Tennessee,14,27,84,59
Tennessee,UAB,42,20,81,60
UAB,Tennessee,7,55,58,89
Tennessee,UAB,52,3,78,67
UAB,Tennessee,6,30,76,73
Tennessee,UAB,27,20,68,78
UAB,Tennessee,21,52,65,86
Tennessee,UAB,38,13,74,72
UAB,Tennessee,10,34,79,72
Tennessee,UAB,30,21,86,64
UAB,Tennessee,16,17,85,56
Tennessee,UAB,41,3,83,61
UAB,Tennessee,10,44,67,83
Tennessee,UAB,34,10,69,81
UAB,Tennessee,7,30,75,76
Tennessee,UAB,28,16,66,79
UAB,Tennessee,10,17,67,78
Tennessee,UAB,38,14,87,58
UAB,Tennessee,17,20,72,72
Tennessee,UAB,43,3,88,61
UAB,Tennessee,3,38,62,82
Tennessee,UAB,42,17,75,71
UAB,Tennessee,7,40,57,84
Tennessee,UAB,59,21,80,73
UAB,Tennessee,17,42,62,90
Tennessee,UAB,28,17,76,70
UAB,Tennessee,10,27,74,70
Tennessee,UAB,48,10,83,68
UAB,Tennessee,21,38,64,77
Tennessee,UAB,62,0,89,58
UAB,Tennessee,12,42,75,68
Tennessee,UAB,35,10,75,69
UAB,Tennessee,7,56,71,80
Tennessee,UAB,41,7,85,56
UAB,Tennessee,13,59,73,71
Tennessee,UAB,41,17,76,67
UAB,Tennessee,10,58,66,88
Tennessee,UAB,23,3,77,74
UAB,Tennessee,16,31,86,62
Tennessee,UAB,21,20,60,79
UAB,Tennessee,27,27,84,65
Tennessee,UAB,73,7,82,61
UAB,Tennessee,20,35,76,68
Tennessee,UAB,49,7,82,67
UAB,Tennessee,6,48,63,75
Tennessee,UAB,31,17,69,73
UAB,Tennessee,10,45,88,64
Tennessee,UAB,56,6,73,70
UAB,Tennessee,23,17,83,65
Tennessee,UAB,38,21,63,79
UAB,Tennessee,10,52,66,87
Tennessee,UAB,41,6,74,67
UAB,Tennessee,21,63,72,75
Tennessee,UAB,52,7,81,68
UAB,Tennessee,0,35,63,77
Tennessee,UAB,52,7,81,67
UAB,Tennessee,7,48,68,80
Tennessee,UAB,45,14,76,69
UAB,Tennessee,34,31,77,66
Tennessee,UAB,54,10,87,60
UAB,Tennessee,10,42,76,71
Tennessee,UAB,35,9,72,72
UAB,Tennessee,3,38,73,70
Tennessee,UAB,30,10,77,74
UAB,Tennessee,14,65,57,86
Tennessee,UAB,28,9,78,70
UAB,Tennessee,7,63,55,92
Tennessee,UAB,45,20,69,75
UAB,Tennessee,3,55,63,83
Tennessee,UAB,52,10,67,83
UAB,Tennessee,13,45,74,73
Tennessee,UAB,52,17,84,68
UAB,Tennessee,14,28,77,71
Tennessee,UAB,49,0,83,60
UAB,Tennessee,7,51,63,76
Tennessee,UAB,59,9,79,70
UAB,Tennessee,21,59,64,83
Tennessee,UAB,30,14,85,63
UAB,Tennessee,21,62,65,86
Tennessee,UAB,17,7,80,68
UAB,Tennessee,13,31,74,74
Tennessee,UAB,24,6,84,62
UAB,Tennessee,3,41,73,72
Tennessee,UAB,56,10,89,60
UAB,Tennessee,17,35,80,65
Tennessee,UAB,49,17,74,71
UAB,Tennessee,31,45,81,64
Tennessee,UAB,52,7,82,70
UAB,Tennessee,7,38,69,76
Tennessee,UAB,44,0,79,64
UAB,Tennessee,31,28,80,67
Tennessee,UAB,40,20,81,70
UAB,Tennessee,31,49,75,72
Tennessee,UAB,49,10,75,68
UAB,Tennessee,13,35,71,79
Tennessee,UAB,55,17,81,73
UAB,Tennessee,3,52,63,85
Tennessee,UAB,44,10,86,56
UAB,Tennessee,24,38,80,72
Tennessee,UAB,48,0,87,55
UAB,Tennessee,17,51,70,73
Tennessee,UAB,41,9,88,66
UAB,Tennessee,14,45,65,79
Tennessee,UAB,59,7,88,60
UAB,Tennessee,13,49,71,75
Tennessee,UAB,37,7,85,66
UAB,Tennessee,10,48,73,72
Tennessee,UAB,55,3,87,61
UAB,Tennessee,17,42,78,61
Tennessee,UAB,54,7,87,58
UAB,Tennessee,17,23,75,74
Tennessee,UAB,48,17,85,65
UAB,Tennessee,3,48,66,77
Tennessee,UAB,45,7,90,64
UAB,Tennessee,21,31,70,77
Tennessee,UAB,62,0,89,60
UAB,Tennessee,31,37,85,71
Tennessee,UAB,42,23,84,71
UAB,Tennessee,13,41,82,65
Tennessee,UAB,23,21,72,73
UAB,Tennessee,3,52,66,74
Tennessee,UAB,42,17,72,75
UAB,Tennessee,13,38,81,61
Tennessee,UAB,41,14,74,72
UAB,Tennessee,6,37,63,75
Tennessee,UAB,38,10,80,68
UAB,Tennessee,27,31,80,68
Tennessee,UAB,47,10,78,65
UAB,Tennessee,14,37,78,65
Tennessee,UAB,31,7,76,72
UAB,Tennessee,16,21,76,69
Tennessee,UAB,55,13,74,74
UAB,Tennessee,17,38,78,72
Tennessee,UAB,35,22,70,72
UAB,Tennessee,23,28,70,73
Tennessee,UAB,21,16,68,75
UAB,Tennessee,10,38,82,61
Tennessee,UAB,24,20,72,78
UAB,Tennessee,10,45,74,77
Tennessee,UAB,38,14,81,69
UAB,Tennessee,21,49,81,68
Tennessee,UAB,33,10,78,78
UAB,Tennessee,14,59,64,92
Tennessee,UAB,69,17,77,66
UAB,Tennessee,9,42,81,66
Tennessee,UAB,34,24,75,63
UAB,Tennessee,3,52,65,75
Tennessee,UAB,38,31,64,83
UAB,Tennessee,16,52,84,67
Tennessee,UAB,51,10,86,66
UAB,Tennessee,24,52,75,71
Tennessee,UAB,31,16,77,67
UAB,Tennessee,7,38,69,79
Tennessee,UAB,45,3,78,65
UAB,Tennessee,17,24,80,75
Tennessee,UAB,52,17,80,60
UAB,Tennessee,14,31,70,79
Tennessee,UAB,62,0,83,67
UAB,Tennessee,17,45,63,77
Tennessee,UAB,35,10,81,70
UAB,Tennessee,7,58,57,89
Tennessee,UAB,49,21,77,73
UAB,Tennessee,14,38,71,78
Tennessee,UAB,44,10,86,69
UAB,Tennessee,17,55,73,79
Tennessee,UAB,37,10,79,65
UAB,Tennessee,24,45,75,71
Tennessee,UAB,66,3,78,64
UAB,Tennessee,6,65,79,76
Tennessee,UAB,59,3,88,62
UAB,Tennessee,7,41,61,85
Tennessee,UAB,42,14,84,66
UAB,Tennessee,24,45,70,80
Tennessee,UAB,59,10,83,63
UAB,Tennessee,3,35,70,75
Tennessee,UAB,55,10,75,71
UAB,Tennessee,7,55,71,85
Tennessee,UAB,59,13,72,62
UAB,Tennessee,13,28,81,60
Tennessee,UAB,38,10,71,74
UAB,Tennessee,6,44,74,70
Tennessee,UAB,31,23,67,76
UAB,Tennessee,3,55,74,76
Tennessee,UAB,20,16,77,71
UAB,Tennessee,10,41,65,78
Tennessee,UAB,40,3,79,70
UAB,Tennessee,20,33,83,65
Tennessee,UAB,48,7,80,70
UAB,Tennessee,17,45,77,68
Tennessee,UAB,52,3,86,59
UAB,Tennessee,10,48,64,85
Tennessee,UAB,48,16,69,70
UAB,Tennessee,7,66,66,85
Tennessee,UAB,13,21,67,71
UAB,Tennessee,17,41,67,80
Tennessee,UAB,45,13,85,65
UAB,Tennessee,20,35,84,61
Tennessee,UAB,61,21,94,61
UAB,Tennessee,23,27,88,54
Tennessee,UAB,20,10,64,79
UAB,Tennessee,14,28,86,62
Tennessee,UAB,62,7,78,73
UAB,Tennessee,14,38,74,70
Tennessee,UAB,38,14,80,66
UAB,Tennessee,17,34,72,70
Tennessee,UAB,48,17,87,58
UAB,Tennessee,17,20,72,70
Tennessee,UAB,31,13,66,77
UAB,Tennessee,3,45,83,74
Tennessee,UAB,37,10,83,69
UAB,Tennessee,10,45,78,74
Tennessee,UAB,48,14,82,65
UAB,Tennessee,17,55,71,73
Tennessee,UAB,48,24,78,72
UAB,Tennessee,10,55,72,73
Tennessee,UAB,52,21,81,71
UAB,Tennessee,24,49,74,73
Tennessee,UAB,45,31,74,72
UAB,Tennessee,10,48,67,85
Tennessee,UAB,59,21,80,68
UAB,Tennessee,14,48,74,72
Tennessee,UAB,41,3,79,71
UAB,Tennessee,13,45,68,77
Tennessee,UAB,59,10,76,70
UAB,Tennessee,7,49,61,90
Tennessee,UAB,52,3,96,54
UAB,Tennessee,14,52,78,70
Tennessee,UAB,52,13,82,61
UAB,Tennessee,27,24,77,75
Tennessee,UAB,24,3,72,74
UAB,Tennessee,3,35,74,66
Tennessee,UAB,38,7,76,74
UAB,Tennessee,13,45,81,74
Tennessee,UAB,52,10,85,62
UAB,Tennessee,13,34,70,71
Tennessee,UAB,38,13,69,77
UAB,Tennessee,7,52,70,79
Tennessee,UAB,59,14,78,72
UAB,Tennessee,14,56,78,79
Tennessee,UAB,24,10,71,74
UAB,Tennessee,27,24,81,69
Tennessee,UAB,70,3,69,72
UAB,Tennessee,10,38,67,82
Tennessee,UAB,14,38,71,76
UAB,Tennessee,3,52,74,79
Tennessee,UAB,27,14,71,74
UAB,Tennessee,34,41,86,68
Tennessee,UAB,38,14,73,73
UAB,Tennessee,24,42,80,74
Tennessee,UAB,49,17,74,71
UAB,Tennessee,12,44,73,80
Tennessee,UAB,52,0,84,60
UAB,Tennessee,10,45,66,81
Tennessee,UAB,42,10,84,63
UAB,Tennessee,23,38,85,65
Tennessee,UAB,34,14,89,59
UAB,Tennessee,10,49,71,76
Tennessee,UAB,56,3,71,73
UAB,Tennessee,14,31,74,72
Tennessee,UAB,48,17,85,62
UAB,Tennessee,24,13,78,62
Tennessee,UAB,45,20,83,67
UAB,Tennessee,7,70,65,78
Tennessee,UAB,37,7,73,66
UAB,Tennessee,3,55,67,74
Tennessee,UAB,45,3,70,78
UAB,Tennessee,3,38,78,67
Tennessee,UAB,24,10,77,68
UAB,Tennessee,3,48,62,88
Tennessee,UAB,52,3,89,60
UAB,Tennessee,20,41,74,77
Tennessee,UAB,27,17,66,77
UAB,Tennessee,21,45,76,64
Tennessee,UAB,38,20,73,72
UAB,Tennessee,28,59,73,80
Tennessee,UAB,52,13,74,74
UAB,Tennessee,6,23,81,62
Tennessee,UAB,31,24,74,73
UAB,Tennessee,9,51,68,78
Tennessee,UAB,41,20,71,85
UAB,Tennessee,13,51,68,87
Tennessee,UAB,49,28,72,73
UAB,Tennessee,17,45,71,74
Tennessee,UAB,45,14,68,77
UAB,Tennessee,20,27,72,77
Tennessee,UAB,59,0,87,61
UAB,Tennessee,10,34,72,72
Tennessee,UAB,34,7,78,67
UAB,Tennessee,20,34,76,66
Tennessee,UAB,47,24,75,73
UAB,Tennessee,10,20,80,71
Tennessee,UAB,63,7,80,71
UAB,Tennessee,7,55,65,81
Tennessee,UAB,28,6,69,75
UAB,Tennessee,10,31,88,61
Tennessee,UAB,69,14,85,59
UAB,Tennessee,31,38,81,69
Tennessee,UAB,44,17,81,67
UAB,Tennessee,14,30,69,75
Tennessee,UAB,49,14,88,61
UAB,Tennessee,7,41,67,78
Tennessee,UAB,45,13,76,70
UAB,Tennessee,20,49,68,91
Tennessee,UAB,62,0,89,60
UAB,Tennessee,0,63,64,86
Tennessee,UAB,41,7,89,60
UAB,Tennessee,13,45,80,64
Tennessee,UAB,24,14,77,72
