team,opp,pts,opp_pts,plays,opp_plays
USC,Michigan State,49,7,70,56
Michigan State,USC,14,24,61,63
USC,Michigan State,51,0,78,47
Michigan State,USC,7,38,53,71
USC,Michigan State,34,14,71,59
Michigan State,USC,6,41,51,65
USC,Michigan State,52,21,73,48
Michigan State,USC,19,28,50,66
USC,Michigan State,30,21,72,51
Michigan State,USC,13,17,60,53
USC,Michigan State,45,10,75,42
Michigan State,USC,20,27,71,54
USC,Michigan State,47,17,74,53
Michigan State,USC,10,41,73,58
USC,Michigan State,42,14,57,72
Michigan State,USC,13,28,55,59
USC,Michigan State,49,21,63,57
Michigan State,USC,10,28,73,57
USC,Michigan State,37,14,65,52
Michigan State,USC,10,40,50,76
USC,Michigan State,31,13,58,60
Michigan State,USC,7,34,55,63
USC,Michigan State,38,10,62,58
Michigan State,USC,24,27,62,60
USC,Michigan State,45,17,75,57
Michigan State,USC,3,31,57,65
USC,Michigan State,35,14,56,68
Michigan State,USC,17,40,53,70
USC,Michigan State,21,27,65,56
Michigan State,USC,20,31,69,52
USC,Michigan State,48,7,69,57
Michigan State,USC,14,34,72,53
USC,Michigan State,31,10,70,56
Michigan State,USC,42,34,65,64
USC,Michigan State,42,17,60,66
Michigan State,USC,14,28,68,60
USC,Michigan State,27,21,64,55
Michigan State,USC,28,49,57,66
USC,Michigan State,31,10,69,54
Michigan State,USC,10,31,70,58
USC,Michigan State,56,17,67,54
Michigan State,USC,10,29,54,75
USC,Michigan State,37,6,70,59
Michigan State,USC,0,28,56,62
USC,Michigan State,30,23,56,76
Michigan State,USC,10,27,64,63
USC,Michigan State,20,7,69,48
Michigan State,USC,31,31,72,66
USC,Michigan State,20,20,64,57
Michigan State,USC,23,31,70,56
USC,Michigan State,24,7,54,62
Michigan State,USC,10,21,54,63
USC,Michigan State,34,7,74,45
Michigan State,USC,28,48,67,61
USC,Michigan State,49,21,68,57
Michigan State,USC,7,31,53,68
USC,Michigan State,41,13,74,49
Michigan State,USC,20,41,76,59
USC,Michigan State,45,0,59,65
Michigan State,USC,7,45,61,66
USC,Michigan State,27,21,62,60
Michigan State,USC,14,41,60,65
