sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Boston College,California,Dylan Lonergan,QB,31,22,228.8,1,0,5,0,0.0,0,0,0,0.0,0
0,A,Boston College,California,Turbo Richard,Rusher,0,0,0.0,0,0,0,14,25.5,0,0,0,0.0,0
0,A,Boston College,California,Bo MacCormack III,Rusher,0,0,0.0,0,0,0,2,0.5,0,0,0,0.0,0
0,A,Boston College,California,Jordan Mcdonald,Rusher,0,0,0.0,0,0,0,3,5.6,0,0,0,0.0,0
0,A,Boston College,California,Dylan Lonergan,Rusher,0,0,0.0,0,0,0,2,15.5,0,0,0,0.0,0
0,A,Boston College,California,Other RB,Rusher,0,0,0.0,0,0,0,2,12.8,0,0,0,0.0,0
0,A,Boston College,California,Lewis Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,91.6,1
0,A,Boston College,California,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.6,0
0,A,Boston College,California,Luke McLaughlin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,16.6,0
0,A,Boston College,California,Ty Lockwood,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.8,0
0,A,Boston College,California,Jaedn Skeete,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.2,0
0,A,Boston College,California,Reed Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,39.5,0
0,A,Boston College,California,Jeremiah Franklin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,24.8,0
0,A,Boston College,California,Kaelan Chudzinski,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.7,0
0,A,California,Boston College,Jaron-Keawe Sagapolutele,QB,30,19,166.8,2,0,6,0,0.0,0,0,0,0.0,0
0,A,California,Boston College,Brandon High,Rusher,0,0,0.0,0,0,0,13,59.7,0,0,0,0.0,0
0,A,California,Boston College,Jaron-Keawe Sagapolutele,Rusher,0,0,0.0,0,0,0,2,21.7,0,0,0,0.0,0
0,A,California,Boston College,LJ Johnson Jr.,Rusher,0,0,0.0,0,0,0,3,28.5,1,0,0,0.0,0
0,A,California,Boston College,Kendrick Raphael,Rusher,0,0,0.0,0,0,0,15,63.6,0,0,0,0.0,0
0,A,California,Boston College,Landon Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,8.5,0
0,A,California,Boston College,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,California,Boston College,Mark Hamper,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.9,1
0,A,California,Boston College,Jeffrey Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.5,1
0,A,California,Boston College,Jacob De Jesus,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,42.4,0
0,A,California,Boston College,Trond Grizzell,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,56.7,0
0,A,California,Boston College,Mason Mini,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,California,Boston College,Jordan King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.8,0
1,B,California,Boston College,Jaron-Keawe Sagapolutele,QB,23,15,136.8,1,0,7,0,0.0,0,0,0,0.0,0
1,B,California,Boston College,Brandon High,Rusher,0,0,0.0,0,0,0,7,51.7,0,0,0,0.0,0
1,B,California,Boston College,LJ Johnson Jr.,Rusher,0,0,0.0,0,0,0,3,-11.5,0,0,0,0.0,0
1,B,California,Boston College,Kendrick Raphael,Rusher,0,0,0.0,0,0,0,18,81.8,0,0,0,0.0,0
1,B,California,Boston College,Other RB,Rusher,0,0,0.0,0,0,0,5,26.9,0,0,0,0.0,0
1,B,California,Boston College,Jaron-Keawe Sagapolutele,Rusher,0,0,0.0,0,0,0,1,-0.3,0,0,0,0.0,0
1,B,California,Boston College,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,33.4,0
1,B,California,Boston College,Jordan King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
1,B,California,Boston College,Jacob De Jesus,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,14.7,0
1,B,California,Boston College,Jeffrey Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.9,0
1,B,California,Boston College,Landon Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.5,0
1,B,California,Boston College,Trond Grizzell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.5,0
1,B,California,Boston College,Mason Mini,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,42.4,0
1,B,California,Boston College,Mark Hamper,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.5,1
1,B,California,Boston College,Quaron Adams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,California,Boston College,Jaiven Plummer,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Boston College,California,Dylan Lonergan,QB,19,14,148.8,0,0,6,0,0.0,0,0,0,0.0,0
1,B,Boston College,California,Turbo Richard,Rusher,0,0,0.0,0,0,0,15,72.0,0,0,0,0.0,0
1,B,Boston College,California,Jordan Mcdonald,Rusher,0,0,0.0,0,0,0,12,49.6,1,0,0,0.0,0
1,B,Boston College,California,Other RB,Rusher,0,0,0.0,0,0,0,4,3.1,0,0,0,0.0,0
1,B,Boston College,California,Bo MacCormack III,Rusher,0,0,0.0,0,0,0,4,20.5,0,0,0,0.0,0
1,B,Boston College,California,Dylan Lonergan,Rusher,0,0,0.0,0,0,0,4,24.6,0,0,0,0.0,0
1,B,Boston College,California,Zeke Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.6,0
1,B,Boston College,California,Jeremiah Franklin,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,30.8,0
1,B,Boston College,California,Reed Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Boston College,California,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.2,0
1,B,Boston College,California,Kaelan Chudzinski,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,30.3,0
