sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Iowa,Indiana,Mark Gronowski,QB,24,18,136.4,0,0,5,0,0.0,0,0,0,0.0,0
48,A,Iowa,Indiana,Xavier Williams,Rusher,0,0,0.0,0,0,0,7,16.4,0,0,0,0.0,0
48,A,Iowa,Indiana,Mark Gronowski,Rusher,0,0,0.0,0,0,0,9,45.6,0,0,0,0.0,0
48,A,Iowa,Indiana,Terrell Washington Jr.,Rusher,0,0,0.0,0,0,0,6,25.0,0,0,0,0.0,0
48,A,Iowa,Indiana,Kamari Moulton,Rusher,0,0,0.0,0,0,0,1,4.8,0,0,0,0.0,0
48,A,Iowa,Indiana,Jaziun Patterson,Rusher,0,0,0.0,0,0,0,3,6.5,0,0,0,0.0,0
48,A,Iowa,Indiana,Nathan Mcneil,Rusher,0,0,0.0,0,0,0,1,-0.2,0,0,0,0.0,0
48,A,Iowa,Indiana,Sam Phillips,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,16.2,0
48,A,Iowa,Indiana,Addison Ostrenga,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.4,0
48,A,Iowa,Indiana,Zach Ortwerth,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.0,0
48,A,Iowa,Indiana,Jacob Gill,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,44.2,0
48,A,Iowa,Indiana,Hayden Large,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.0,0
48,A,Iowa,Indiana,KJ Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,1.5,0
48,A,Iowa,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,14.1,0
48,A,Iowa,Indiana,Seth Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Iowa,Indiana,DJ Vonnahme,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,Indiana,Iowa,Fernando Mendoza,QB,22,16,213.6,1,0,4,0,0.0,0,0,0,0.0,0
48,A,Indiana,Iowa,Lee Beebe,Rusher,0,0,0.0,0,0,0,8,34.4,0,0,0,0.0,0
48,A,Indiana,Iowa,Kaelon Black,Rusher,0,0,0.0,0,0,0,5,7.7,0,0,0,0.0,0
48,A,Indiana,Iowa,Roman Hemby,Rusher,0,0,0.0,0,0,0,13,21.1,0,0,0,0.0,0
48,A,Indiana,Iowa,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,7,58.1,1,0,0,0.0,0
48,A,Indiana,Iowa,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Indiana,Iowa,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,63.8,0
48,A,Indiana,Iowa,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.9,0
48,A,Indiana,Iowa,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,51.9,1
48,A,Indiana,Iowa,Riley Nowakowski,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,60.8,0
48,A,Indiana,Iowa,Holden Staes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.1,0
48,A,Indiana,Iowa,LeBron Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.1,0
49,B,Indiana,Iowa,Fernando Mendoza,QB,22,16,157.0,1,0,2,0,0.0,0,0,0,0.0,0
49,B,Indiana,Iowa,Lee Beebe,Rusher,0,0,0.0,0,0,0,13,79.5,0,0,0,0.0,0
49,B,Indiana,Iowa,Kaelon Black,Rusher,0,0,0.0,0,0,0,10,33.9,0,0,0,0.0,0
49,B,Indiana,Iowa,Roman Hemby,Rusher,0,0,0.0,0,0,0,12,54.2,1,0,0,0.0,0
49,B,Indiana,Iowa,Other RB,Rusher,0,0,0.0,0,0,0,1,4.5,0,0,0,0.0,0
49,B,Indiana,Iowa,Fernando Mendoza,Rusher,0,0,0.0,0,0,0,5,62.8,1,0,0,0.0,0
49,B,Indiana,Iowa,Jonathan Brady,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,15.7,0
49,B,Indiana,Iowa,Riley Nowakowski,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.6,0
49,B,Indiana,Iowa,Elijah Sarratt,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,94.3,1
49,B,Indiana,Iowa,LeBron Bond,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
49,B,Indiana,Iowa,E.J. Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
49,B,Indiana,Iowa,Omar Cooper Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.5,0
49,B,Indiana,Iowa,Holden Staes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
49,B,Iowa,Indiana,Mark Gronowski,QB,21,14,178.9,1,0,9,0,0.0,0,0,0,0.0,0
49,B,Iowa,Indiana,Jaziun Patterson,Rusher,0,0,0.0,0,0,0,4,2.8,0,0,0,0.0,0
49,B,Iowa,Indiana,Terrell Washington Jr.,Rusher,0,0,0.0,0,0,0,3,7.3,0,0,0,0.0,0
49,B,Iowa,Indiana,Mark Gronowski,Rusher,0,0,0.0,0,0,0,2,10.9,0,0,0,0.0,0
49,B,Iowa,Indiana,Xavier Williams,Rusher,0,0,0.0,0,0,0,4,20.4,0,0,0,0.0,0
49,B,Iowa,Indiana,Seth Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,41.4,0
49,B,Iowa,Indiana,Zach Ortwerth,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.8,0
49,B,Iowa,Indiana,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
49,B,Iowa,Indiana,KJ Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
49,B,Iowa,Indiana,DJ Vonnahme,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
49,B,Iowa,Indiana,Sam Phillips,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
49,B,Iowa,Indiana,Kaden Wetjen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,39.8,0
49,B,Iowa,Indiana,Hayden Large,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,34.4,0
49,B,Iowa,Indiana,Jacob Gill,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,45.2,1
49,B,Iowa,Indiana,Addison Ostrenga,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.3,0
50,A,Iowa,Indiana,Mark Gronowski,QB,17,12,111.1,1,0,4,0,0.0,0,0,0,0.0,0
50,A,Iowa,Indiana,Jaziun Patterson,Rusher,0,0,0.0,0,0,0,11,79.4,1,0,0,0.0,0
50,A,Iowa,Indiana,Xavier Williams,Rusher,0,0,0.0,0,0,0,6,13.5,0,0,0,0.0,0
50,A,Iowa,Indiana,Mark Gronowski,Rusher,0,0,0.0,0,0,0,12,39.8,0,0,0,0.0,0
50,A,Iowa,Indiana,Terrell Washington Jr.,Rusher,0,0,0.0,0,0,0,8,24.5,0,0,0,0.0,0
