sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,NC State,Virginia Tech,CJ Bailey,QB,30,17,233.5,2,0,1,0,0.0,0,0,0,0.0,0
32,A,NC State,Virginia Tech,Jayden Scott,Rusher,0,0,0.0,0,0,0,7,64.4,1,0,0,0.0,0
32,A,NC State,Virginia Tech,CJ Bailey,Rusher,0,0,0.0,0,0,0,8,1.0,0,0,0,0.0,0
32,A,NC State,Virginia Tech,Daylan Smothers,Rusher,0,0,0.0,0,0,0,12,49.1,0,0,0,0.0,0
32,A,NC State,Virginia Tech,Other RB,Rusher,0,0,0.0,0,0,0,4,10.5,0,0,0,0.0,0
32,A,NC State,Virginia Tech,Teddy Hoffmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,85.5,1
32,A,NC State,Virginia Tech,Wesley Grimes,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,29.9,0
32,A,NC State,Virginia Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,21.7,1
32,A,NC State,Virginia Tech,Noah Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,47.5,0
32,A,NC State,Virginia Tech,Keenan Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.7,0
32,A,NC State,Virginia Tech,Justin Joly,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,25.5,0
32,A,NC State,Virginia Tech,Terrell Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.6,0
32,A,Virginia Tech,NC State,Kyron Drones,QB,27,17,130.4,0,0,7,0,0.0,0,0,0,0.0,0
32,A,Virginia Tech,NC State,Kyron Drones,Rusher,0,0,0.0,0,0,0,8,29.8,1,0,0,0.0,0
32,A,Virginia Tech,NC State,Marcellous Hawkins,Rusher,0,0,0.0,0,0,0,8,14.0,0,0,0,0.0,0
32,A,Virginia Tech,NC State,P.J. Prioleau,Rusher,0,0,0.0,0,0,0,4,24.4,0,0,0,0.0,0
32,A,Virginia Tech,NC State,Terion Stewart,Rusher,0,0,0.0,0,0,0,5,-6.2,0,0,0,0.0,0
32,A,Virginia Tech,NC State,Jeremiah Coney,Rusher,0,0,0.0,0,0,0,4,29.6,0,0,0,0.0,0
32,A,Virginia Tech,NC State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,28.3,0
32,A,Virginia Tech,NC State,Takye Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,14.2,0
32,A,Virginia Tech,NC State,Cameron Seldon,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.6,0
32,A,Virginia Tech,NC State,Ayden Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.5,0
32,A,Virginia Tech,NC State,Donavon Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,31.5,0
32,A,Virginia Tech,NC State,Harrison Saint Germain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.7,0
32,A,Virginia Tech,NC State,Tucker Holloway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.5,0
33,B,Virginia Tech,NC State,Kyron Drones,QB,34,20,229.0,1,0,8,0,0.0,0,0,0,0.0,0
33,B,Virginia Tech,NC State,Terion Stewart,Rusher,0,0,0.0,0,0,0,6,30.9,0,0,0,0.0,0
33,B,Virginia Tech,NC State,Kyron Drones,Rusher,0,0,0.0,0,0,0,5,8.5,0,0,0,0.0,0
33,B,Virginia Tech,NC State,P.J. Prioleau,Rusher,0,0,0.0,0,0,0,4,13.4,0,0,0,0.0,0
33,B,Virginia Tech,NC State,Jeremiah Coney,Rusher,0,0,0.0,0,0,0,1,5.5,0,0,0,0.0,0
33,B,Virginia Tech,NC State,Marcellous Hawkins,Rusher,0,0,0.0,0,0,0,10,29.6,0,0,0,0.0,0
33,B,Virginia Tech,NC State,Cameron Seldon,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,42.1,0
33,B,Virginia Tech,NC State,Benji Gosnell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,15.3,0
33,B,Virginia Tech,NC State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,97.4,0
33,B,Virginia Tech,NC State,Ayden Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,30.6,1
33,B,Virginia Tech,NC State,Donavon Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,20.0,0
33,B,Virginia Tech,NC State,Tucker Holloway,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.5,0
33,B,Virginia Tech,NC State,Harrison Saint Germain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,NC State,Virginia Tech,CJ Bailey,QB,22,16,231.6,3,0,5,0,0.0,0,0,0,0.0,0
33,B,NC State,Virginia Tech,Jayden Scott,Rusher,0,0,0.0,0,0,0,3,3.8,0,0,0,0.0,0
33,B,NC State,Virginia Tech,Daylan Smothers,Rusher,0,0,0.0,0,0,0,18,150.9,1,0,0,0.0,0
33,B,NC State,Virginia Tech,Other RB,Rusher,0,0,0.0,0,0,0,3,7.5,0,0,0,0.0,0
33,B,NC State,Virginia Tech,CJ Bailey,Rusher,0,0,0.0,0,0,0,6,19.6,0,0,0,0.0,0
33,B,NC State,Virginia Tech,Terrell Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,33.9,0
