sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Old Dominion,Liberty,Colton Joseph,QB,33,22,319.2,2,0,6,0,0.0,0,0,0,0.0,0
32,A,Old Dominion,Liberty,Ke'Travion Hargrove,Rusher,0,0,0.0,0,0,0,8,20.3,0,0,0,0.0,0
32,A,Old Dominion,Liberty,Maurki James,Rusher,0,0,0.0,0,0,0,11,92.0,1,0,0,0.0,0
32,A,Old Dominion,Liberty,Trequan Jones,Rusher,0,0,0.0,0,0,0,7,60.8,2,0,0,0.0,0
32,A,Old Dominion,Liberty,Colton Joseph,Rusher,0,0,0.0,0,0,0,14,48.4,0,0,0,0.0,0
32,A,Old Dominion,Liberty,Devin Roche,Rusher,0,0,0.0,0,0,0,1,-2.9,0,0,0,0.0,0
32,A,Old Dominion,Liberty,Na'eem Abdul-Rahim Gladding,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,30.5,0
32,A,Old Dominion,Liberty,TJ Lott,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,72.7,1
32,A,Old Dominion,Liberty,Ja'Cory Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,32.5,1
32,A,Old Dominion,Liberty,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,38.2,0
32,A,Old Dominion,Liberty,Jalen Butler,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,9.8,0
32,A,Old Dominion,Liberty,Dawson Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Old Dominion,Liberty,Tre' Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,127.6,0
32,A,Old Dominion,Liberty,Sidney Mbanasor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.0,0
32,A,Liberty,Old Dominion,Ethan Vasko,QB,43,32,278.5,1,0,5,0,0.0,0,0,0,0.0,0
32,A,Liberty,Old Dominion,Evan Dickens,Rusher,0,0,0.0,0,0,0,9,24.5,0,0,0,0.0,0
32,A,Liberty,Old Dominion,Ethan Vasko,Rusher,0,0,0.0,0,0,0,11,40.2,0,0,0,0.0,0
32,A,Liberty,Old Dominion,Julian Gray,Rusher,0,0,0.0,0,0,0,2,23.8,1,0,0,0.0,0
32,A,Liberty,Old Dominion,Caden Williams,Rusher,0,0,0.0,0,0,0,7,23.6,0,0,0,0.0,0
32,A,Liberty,Old Dominion,Vaughn Blue,Rusher,0,0,0.0,0,0,0,4,19.4,0,0,0,0.0,0
32,A,Liberty,Old Dominion,Jacob Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,21.1,0
32,A,Liberty,Old Dominion,Jamari Person,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,22.9,0
32,A,Liberty,Old Dominion,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,63.3,0
32,A,Liberty,Old Dominion,Reese Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,90.2,0
32,A,Liberty,Old Dominion,Austin Henderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,14.0,0
32,A,Liberty,Old Dominion,Donte Lee Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,4.3,0
32,A,Liberty,Old Dominion,Casey Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,49.5,1
32,A,Liberty,Old Dominion,Elijah Canion,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,13.0,0
33,B,Liberty,Old Dominion,Ethan Vasko,QB,24,21,189.8,0,0,2,0,0.0,0,0,0,0.0,0
33,B,Liberty,Old Dominion,Vaughn Blue,Rusher,0,0,0.0,0,0,0,2,-5.3,0,0,0,0.0,0
33,B,Liberty,Old Dominion,Evan Dickens,Rusher,0,0,0.0,0,0,0,19,87.2,0,0,0,0.0,0
33,B,Liberty,Old Dominion,Ethan Vasko,Rusher,0,0,0.0,0,0,0,10,67.7,2,0,0,0.0,0
33,B,Liberty,Old Dominion,Caden Williams,Rusher,0,0,0.0,0,0,0,6,-1.9,0,0,0,0.0,0
33,B,Liberty,Old Dominion,Julian Gray,Rusher,0,0,0.0,0,0,0,4,17.5,1,0,0,0.0,0
33,B,Liberty,Old Dominion,Other RB,Rusher,0,0,0.0,0,0,0,4,12.2,0,0,0,0.0,0
33,B,Liberty,Old Dominion,Reese Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,7,47.1,0
33,B,Liberty,Old Dominion,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,74.4,0
33,B,Liberty,Old Dominion,Casey Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,5.8,0
33,B,Liberty,Old Dominion,Donte Lee Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.2,0
33,B,Liberty,Old Dominion,Elijah Canion,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.2,0
33,B,Liberty,Old Dominion,Jacob Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.9,0
33,B,Liberty,Old Dominion,Jamari Person,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.2,0
33,B,Old Dominion,Liberty,Colton Joseph,QB,37,24,314.3,2,0,6,0,0.0,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Devin Roche,Rusher,0,0,0.0,0,0,0,6,20.0,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Maurki James,Rusher,0,0,0.0,0,0,0,16,68.7,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Colton Joseph,Rusher,0,0,0.0,0,0,0,8,36.8,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Ke'Travion Hargrove,Rusher,0,0,0.0,0,0,0,4,17.9,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Trequan Jones,Rusher,0,0,0.0,0,0,0,4,6.9,0,0,0,0.0,0
33,B,Old Dominion,Liberty,Ja'Cory Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,31.2,0
33,B,Old Dominion,Liberty,TJ Lott,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,95.7,1
33,B,Old Dominion,Liberty,Jalen Butler,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Old Dominion,Liberty,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Old Dominion,Liberty,Dawson Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,19.9,0
33,B,Old Dominion,Liberty,Tre' Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,9,116.2,1
33,B,Old Dominion,Liberty,Na'eem Abdul-Rahim Gladding,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.3,0
33,B,Old Dominion,Liberty,Sidney Mbanasor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.0,0
34,A,Old Dominion,Liberty,Colton Joseph,QB,31,24,297.7,3,0,5,0,0.0,0,0,0,0.0,0
34,A,Old Dominion,Liberty,Colton Joseph,Rusher,0,0,0.0,0,0,0,12,10.1,0,0,0,0.0,0
34,A,Old Dominion,Liberty,Maurki James,Rusher,0,0,0.0,0,0,0,12,65.0,1,0,0,0.0,0
34,A,Old Dominion,Liberty,Trequan Jones,Rusher,0,0,0.0,0,0,0,2,13.7,0,0,0,0.0,0
34,A,Old Dominion,Liberty,Ke'Travion Hargrove,Rusher,0,0,0.0,0,0,0,4,28.9,0,0,0,0.0,0
34,A,Old Dominion,Liberty,Devin Roche,Rusher,0,0,0.0,0,0,0,1,2.3,0,0,0,0.0,0
34,A,Old Dominion,Liberty,TJ Lott,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,22.5,0
34,A,Old Dominion,Liberty,Na'eem Abdul-Rahim Gladding,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,11,103.6,1
34,A,Old Dominion,Liberty,Ja'Cory Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,73.5,1
34,A,Old Dominion,Liberty,Tre' Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,59.1,1
34,A,Old Dominion,Liberty,Jalen Butler,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.1,0
34,A,Old Dominion,Liberty,Dawson Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.9,0
34,A,Old Dominion,Liberty,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.0,0
34,A,Liberty,Old Dominion,Ethan Vasko,QB,40,26,266.5,2,0,4,0,0.0,0,0,0,0.0,0
34,A,Liberty,Old Dominion,Evan Dickens,Rusher,0,0,0.0,0,0,0,18,59.1,1,0,0,0.0,0
34,A,Liberty,Old Dominion,Ethan Vasko,Rusher,0,0,0.0,0,0,0,7,55.7,0,0,0,0.0,0
34,A,Liberty,Old Dominion,Caden Williams,Rusher,0,0,0.0,0,0,0,6,25.5,0,0,0,0.0,0
34,A,Liberty,Old Dominion,Julian Gray,Rusher,0,0,0.0,0,0,0,4,25.1,0,0,0,0.0,0
34,A,Liberty,Old Dominion,Vaughn Blue,Rusher,0,0,0.0,0,0,0,5,35.1,0,0,0,0.0,0
34,A,Liberty,Old Dominion,Reese Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.3,0
34,A,Liberty,Old Dominion,Donte Lee Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,40.3,1
34,A,Liberty,Old Dominion,Elijah Canion,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.6,0
34,A,Liberty,Old Dominion,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,9,56.7,0
34,A,Liberty,Old Dominion,Jacob Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,52.5,1
34,A,Liberty,Old Dominion,Casey Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,50.1,0
34,A,Liberty,Old Dominion,Jamari Person,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.0,0
34,A,Liberty,Old Dominion,Austin Henderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.0,0
35,B,Liberty,Old Dominion,Ethan Vasko,QB,41,24,277.0,1,1,8,0,0.0,0,0,0,0.0,0
35,B,Liberty,Old Dominion,Caden Williams,Rusher,0,0,0.0,0,0,0,8,30.9,1,0,0,0.0,0
35,B,Liberty,Old Dominion,Evan Dickens,Rusher,0,0,0.0,0,0,0,13,94.6,1,0,0,0.0,0
35,B,Liberty,Old Dominion,Vaughn Blue,Rusher,0,0,0.0,0,0,0,3,26.8,0,0,0,0.0,0
35,B,Liberty,Old Dominion,Ethan Vasko,Rusher,0,0,0.0,0,0,0,10,49.0,0,0,0,0.0,0
35,B,Liberty,Old Dominion,Julian Gray,Rusher,0,0,0.0,0,0,0,3,10.4,0,0,0,0.0,0
35,B,Liberty,Old Dominion,Other RB,Rusher,0,0,0.0,0,0,0,1,1.9,0,0,0,0.0,0
35,B,Liberty,Old Dominion,Casey Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,9.2,0
35,B,Liberty,Old Dominion,Reese Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,17.7,0
35,B,Liberty,Old Dominion,Jamari Person,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,78.7,0
35,B,Liberty,Old Dominion,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,8.8,0
35,B,Liberty,Old Dominion,Austin Henderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,53.3,0
