sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Oregon State,Houston,Maalik Murphy,QB,17,10,99.2,1,0,5,0,0.0,0,0,0,0.0,0
48,A,Oregon State,Houston,Maalik Murphy,Rusher,0,0,0.0,0,0,0,4,22.3,0,0,0,0.0,0
48,A,Oregon State,Houston,Anthony Hankerson,Rusher,0,0,0.0,0,0,0,16,74.5,1,0,0,0.0,0
48,A,Oregon State,Houston,Other RB,Rusher,0,0,0.0,0,0,0,1,2.9,0,0,0,0.0,0
48,A,Oregon State,Houston,Salahadin Allah,Rusher,0,0,0.0,0,0,0,7,29.6,0,0,0,0.0,0
48,A,Oregon State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.8,0
48,A,Oregon State,Houston,Trent Walker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
48,A,Oregon State,Houston,Tastean Reddicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.9,0
48,A,Oregon State,Houston,Bryce Caufield,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,34.8,1
48,A,Oregon State,Houston,David Wells Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,7.7,0
48,A,Oregon State,Houston,Riley Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Houston,Oregon State,Conner Weigman,QB,32,27,286.7,1,0,0,0,0.0,0,0,0,0.0,0
48,A,Houston,Oregon State,Dean Connors,Rusher,0,0,0.0,0,0,0,9,25.4,0,0,0,0.0,0
48,A,Houston,Oregon State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,5,24.0,0,0,0,0.0,0
48,A,Houston,Oregon State,DJ Butler,Rusher,0,0,0.0,0,0,0,4,34.0,1,0,0,0.0,0
48,A,Houston,Oregon State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,4,-10.4,0,0,0,0.0,0
